"Year","Occupation minor group","Occupation unit group","Country","Region","GeoCode","Observation status","Value"
"2019","221 Health Professionals","","","","K02000001","Normal Value",85.4831279584966
"2020","221 Health Professionals","","","","K02000001","Normal Value",91.4115563228905
"2019","222 Therapy Professionals","","","","K02000001","Normal Value",30.4056449883899
"2020","222 Therapy Professionals","","","","K02000001","Normal Value",33.0792960666168
"2019","223 Nursing and Midwifery Professionals","","","","K02000001","Normal Value",106.741629132063
"2020","223 Nursing and Midwifery Professionals","","","","K02000001","Normal Value",100.60935969067
"2019","321 Health Associate Professionals","","","","K02000001","Normal Value",24.8514872874088
"2020","321 Health Associate Professionals","","","","K02000001","Normal Value",26.7735086686092
"2019","221 Health Professionals","2211 Medical practitioners","","","K02000001","Normal Value",44.3733785059516
"2020","221 Health Professionals","2211 Medical practitioners","","","K02000001","Normal Value",47.7331708000482
"2019","221 Health Professionals","2212 Psychologists","","","K02000001","Normal Value",5.32959606886599
"2020","221 Health Professionals","2212 Psychologists","","","K02000001","Normal Value",5.05357429769405
"2019","221 Health Professionals","2213 Pharmacists","","","K02000001","Normal Value",10.4496012810912
"2020","221 Health Professionals","2213 Pharmacists","","","K02000001","Normal Value",10.9270500301172
"2019","221 Health Professionals","2214 Ophthalmic opticians","","","K02000001","Normal Value",2.66479803443299
"2020","221 Health Professionals","2214 Ophthalmic opticians","","","K02000001","Normal Value",3.56284441636837
"2019","221 Health Professionals","2215 Dental practitioners","","","K02000001","Normal Value",6.13801794448049
"2020","221 Health Professionals","2215 Dental practitioners","","","K02000001","Normal Value",7.27476182086931
"2019","221 Health Professionals","2217 Medical radiographers","","","K02000001","Normal Value",5.07509288580216
"2020","221 Health Professionals","2217 Medical radiographers","","","K02000001","Normal Value",4.97903780362776
"2019","221 Health Professionals","2218 Podiatrists","","","K02000001","Normal Value",1.81146383239546
"2020","221 Health Professionals","2218 Podiatrists","","","K02000001","Normal Value",2.11683643148246
"2019","221 Health Professionals","2219 Health professionals n.e.c.","","","K02000001","Normal Value",9.61123785452799
"2020","221 Health Professionals","2219 Health professionals n.e.c.","","","K02000001","Normal Value",9.76428072268319
"2019","222 Therapy Professionals","2221 Physiotherapists","","","K02000001","Normal Value",10.9286660962701
"2020","222 Therapy Professionals","2221 Physiotherapists","","","K02000001","Normal Value",11.5680638790873
"2019","222 Therapy Professionals","2222 Occupational therapists","","","K02000001","Normal Value",7.08117679936408
"2020","222 Therapy Professionals","2222 Occupational therapists","","","K02000001","Normal Value",7.27476182086931
"2019","222 Therapy Professionals","2223 Speech and language therapists","","","K02000001","Normal Value",2.99415509486853
"2020","222 Therapy Professionals","2223 Speech and language therapists","","","K02000001","Normal Value",3.35414223298277
"2019","222 Therapy Professionals","2229 Therapy professionals n.e.c.","","","K02000001","Normal Value",9.38667622241285
"2020","222 Therapy Professionals","2229 Therapy professionals n.e.c.","","","K02000001","Normal Value",10.8674208348642
"2019","223 Nursing and Midwifery Professionals","2231 Nurses","","","K02000001","Normal Value",100.049692495032
"2020","223 Nursing and Midwifery Professionals","2231 Nurses","","","K02000001","Normal Value",93.6178365472526
"2019","223 Nursing and Midwifery Professionals","2232 Midwives","","","K02000001","Normal Value",6.67696586155683
"2020","223 Nursing and Midwifery Professionals","2232 Midwives","","","K02000001","Normal Value",6.99152314341743
"2019","321 Health Associate Professionals","3213 Paramedics","","","K02000001","Normal Value",4.25170023471332
"2020","321 Health Associate Professionals","3213 Paramedics","","","K02000001","Normal Value",5.1728326882001
