"Year","Occupation minor group","Occupation unit group","Country","Region","GeoCode","Observation status","Value"
"2020","221 Health Professionals (not including Veterinarians)","","","","K02000001","Normal Value","91.4115563228905"
"2021","221 Health Professionals (not including Veterinarians)","","","","K02000001","Normal Value",""
"2020","222 Therapy Professionals","","","","K02000001","Normal Value","33.0792960666168"
"2021","222 Therapy Professionals","","","","K02000001","Normal Value",""
"2020","223 Nursing and Midwifery Professionals","","","","K02000001","Normal Value","100.60935969067"
"2021","223 Nursing and Midwifery Professionals","","","","K02000001","Normal Value",""
"2020","321 Health Associate Professionals","","","","K02000001","Normal Value","26.7735086686092"
"2021","321 Health Associate Professionals","","","","K02000001","Normal Value",""
"2020","221 Health Professionals (not including Veterinarians)","2211 Medical practitioners","","","K02000001","Normal Value","47.7331708000482"
"2021","221 Health Professionals (not including Veterinarians)","2211 Medical practitioners","","","K02000001","Normal Value",""
"2020","221 Health Professionals (not including Veterinarians)","2212 Psychologists","","","K02000001","Normal Value","5.05357429769405"
"2021","221 Health Professionals (not including Veterinarians)","2212 Psychologists","","","K02000001","Normal Value",""
"2020","221 Health Professionals (not including Veterinarians)","2213 Pharmacists","","","K02000001","Normal Value","10.9270500301172"
"2021","221 Health Professionals (not including Veterinarians)","2213 Pharmacists","","","K02000001","Normal Value",""
"2020","221 Health Professionals (not including Veterinarians)","2214 Ophthalmic opticians","","","K02000001","Normal Value","3.56284441636837"
"2021","221 Health Professionals (not including Veterinarians)","2214 Ophthalmic opticians","","","K02000001","Normal Value",""
"2020","221 Health Professionals (not including Veterinarians)","2215 Dental practitioners","","","K02000001","Normal Value","7.27476182086931"
"2021","221 Health Professionals (not including Veterinarians)","2215 Dental practitioners","","","K02000001","Normal Value",""
"2020","221 Health Professionals (not including Veterinarians)","2217 Medical radiographers","","","K02000001","Normal Value","4.97903780362776"
"2021","221 Health Professionals (not including Veterinarians)","2217 Medical radiographers","","","K02000001","Normal Value",""
"2020","221 Health Professionals (not including Veterinarians)","2218 Podiatrists","","","K02000001","Normal Value","2.11683643148246"
"2021","221 Health Professionals (not including Veterinarians)","2218 Podiatrists","","","K02000001","Normal Value",""
"2020","221 Health Professionals (not including Veterinarians)","2219 Health professionals n.e.c.","","","K02000001","Normal Value","9.76428072268319"
"2021","221 Health Professionals (not including Veterinarians)","2219 Health professionals n.e.c.","","","K02000001","Normal Value",""
"2020","222 Therapy Professionals","2221 Physiotherapists","","","K02000001","Normal Value","11.5680638790873"
"2021","222 Therapy Professionals","2221 Physiotherapists","","","K02000001","Normal Value",""
"2020","222 Therapy Professionals","2222 Occupational therapists","","","K02000001","Normal Value","7.27476182086931"
"2021","222 Therapy Professionals","2222 Occupational therapists","","","K02000001","Normal Value",""
"2020","222 Therapy Professionals","2223 Speech and language therapists","","","K02000001","Normal Value","3.35414223298277"
"2021","222 Therapy Professionals","2223 Speech and language therapists","","","K02000001","Normal Value",""
"2020","222 Therapy Professionals","2229 Therapy professionals n.e.c.","","","K02000001","Normal Value","10.8674208348642"
"2021","222 Therapy Professionals","2229 Therapy professionals n.e.c.","","","K02000001","Normal Value",""
"2020","223 Nursing and Midwifery Professionals","2231 Nurses","","","K02000001","Normal Value","93.6178365472526"
"2021","223 Nursing and Midwifery Professionals","2231 Nurses","","","K02000001","Normal Value",""
"2020","223 Nursing and Midwifery Professionals","2232 Midwives","","","K02000001","Normal Value","6.99152314341743"
"2021","223 Nursing and Midwifery Professionals","2232 Midwives","","","K02000001","Normal Value",""
"2020","321 Health Associate Professionals","3213 Paramedics","","","K02000001","Normal Value","5.1728326882001"
"2021","321 Health Associate Professionals","3213 Paramedics","","","K02000001","Normal Value",""
"2020","321 Health Associate Professionals","3216 Dispensing opticians","","","K02000001","Normal Value","1.80378315640407"
"2021","321 Health Associate Professionals","3216 Dispensing opticians","","","K02000001","Normal Value",""
"2020","321 Health Associate Professionals","3217 Pharmaceutical technicians","","","K02000001","Normal Value","4.42746774753726"
"2021","321 Health Associate Professionals","3217 Pharmaceutical technicians","","","K02000001","Normal Value",""
"2020","321 Health Associate Professionals","3218 Medical and dental technicians","","","K02000001","Normal Value","6.94680124697766"
"2021","321 Health Associate Professionals","3218 Medical and dental technicians","","","K02000001","Normal Value",""
"2020","321 Health Associate Professionals","3219 Health associate professionals n.e.c.","","","K02000001","Normal Value","8.42262382949008"
"2021","321 Health Associate Professionals","3219 Health associate professionals n.e.c.","","","K02000001","Normal Value",""
"2020","221 Health Professionals (not including Veterinarians)","","England","","E92000001","Normal Value","89.8494712780365"
"2021","221 Health Professionals (not including Veterinarians)","","England","","E92000001","Normal Value",""
"2020","222 Therapy Professionals","","England","","E92000001","Normal Value","33.4393525264253"
"2021","222 Therapy Professionals","","England","","E92000001","Normal Value",""
"2020","223 Nursing and Midwifery Professionals","","England","","E92000001","Normal Value","98.3198308021812"
"2021","223 Nursing and Midwifery Professionals","","England","","E92000001","Normal Value",""
"2020","321 Health Associate Professionals","","England","","E92000001","Normal Value","27.1086871618244"
"2021","321 Health Associate Professionals","","England","","E92000001","Normal Value",""
"2020","221 Health Professionals (not including Veterinarians)","2211 Medical practitioners","England","","E92000001","Normal Value","47.2147388924144"
"2021","221 Health Professionals (not including Veterinarians)","2211 Medical practitioners","England","","E92000001","Normal Value",""
"2020","221 Health Professionals (not including Veterinarians)","2212 Psychologists","England","","E92000001","Normal Value","5.12819261378283"
"2021","221 Health Professionals (not including Veterinarians)","2212 Psychologists","England","","E92000001","Normal Value",""
"2020","221 Health Professionals (not including Veterinarians)","2213 Pharmacists","England","","E92000001","Normal Value","9.90271677144271"
"2021","221 Health Professionals (not including Veterinarians)","2213 Pharmacists","England","","E92000001","Normal Value",""
"2020","221 Health Professionals (not including Veterinarians)","2214 Ophthalmic opticians","England","","E92000001","Normal Value","3.51900113842339"
"2021","221 Health Professionals (not including Veterinarians)","2214 Ophthalmic opticians","England","","E92000001","Normal Value",""
"2020","221 Health Professionals (not including Veterinarians)","2215 Dental practitioners","England","","E92000001","Normal Value","7.21483650490826"
"2021","221 Health Professionals (not including Veterinarians)","2215 Dental practitioners","England","","E92000001","Normal Value",""
"2020","221 Health Professionals (not including Veterinarians)","2217 Medical radiographers","England","","E92000001","Normal Value","5.0397754997521"
"2021","221 Health Professionals (not including Veterinarians)","2217 Medical radiographers","England","","E92000001","Normal Value",""
"2020","221 Health Professionals (not including Veterinarians)","2218 Podiatrists","England","","E92000001","Normal Value","2.12201073673772"
"2021","221 Health Professionals (not including Veterinarians)","2218 Podiatrists","England","","E92000001","Normal Value",""
"2020","221 Health Professionals (not including Veterinarians)","2219 Health professionals n.e.c.","England","","E92000001","Normal Value","9.69051569776894"
"2021","221 Health Professionals (not including Veterinarians)","2219 Health professionals n.e.c.","England","","E92000001","Normal Value",""
"2020","222 Therapy Professionals","2221 Physiotherapists","England","","E92000001","Normal Value","11.6710590520575"
"2021","222 Therapy Professionals","2221 Physiotherapists","England","","E92000001","Normal Value",""
"2020","222 Therapy Professionals","2222 Occupational therapists","England","","E92000001","Normal Value","6.61360012949924"
"2021","222 Therapy Professionals","2222 Occupational therapists","England","","E92000001","Normal Value",""
"2020","222 Therapy Professionals","2223 Speech and language therapists","England","","E92000001","Normal Value","3.41290060158651"
"2021","222 Therapy Professionals","2223 Speech and language therapists","England","","E92000001","Normal Value",""
"2020","222 Therapy Professionals","2229 Therapy professionals n.e.c.","England","","E92000001","Normal Value","11.7417927432821"
"2021","222 Therapy Professionals","2229 Therapy professionals n.e.c.","England","","E92000001","Normal Value",""
"2020","223 Nursing and Midwifery Professionals","2231 Nurses","England","","E92000001","Normal Value","91.0873108744668"
"2021","223 Nursing and Midwifery Professionals","2231 Nurses","England","","E92000001","Normal Value",""
"2020","223 Nursing and Midwifery Professionals","2232 Midwives","England","","E92000001","Normal Value","7.23251992771441"
"2021","223 Nursing and Midwifery Professionals","2232 Midwives","England","","E92000001","Normal Value",""
"2020","321 Health Associate Professionals","3213 Paramedics","England","","E92000001","Normal Value","5.32271026465046"
"2021","321 Health Associate Professionals","3213 Paramedics","England","","E92000001","Normal Value",""
"2020","321 Health Associate Professionals","3216 Dispensing opticians","England","","E92000001","Normal Value","1.85675939464551"
"2021","321 Health Associate Professionals","3216 Dispensing opticians","England","","E92000001","Normal Value",""
"2020","321 Health Associate Professionals","3217 Pharmaceutical technicians","England","","E92000001","Normal Value","3.97877013138323"
"2021","321 Health Associate Professionals","3217 Pharmaceutical technicians","England","","E92000001","Normal Value",""
"2020","321 Health Associate Professionals","3218 Medical and dental technicians","England","","E92000001","Normal Value","7.16178623648982"
"2021","321 Health Associate Professionals","3218 Medical and dental technicians","England","","E92000001","Normal Value",""
"2020","321 Health Associate Professionals","3219 Health associate professionals n.e.c.","England","","E92000001","Normal Value","8.78866113465541"
"2021","321 Health Associate Professionals","3219 Health associate professionals n.e.c.","England","","E92000001","Normal Value",""
"2020","221 Health Professionals (not including Veterinarians)","","England","East","E12000006","Normal Value","68.7492313564766"
