"Year","Series","Seasonally adjusted or not","Age","Sex","Units","Unit multiplier","Observation status","Value"
"2002","Proportion of youth not in education, employment or training","Seasonally adjusted","","","Percentage (%)","Units","Normal value","13.1825"
"2003","Proportion of youth not in education, employment or training","Seasonally adjusted","","","Percentage (%)","Units","Normal value","13.155"
"2004","Proportion of youth not in education, employment or training","Seasonally adjusted","","","Percentage (%)","Units","Normal value","13.045"
"2005","Proportion of youth not in education, employment or training","Seasonally adjusted","","","Percentage (%)","Units","Normal value","13.7475"
"2006","Proportion of youth not in education, employment or training","Seasonally adjusted","","","Percentage (%)","Units","Normal value","14.185"
"2007","Proportion of youth not in education, employment or training","Seasonally adjusted","","","Percentage (%)","Units","Normal value","13.82"
"2008","Proportion of youth not in education, employment or training","Seasonally adjusted","","","Percentage (%)","Units","Normal value","13.9175"
"2009","Proportion of youth not in education, employment or training","Seasonally adjusted","","","Percentage (%)","Units","Normal value","15.2525"
"2010","Proportion of youth not in education, employment or training","Seasonally adjusted","","","Percentage (%)","Units","Normal value","15.33"
"2011","Proportion of youth not in education, employment or training","Seasonally adjusted","","","Percentage (%)","Units","Normal value","16.1125"
"2012","Proportion of youth not in education, employment or training","Seasonally adjusted","","","Percentage (%)","Units","Normal value","15.55"
"2013","Proportion of youth not in education, employment or training","Seasonally adjusted","","","Percentage (%)","Units","Normal value","14.7675"
"2014","Proportion of youth not in education, employment or training","Seasonally adjusted","","","Percentage (%)","Units","Normal value","13.315"
"2015","Proportion of youth not in education, employment or training","Seasonally adjusted","","","Percentage (%)","Units","Normal value","12.295"
"2016","Proportion of youth not in education, employment or training","Seasonally adjusted","","","Percentage (%)","Units","Normal value","11.8075"
"2017","Proportion of youth not in education, employment or training","Seasonally adjusted","","","Percentage (%)","Units","Normal value","11.2075"
"2018","Proportion of youth not in education, employment or training","Seasonally adjusted","","","Percentage (%)","Units","Normal value","11.1675"
"2019","Proportion of youth not in education, employment or training","Seasonally adjusted","","","Percentage (%)","Units","Normal value","11.2875"
"2020","Proportion of youth not in education, employment or training","Seasonally adjusted","","","Percentage (%)","Units","Normal value","11.44"
"2021","Proportion of youth not in education, employment or training","Seasonally adjusted","","","Percentage (%)","Units","Normal value","10.165"
"2022","Proportion of youth not in education, employment or training","Seasonally adjusted","","","Percentage (%)","Units","Normal value","10.73"
"2001 Q4","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","","","Percentage (%)","Units","Normal value","12.934781341912604"
"2002 Q1","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","","","Percentage (%)","Units","Normal value","13.270712424813965"
"2002 Q2","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","","","Percentage (%)","Units","Normal value","13.410667192048292"
"2002 Q3","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","","","Percentage (%)","Units","Normal value","13.337405860282708"
"2002 Q4","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","","","Percentage (%)","Units","Normal value","12.705354680219683"
"2003 Q1","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","","","Percentage (%)","Units","Normal value","13.503876534855941"
"2003 Q2","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","","","Percentage (%)","Units","Normal value","13.397976146544357"
"2003 Q3","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","","","Percentage (%)","Units","Normal value","13.118133107031547"
"2003 Q4","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","","","Percentage (%)","Units","Normal value","12.597609194809698"
"2004 Q1","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","","","Percentage (%)","Units","Normal value","12.360430672632896"
"2004 Q2","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","","","Percentage (%)","Units","Normal value","12.935088179179827"
"2004 Q3","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","","","Percentage (%)","Units","Normal value","13.440885503966712"
"2004 Q4","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","","","Percentage (%)","Units","Normal value","13.444719211098599"
"2005 Q1","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","","","Percentage (%)","Units","Normal value","13.431194822487246"
"2005 Q2","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","","","Percentage (%)","Units","Normal value","13.686430629829887"
"2005 Q3","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","","","Percentage (%)","Units","Normal value","13.467630940819708"
"2005 Q4","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","","","Percentage (%)","Units","Normal value","14.398049814610847"
"2006 Q1","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","","","Percentage (%)","Units","Normal value","14.073319896553166"
"2006 Q2","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","","","Percentage (%)","Units","Normal value","14.559366374380057"
"2006 Q3","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","","","Percentage (%)","Units","Normal value","14.276769690946796"
"2006 Q4","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","","","Percentage (%)","Units","Normal value","13.829892828862944"
"2007 Q1","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","","","Percentage (%)","Units","Normal value","14.068087105468591"
"2007 Q2","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","","","Percentage (%)","Units","Normal value","14.057973713995228"
"2007 Q3","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","","","Percentage (%)","Units","Normal value","13.716586894757166"
"2007 Q4","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","","","Percentage (%)","Units","Normal value","13.427414366235741"
"2008 Q1","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","","","Percentage (%)","Units","Normal value","13.399789682828386"
"2008 Q2","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","","","Percentage (%)","Units","Normal value","13.81804437847701"
"2008 Q3","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","","","Percentage (%)","Units","Normal value","14.290344059330588"
"2008 Q4","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","","","Percentage (%)","Units","Normal value","14.160311909520493"
"2009 Q1","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","","","Percentage (%)","Units","Normal value","15.135325963460339"
"2009 Q2","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","","","Percentage (%)","Units","Normal value","15.553113862653936"
"2009 Q3","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","","","Percentage (%)","Units","Normal value","15.443627556976786"
"2009 Q4","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","","","Percentage (%)","Units","Normal value","14.880719809208992"
"2010 Q1","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","","","Percentage (%)","Units","Normal value","15.468273641660071"
"2010 Q2","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","","","Percentage (%)","Units","Normal value","14.696983166661335"
"2010 Q3","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","","","Percentage (%)","Units","Normal value","15.290982975887179"
"2010 Q4","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","","","Percentage (%)","Units","Normal value","15.862907459560734"
"2011 Q1","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","","","Percentage (%)","Units","Normal value","15.294552255409455"
"2011 Q2","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","","","Percentage (%)","Units","Normal value","15.80257215399447"
"2011 Q3","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","","","Percentage (%)","Units","Normal value","16.902032499834196"
"2011 Q4","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","","","Percentage (%)","Units","Normal value","16.458923774947955"
"2012 Q1","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","","","Percentage (%)","Units","Normal value","16.212337633731785"
