Year,Series,Country,Socio-economic group,Units,Unit multiplier,Observation status,Value
2020,Percentage of people who are current cigarette smokers aged 18 years and older,England,Managerial and professional occupations,Percentage,Units,Normal value,9.6
2019,Percentage of people who are current cigarette smokers aged 18 years and older,England,Managerial and professional occupations,Percentage,Units,Normal value,9.6999999999999993
2018,Percentage of people who are current cigarette smokers aged 18 years and older,England,Managerial and professional occupations,Percentage,Units,Normal value,10.199999999999999
2017,Percentage of people who are current cigarette smokers aged 18 years and older,England,Managerial and professional occupations,Percentage,Units,Normal value,10.3
2016,Percentage of people who are current cigarette smokers aged 18 years and older,England,Managerial and professional occupations,Percentage,Units,Normal value,10.5
2015,Percentage of people who are current cigarette smokers aged 18 years and older,England,Managerial and professional occupations,Percentage,Units,Normal value,12.2
2014,Percentage of people who are current cigarette smokers aged 18 years and older,England,Managerial and professional occupations,Percentage,Units,Normal value,12.5
2020,Percentage of people who are current cigarette smokers aged 18 years and older,England,Intermediate occupations,Percentage,Units,Normal value,15.9
2019,Percentage of people who are current cigarette smokers aged 18 years and older,England,Intermediate occupations,Percentage,Units,Normal value,15.4
2018,Percentage of people who are current cigarette smokers aged 18 years and older,England,Intermediate occupations,Percentage,Units,Normal value,15.8
2017,Percentage of people who are current cigarette smokers aged 18 years and older,England,Intermediate occupations,Percentage,Units,Normal value,16.3
2016,Percentage of people who are current cigarette smokers aged 18 years and older,England,Intermediate occupations,Percentage,Units,Normal value,17.5
2015,Percentage of people who are current cigarette smokers aged 18 years and older,England,Intermediate occupations,Percentage,Units,Normal value,18.399999999999999
2014,Percentage of people who are current cigarette smokers aged 18 years and older,England,Intermediate occupations,Percentage,Units,Normal value,19.2
2020,Percentage of people who are current cigarette smokers aged 18 years and older,England,Routine and manual,Percentage,Units,Normal value,24.5
2019,Percentage of people who are current cigarette smokers aged 18 years and older,England,Routine and manual,Percentage,Units,Normal value,24.5
2018,Percentage of people who are current cigarette smokers aged 18 years and older,England,Routine and manual,Percentage,Units,Normal value,25.4
2017,Percentage of people who are current cigarette smokers aged 18 years and older,England,Routine and manual,Percentage,Units,Normal value,25.7
2016,Percentage of people who are current cigarette smokers aged 18 years and older,England,Routine and manual,Percentage,Units,Normal value,26.5
2015,Percentage of people who are current cigarette smokers aged 18 years and older,England,Routine and manual,Percentage,Units,Normal value,28.1
2014,Percentage of people who are current cigarette smokers aged 18 years and older,England,Routine and manual,Percentage,Units,Normal value,29.6
2020,Percentage of people who are current cigarette smokers aged 18 years and older,England,"Never worked, long term unemployed, and n.e.c",Percentage,Units,Normal value,17.5
2019,Percentage of people who are current cigarette smokers aged 18 years and older,England,"Never worked, long term unemployed, and n.e.c",Percentage,Units,Normal value,17.899999999999999
2018,Percentage of people who are current cigarette smokers aged 18 years and older,England,"Never worked, long term unemployed, and n.e.c",Percentage,Units,Normal value,18.5
2017,Percentage of people who are current cigarette smokers aged 18 years and older,England,"Never worked, long term unemployed, and n.e.c",Percentage,Units,Normal value,19.399999999999999
2016,Percentage of people who are current cigarette smokers aged 18 years and older,England,"Never worked, long term unemployed, and n.e.c",Percentage,Units,Normal value,20.2
2015,Percentage of people who are current cigarette smokers aged 18 years and older,England,"Never worked, long term unemployed, and n.e.c",Percentage,Units,Normal value,22.1
2014,Percentage of people who are current cigarette smokers aged 18 years and older,England,"Never worked, long term unemployed, and n.e.c",Percentage,Units,Normal value,23.9
2020,Percentage of people who are current cigarette smokers aged 18 years and older,Wales,Managerial and professional occupations,Percentage,Units,Normal value,9.6999999999999993
2019,Percentage of people who are current cigarette smokers aged 18 years and older,Wales,Managerial and professional occupations,Percentage,Units,Normal value,10.4
2018,Percentage of people who are current cigarette smokers aged 18 years and older,Wales,Managerial and professional occupations,Percentage,Units,Normal value,10.4
2017,Percentage of people who are current cigarette smokers aged 18 years and older,Wales,Managerial and professional occupations,Percentage,Units,Normal value,10.5
2016,Percentage of people who are current cigarette smokers aged 18 years and older,Wales,Managerial and professional occupations,Percentage,Units,Normal value,11.1
2015,Percentage of people who are current cigarette smokers aged 18 years and older,Wales,Managerial and professional occupations,Percentage,Units,Normal value,11.4
2014,Percentage of people who are current cigarette smokers aged 18 years and older,Wales,Managerial and professional occupations,Percentage,Units,Normal value,12.8
2020,Percentage of people who are current cigarette smokers aged 18 years and older,Wales,Intermediate occupations,Percentage,Units,Normal value,16.3
2019,Percentage of people who are current cigarette smokers aged 18 years and older,Wales,Intermediate occupations,Percentage,Units,Normal value,15
2018,Percentage of people who are current cigarette smokers aged 18 years and older,Wales,Intermediate occupations,Percentage,Units,Normal value,15.8
2017,Percentage of people who are current cigarette smokers aged 18 years and older,Wales,Intermediate occupations,Percentage,Units,Normal value,15.3
2016,Percentage of people who are current cigarette smokers aged 18 years and older,Wales,Intermediate occupations,Percentage,Units,Normal value,16.600000000000001
2015,Percentage of people who are current cigarette smokers aged 18 years and older,Wales,Intermediate occupations,Percentage,Units,Normal value,17.5
2014,Percentage of people who are current cigarette smokers aged 18 years and older,Wales,Intermediate occupations,Percentage,Units,Normal value,18.600000000000001
2020,Percentage of people who are current cigarette smokers aged 18 years and older,Wales,Routine and manual,Percentage,Units,Normal value,25.3
2019,Percentage of people who are current cigarette smokers aged 18 years and older,Wales,Routine and manual,Percentage,Units,Normal value,26.7
2018,Percentage of people who are current cigarette smokers aged 18 years and older,Wales,Routine and manual,Percentage,Units,Normal value,27.1
2017,Percentage of people who are current cigarette smokers aged 18 years and older,Wales,Routine and manual,Percentage,Units,Normal value,26.8
2016,Percentage of people who are current cigarette smokers aged 18 years and older,Wales,Routine and manual,Percentage,Units,Normal value,27.2
2015,Percentage of people who are current cigarette smokers aged 18 years and older,Wales,Routine and manual,Percentage,Units,Normal value,29.5
2014,Percentage of people who are current cigarette smokers aged 18 years and older,Wales,Routine and manual,Percentage,Units,Normal value,30.6
2020,Percentage of people who are current cigarette smokers aged 18 years and older,Wales,"Never worked, long term unemployed, and n.e.c",Percentage,Units,Normal value,23
2019,Percentage of people who are current cigarette smokers aged 18 years and older,Wales,"Never worked, long term unemployed, and n.e.c",Percentage,Units,Normal value,22.6
2018,Percentage of people who are current cigarette smokers aged 18 years and older,Wales,"Never worked, long term unemployed, and n.e.c",Percentage,Units,Normal value,23.8
2017,Percentage of people who are current cigarette smokers aged 18 years and older,Wales,"Never worked, long term unemployed, and n.e.c",Percentage,Units,Normal value,24.3
2016,Percentage of people who are current cigarette smokers aged 18 years and older,Wales,"Never worked, long term unemployed, and n.e.c",Percentage,Units,Normal value,23.8
2015,Percentage of people who are current cigarette smokers aged 18 years and older,Wales,"Never worked, long term unemployed, and n.e.c",Percentage,Units,Normal value,26.4
2014,Percentage of people who are current cigarette smokers aged 18 years and older,Wales,"Never worked, long term unemployed, and n.e.c",Percentage,Units,Normal value,27.8
2020,Percentage of people who are current cigarette smokers aged 18 years and older,Scotland,Managerial and professional occupations,Percentage,Units,Normal value,9.1
2019,Percentage of people who are current cigarette smokers aged 18 years and older,Scotland,Managerial and professional occupations,Percentage,Units,Normal value,9
2018,Percentage of people who are current cigarette smokers aged 18 years and older,Scotland,Managerial and professional occupations,Percentage,Units,Normal value,10
2017,Percentage of people who are current cigarette smokers aged 18 years and older,Scotland,Managerial and professional occupations,Percentage,Units,Normal value,9
2016,Percentage of people who are current cigarette smokers aged 18 years and older,Scotland,Managerial and professional occupations,Percentage,Units,Normal value,10.4
2015,Percentage of people who are current cigarette smokers aged 18 years and older,Scotland,Managerial and professional occupations,Percentage,Units,Normal value,11.2
2014,Percentage of people who are current cigarette smokers aged 18 years and older,Scotland,Managerial and professional occupations,Percentage,Units,Normal value,12.9
2020,Percentage of people who are current cigarette smokers aged 18 years and older,Scotland,Intermediate occupations,Percentage,Units,Normal value,15.3
2019,Percentage of people who are current cigarette smokers aged 18 years and older,Scotland,Intermediate occupations,Percentage,Units,Normal value,13.5
2018,Percentage of people who are current cigarette smokers aged 18 years and older,Scotland,Intermediate occupations,Percentage,Units,Normal value,15.6
2017,Percentage of people who are current cigarette smokers aged 18 years and older,Scotland,Intermediate occupations,Percentage,Units,Normal value,16.399999999999999
2016,Percentage of people who are current cigarette smokers aged 18 years and older,Scotland,Intermediate occupations,Percentage,Units,Normal value,15.6
2015,Percentage of people who are current cigarette smokers aged 18 years and older,Scotland,Intermediate occupations,Percentage,Units,Normal value,18
2014,Percentage of people who are current cigarette smokers aged 18 years and older,Scotland,Intermediate occupations,Percentage,Units,Normal value,18.100000000000001
2020,Percentage of people who are current cigarette smokers aged 18 years and older,Scotland,Routine and manual,Percentage,Units,Normal value,27.7
2019,Percentage of people who are current cigarette smokers aged 18 years and older,Scotland,Routine and manual,Percentage,Units,Normal value,26.2
2018,Percentage of people who are current cigarette smokers aged 18 years and older,Scotland,Routine and manual,Percentage,Units,Normal value,26.4
2017,Percentage of people who are current cigarette smokers aged 18 years and older,Scotland,Routine and manual,Percentage,Units,Normal value,27.8
2016,Percentage of people who are current cigarette smokers aged 18 years and older,Scotland,Routine and manual,Percentage,Units,Normal value,28.9
2015,Percentage of people who are current cigarette smokers aged 18 years and older,Scotland,Routine and manual,Percentage,Units,Normal value,30.3
2014,Percentage of people who are current cigarette smokers aged 18 years and older,Scotland,Routine and manual,Percentage,Units,Normal value,32
2020,Percentage of people who are current cigarette smokers aged 18 years and older,Scotland,"Never worked, long term unemployed, and n.e.c",Percentage,Units,Normal value,23.6
2019,Percentage of people who are current cigarette smokers aged 18 years and older,Scotland,"Never worked, long term unemployed, and n.e.c",Percentage,Units,Normal value,22.4
2018,Percentage of people who are current cigarette smokers aged 18 years and older,Scotland,"Never worked, long term unemployed, and n.e.c",Percentage,Units,Normal value,23.9
2017,Percentage of people who are current cigarette smokers aged 18 years and older,Scotland,"Never worked, long term unemployed, and n.e.c",Percentage,Units,Normal value,23.2
2016,Percentage of people who are current cigarette smokers aged 18 years and older,Scotland,"Never worked, long term unemployed, and n.e.c",Percentage,Units,Normal value,27.5
2015,Percentage of people who are current cigarette smokers aged 18 years and older,Scotland,"Never worked, long term unemployed, and n.e.c",Percentage,Units,Normal value,28.2
2014,Percentage of people who are current cigarette smokers aged 18 years and older,Scotland,"Never worked, long term unemployed, and n.e.c",Percentage,Units,Normal value,28.9
2020,Percentage of people who are current cigarette smokers aged 18 years and older,Northern Ireland,Managerial and professional occupations,Percentage,Units,Normal value,7.5
2019,Percentage of people who are current cigarette smokers aged 18 years and older,Northern Ireland,Managerial and professional occupations,Percentage,Units,Normal value,8.1999999999999993
2018,Percentage of people who are current cigarette smokers aged 18 years and older,Northern Ireland,Managerial and professional occupations,Percentage,Units,Normal value,9.6999999999999993
2017,Percentage of people who are current cigarette smokers aged 18 years and older,Northern Ireland,Managerial and professional occupations,Percentage,Units,Normal value,9.9
2016,Percentage of people who are current cigarette smokers aged 18 years and older,Northern Ireland,Managerial and professional occupations,Percentage,Units,Normal value,11.3
2015,Percentage of people who are current cigarette smokers aged 18 years and older,Northern Ireland,Managerial and professional occupations,Percentage,Units,Normal value,11
2014,Percentage of people who are current cigarette smokers aged 18 years and older,Northern Ireland,Managerial and professional occupations,Percentage,Units,Normal value,11
2020,Percentage of people who are current cigarette smokers aged 18 years and older,Northern Ireland,Intermediate occupations,Percentage,Units,Normal value,15.6
2019,Percentage of people who are current cigarette smokers aged 18 years and older,Northern Ireland,Intermediate occupations,Percentage,Units,Normal value,15.3
2018,Percentage of people who are current cigarette smokers aged 18 years and older,Northern Ireland,Intermediate occupations,Percentage,Units,Normal value,13.2
2017,Percentage of people who are current cigarette smokers aged 18 years and older,Northern Ireland,Intermediate occupations,Percentage,Units,Normal value,14.7
2016,Percentage of people who are current cigarette smokers aged 18 years and older,Northern Ireland,Intermediate occupations,Percentage,Units,Normal value,14.7
2015,Percentage of people who are current cigarette smokers aged 18 years and older,Northern Ireland,Intermediate occupations,Percentage,Units,Normal value,13.1
2014,Percentage of people who are current cigarette smokers aged 18 years and older,Northern Ireland,Intermediate occupations,Percentage,Units,Normal value,18.399999999999999
2020,Percentage of people who are current cigarette smokers aged 18 years and older,Northern Ireland,Routine and manual,Percentage,Units,Normal value,22.8
2019,Percentage of people who are current cigarette smokers aged 18 years and older,Northern Ireland,Routine and manual,Percentage,Units,Normal value,23.9
2018,Percentage of people who are current cigarette smokers aged 18 years and older,Northern Ireland,Routine and manual,Percentage,Units,Normal value,22.4
2017,Percentage of people who are current cigarette smokers aged 18 years and older,Northern Ireland,Routine and manual,Percentage,Units,Normal value,24.1
2016,Percentage of people who are current cigarette smokers aged 18 years and older,Northern Ireland,Routine and manual,Percentage,Units,Normal value,28.2
2015,Percentage of people who are current cigarette smokers aged 18 years and older,Northern Ireland,Routine and manual,Percentage,Units,Normal value,31
2014,Percentage of people who are current cigarette smokers aged 18 years and older,Northern Ireland,Routine and manual,Percentage,Units,Normal value,25.7
2020,Percentage of people who are current cigarette smokers aged 18 years and older,Northern Ireland,"Never worked, long term unemployed, and n.e.c",Percentage,Units,Normal value,23.3
2019,Percentage of people who are current cigarette smokers aged 18 years and older,Northern Ireland,"Never worked, long term unemployed, and n.e.c",Percentage,Units,Normal value,24.1
2018,Percentage of people who are current cigarette smokers aged 18 years and older,Northern Ireland,"Never worked, long term unemployed, and n.e.c",Percentage,Units,Normal value,23.2
2017,Percentage of people who are current cigarette smokers aged 18 years and older,Northern Ireland,"Never worked, long term unemployed, and n.e.c",Percentage,Units,Normal value,24.8
2016,Percentage of people who are current cigarette smokers aged 18 years and older,Northern Ireland,"Never worked, long term unemployed, and n.e.c",Percentage,Units,Normal value,26.2
2015,Percentage of people who are current cigarette smokers aged 18 years and older,Northern Ireland,"Never worked, long term unemployed, and n.e.c",Percentage,Units,Normal value,27.1
2014,Percentage of people who are current cigarette smokers aged 18 years and older,Northern Ireland,"Never worked, long term unemployed, and n.e.c",Percentage,Units,Normal value,26.4
