Year,Series,Sex,Region of England,Age group,Units,Unit multiplier,Observation status,Value
2021,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,North East,18-24,Percentage,Units,Normal value,15.1
2020,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,North East,18-24,Percentage,Units,Normal value,17.2
2019,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,North East,18-24,Percentage,Units,Normal value,16.7
2018,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,North East,18-24,Percentage,Units,Normal value,18.899999999999999
2017,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,North East,18-24,Percentage,Units,Normal value,17.7
2016,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,North East,18-24,Percentage,Units,Normal value,20.100000000000001
2015,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,North East,18-24,Percentage,Units,Normal value,22.6
2014,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,North East,18-24,Percentage,Units,Normal value,24.1
2013,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,North East,18-24,Percentage,Units,Normal value,25.2
2012,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,North East,18-24,Percentage,Units,Normal value,30.6
2011,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,North East,18-24,Percentage,Units,Normal value,25.9
2021,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,North East,25-34,Percentage,Units,Normal value,17.3
2020,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,North East,25-34,Percentage,Units,Normal value,20.2
2019,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,North East,25-34,Percentage,Units,Normal value,20.7
2018,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,North East,25-34,Percentage,Units,Normal value,21.9
2017,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,North East,25-34,Percentage,Units,Normal value,20.8
2016,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,North East,25-34,Percentage,Units,Normal value,21.9
2015,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,North East,25-34,Percentage,Units,Normal value,24.4
2014,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,North East,25-34,Percentage,Units,Normal value,26.5
2013,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,North East,25-34,Percentage,Units,Normal value,29.1
2012,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,North East,25-34,Percentage,Units,Normal value,26.8
2011,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,North East,25-34,Percentage,Units,Normal value,27.5
2021,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,North East,35-44,Percentage,Units,Normal value,18
2020,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,North East,35-44,Percentage,Units,Normal value,15.9
2019,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,North East,35-44,Percentage,Units,Normal value,17.600000000000001
2018,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,North East,35-44,Percentage,Units,Normal value,18.399999999999999
2017,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,North East,35-44,Percentage,Units,Normal value,18.899999999999999
2016,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,North East,35-44,Percentage,Units,Normal value,20.399999999999999
2015,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,North East,35-44,Percentage,Units,Normal value,21.4
2014,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,North East,35-44,Percentage,Units,Normal value,21.6
2013,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,North East,35-44,Percentage,Units,Normal value,24.3
2012,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,North East,35-44,Percentage,Units,Normal value,25.3
2011,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,North East,35-44,Percentage,Units,Normal value,24.7
2021,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,North East,45-54,Percentage,Units,Normal value,18.2
2020,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,North East,45-54,Percentage,Units,Normal value,18.2
2019,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,North East,45-54,Percentage,Units,Normal value,17.8
2018,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,North East,45-54,Percentage,Units,Normal value,16.5
2017,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,North East,45-54,Percentage,Units,Normal value,18.3
2016,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,North East,45-54,Percentage,Units,Normal value,18.600000000000001
2015,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,North East,45-54,Percentage,Units,Normal value,21.4
2014,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,North East,45-54,Percentage,Units,Normal value,21.4
2013,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,North East,45-54,Percentage,Units,Normal value,21.7
2012,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,North East,45-54,Percentage,Units,Normal value,23.7
2011,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,North East,45-54,Percentage,Units,Normal value,22.4
2021,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,North East,55-64,Percentage,Units,Normal value,15.8
2020,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,North East,55-64,Percentage,Units,Normal value,16.600000000000001
2019,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,North East,55-64,Percentage,Units,Normal value,14.3
2018,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,North East,55-64,Percentage,Units,Normal value,15.7
2017,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,North East,55-64,Percentage,Units,Normal value,15.4
2016,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,North East,55-64,Percentage,Units,Normal value,16.5
2015,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,North East,55-64,Percentage,Units,Normal value,16.399999999999999
2014,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,North East,55-64,Percentage,Units,Normal value,18.3
2013,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,North East,55-64,Percentage,Units,Normal value,19.2
2012,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,North East,55-64,Percentage,Units,Normal value,20.9
2011,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,North East,55-64,Percentage,Units,Normal value,20
2021,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,North East,65+,Percentage,Units,Normal value,8
2020,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,North East,65+,Percentage,Units,Normal value,9.6
2019,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,North East,65+,Percentage,Units,Normal value,8.5
2018,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,North East,65+,Percentage,Units,Normal value,8.9
2017,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,North East,65+,Percentage,Units,Normal value,9.8000000000000007
2016,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,North East,65+,Percentage,Units,Normal value,9.9
2015,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,North East,65+,Percentage,Units,Normal value,10.5
2014,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,North East,65+,Percentage,Units,Normal value,11.6
2013,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,North East,65+,Percentage,Units,Normal value,12.3
2012,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,North East,65+,Percentage,Units,Normal value,10.9
