Year,Series,Sex,Country,Age group,Units,Unit multiplier,Observation status,Value
2021,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,England,18-24,Percentage,Units,Normal value,13.2
2020,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,England,18-24,Percentage,Units,Normal value,14.6
2019,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,England,18-24,Percentage,Units,Normal value,16
2018,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,England,18-24,Percentage,Units,Normal value,17
2017,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,England,18-24,Percentage,Units,Normal value,18.100000000000001
2016,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,England,18-24,Percentage,Units,Normal value,19.5
2015,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,England,18-24,Percentage,Units,Normal value,20.8
2014,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,England,18-24,Percentage,Units,Normal value,23.9
2013,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,England,18-24,Percentage,Units,Normal value,23.6
2012,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,England,18-24,Percentage,Units,Normal value,25.2
2011,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,England,18-24,Percentage,Units,Normal value,25.8
2021,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,England,25-34,Percentage,Units,Normal value,15.7
2020,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,England,25-34,Percentage,Units,Normal value,17.899999999999999
2019,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,England,25-34,Percentage,Units,Normal value,18.899999999999999
2018,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,England,25-34,Percentage,Units,Normal value,19
2017,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,England,25-34,Percentage,Units,Normal value,19.600000000000001
2016,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,England,25-34,Percentage,Units,Normal value,20.6
2015,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,England,25-34,Percentage,Units,Normal value,22.8
2014,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,England,25-34,Percentage,Units,Normal value,23.6
