Year,Series,Country,Country of birth,Units,Unit multiplier,Observation status,Value
2021,Percentage of people who are current cigarette smokers aged 18 years and older,England,India,Percentage,Units,Normal value,4.3
2020,Percentage of people who are current cigarette smokers aged 18 years and older,England,India,Percentage,Units,Normal value,5.2
2019,Percentage of people who are current cigarette smokers aged 18 years and older,England,India,Percentage,Units,Normal value,5.4
2018,Percentage of people who are current cigarette smokers aged 18 years and older,England,India,Percentage,Units,Normal value,5.2
2017,Percentage of people who are current cigarette smokers aged 18 years and older,England,India,Percentage,Units,Normal value,4.5999999999999996
2016,Percentage of people who are current cigarette smokers aged 18 years and older,England,India,Percentage,Units,Normal value,5.2
2015,Percentage of people who are current cigarette smokers aged 18 years and older,England,India,Percentage,Units,Normal value,5.5
2014,Percentage of people who are current cigarette smokers aged 18 years and older,England,India,Percentage,Units,Normal value,5.6
2021,Percentage of people who are current cigarette smokers aged 18 years and older,England,Republic of Ireland,Percentage,Units,Normal value,10.6
2020,Percentage of people who are current cigarette smokers aged 18 years and older,England,Republic of Ireland,Percentage,Units,Normal value,12.3
2019,Percentage of people who are current cigarette smokers aged 18 years and older,England,Republic of Ireland,Percentage,Units,Normal value,13.5
2018,Percentage of people who are current cigarette smokers aged 18 years and older,England,Republic of Ireland,Percentage,Units,Normal value,11.6
2017,Percentage of people who are current cigarette smokers aged 18 years and older,England,Republic of Ireland,Percentage,Units,Normal value,13.2
2016,Percentage of people who are current cigarette smokers aged 18 years and older,England,Republic of Ireland,Percentage,Units,Normal value,15.3
2015,Percentage of people who are current cigarette smokers aged 18 years and older,England,Republic of Ireland,Percentage,Units,Normal value,15
2014,Percentage of people who are current cigarette smokers aged 18 years and older,England,Republic of Ireland,Percentage,Units,Normal value,16.5
2021,Percentage of people who are current cigarette smokers aged 18 years and older,England,Pakistan,Percentage,Units,Normal value,10.9
2020,Percentage of people who are current cigarette smokers aged 18 years and older,England,Pakistan,Percentage,Units,Normal value,10.7
2019,Percentage of people who are current cigarette smokers aged 18 years and older,England,Pakistan,Percentage,Units,Normal value,9.6999999999999993
2018,Percentage of people who are current cigarette smokers aged 18 years and older,England,Pakistan,Percentage,Units,Normal value,10.6
2017,Percentage of people who are current cigarette smokers aged 18 years and older,England,Pakistan,Percentage,Units,Normal value,10.1
2016,Percentage of people who are current cigarette smokers aged 18 years and older,England,Pakistan,Percentage,Units,Normal value,10.4
2015,Percentage of people who are current cigarette smokers aged 18 years and older,England,Pakistan,Percentage,Units,Normal value,9.6999999999999993
2014,Percentage of people who are current cigarette smokers aged 18 years and older,England,Pakistan,Percentage,Units,Normal value,13.5
2021,Percentage of people who are current cigarette smokers aged 18 years and older,England,Poland,Percentage,Units,Normal value,21.1
2020,Percentage of people who are current cigarette smokers aged 18 years and older,England,Poland,Percentage,Units,Normal value,23.9
2019,Percentage of people who are current cigarette smokers aged 18 years and older,England,Poland,Percentage,Units,Normal value,23.9
2018,Percentage of people who are current cigarette smokers aged 18 years and older,England,Poland,Percentage,Units,Normal value,24.8
2017,Percentage of people who are current cigarette smokers aged 18 years and older,England,Poland,Percentage,Units,Normal value,27.4
2016,Percentage of people who are current cigarette smokers aged 18 years and older,England,Poland,Percentage,Units,Normal value,29.6
2015,Percentage of people who are current cigarette smokers aged 18 years and older,England,Poland,Percentage,Units,Normal value,30.3
2014,Percentage of people who are current cigarette smokers aged 18 years and older,England,Poland,Percentage,Units,Normal value,32.299999999999997
2021,Percentage of people who are current cigarette smokers aged 18 years and older,England,England,Percentage,Units,Normal value,13.4
2020,Percentage of people who are current cigarette smokers aged 18 years and older,England,England,Percentage,Units,Normal value,14
2019,Percentage of people who are current cigarette smokers aged 18 years and older,England,England,Percentage,Units,Normal value,14
2018,Percentage of people who are current cigarette smokers aged 18 years and older,England,England,Percentage,Units,Normal value,14.6
2017,Percentage of people who are current cigarette smokers aged 18 years and older,England,England,Percentage,Units,Normal value,14.9
2016,Percentage of people who are current cigarette smokers aged 18 years and older,England,England,Percentage,Units,Normal value,15.6
2015,Percentage of people who are current cigarette smokers aged 18 years and older,England,England,Percentage,Units,Normal value,17.2
2014,Percentage of people who are current cigarette smokers aged 18 years and older,England,England,Percentage,Units,Normal value,18.100000000000001
2021,Percentage of people who are current cigarette smokers aged 18 years and older,England,Northern Ireland,Percentage,Units,Normal value,10.6
2020,Percentage of people who are current cigarette smokers aged 18 years and older,England,Northern Ireland,Percentage,Units,Normal value,9.4
2019,Percentage of people who are current cigarette smokers aged 18 years and older,England,Northern Ireland,Percentage,Units,Normal value,13.2
2018,Percentage of people who are current cigarette smokers aged 18 years and older,England,Northern Ireland,Percentage,Units,Normal value,11.2
2017,Percentage of people who are current cigarette smokers aged 18 years and older,England,Northern Ireland,Percentage,Units,Normal value,16.100000000000001
2016,Percentage of people who are current cigarette smokers aged 18 years and older,England,Northern Ireland,Percentage,Units,Normal value,14.7
2015,Percentage of people who are current cigarette smokers aged 18 years and older,England,Northern Ireland,Percentage,Units,Normal value,16.3
2014,Percentage of people who are current cigarette smokers aged 18 years and older,England,Northern Ireland,Percentage,Units,Normal value,18.5
2021,Percentage of people who are current cigarette smokers aged 18 years and older,England,Scotland,Percentage,Units,Normal value,13.6
2020,Percentage of people who are current cigarette smokers aged 18 years and older,England,Scotland,Percentage,Units,Normal value,13.7
2019,Percentage of people who are current cigarette smokers aged 18 years and older,England,Scotland,Percentage,Units,Normal value,14.8
2018,Percentage of people who are current cigarette smokers aged 18 years and older,England,Scotland,Percentage,Units,Normal value,13.6
2017,Percentage of people who are current cigarette smokers aged 18 years and older,England,Scotland,Percentage,Units,Normal value,15.2
2016,Percentage of people who are current cigarette smokers aged 18 years and older,England,Scotland,Percentage,Units,Normal value,15.6
2015,Percentage of people who are current cigarette smokers aged 18 years and older,England,Scotland,Percentage,Units,Normal value,16.399999999999999
2014,Percentage of people who are current cigarette smokers aged 18 years and older,England,Scotland,Percentage,Units,Normal value,18.7
2021,Percentage of people who are current cigarette smokers aged 18 years and older,England,Wales,Percentage,Units,Normal value,9.1
