"Year","Series","Safely managed element","Service level","Facility type","Urban or rural","Unit measure","Observation status","Value"
2000,"Facility type","","","Improved latrine and other"," ","Percentage (%)","Normal value",0.00983
2000,"Facility type","","","Improved latrine and other","Rural","Percentage (%)","Normal value",0
2000,"Facility type","","","Improved latrine and other","Urban","Percentage (%)","Normal value",0.0125
2000,"Facility type","","","Septic tank"," ","Percentage (%)","Normal value",2.64412
2000,"Facility type","","","Septic tank","Rural","Percentage (%)","Normal value",11.83261
2000,"Facility type","","","Septic tank","Urban","Percentage (%)","Normal value",0.15
2000,"Facility type","","","Sewer"," ","Percentage (%)","Normal value",97.17021
2000,"Facility type","","","Sewer","Rural","Percentage (%)","Normal value",87.94239
2000,"Facility type","","","Sewer","Urban","Percentage (%)","Normal value",99.675
2000,"Safeley managed element","Disposed insitu","",""," ","Percentage (%)","Normal value",0.66377
2000,"Safeley managed element","Disposed insitu","","","Rural","Percentage (%)","Normal value",2.94925
2000,"Safeley managed element","Disposed insitu","","","Urban","Percentage (%)","Normal value",0.0434
2000,"Safeley managed element","Faecal sludge treated","",""," ","Percentage (%)","Normal value",0.66328
2000,"Safeley managed element","Faecal sludge treated","","","Rural","Percentage (%)","Normal value",2.94709
2000,"Safeley managed element","Faecal sludge treated","","","Urban","Percentage (%)","Normal value",0.04337
2000,"Safeley managed element","Sewage treated","",""," ","Percentage (%)","Normal value",96.41396
2000,"Safeley managed element","Sewage treated","","","Rural","Percentage (%)","Normal value",87.61352
2000,"Safeley managed element","Sewage treated","","","Urban","Percentage (%)","Normal value",98.80274
2000,"Service level","","Basic service",""," ","Percentage (%)","Normal value",1.38898
2000,"Service level","","Basic service","","Rural","Percentage (%)","Normal value",5.96491
2000,"Service level","","Basic service","","Urban","Percentage (%)","Normal value",0.14689
2000,"Service level","","Limited service",""," ","Percentage (%)","Normal value",0.69417
2000,"Service level","","Limited service","","Rural","Percentage (%)","Normal value",0.30023
2000,"Service level","","Limited service","","Urban","Percentage (%)","Normal value",0.8011
2000,"Service level","","Open defecation",""," ","Percentage (%)","Normal value",0
2000,"Service level","","Open defecation","","Rural","Percentage (%)","Normal value",0
2000,"Service level","","Open defecation","","Urban","Percentage (%)","Normal value",0
2000,"Service level","","Safely managed service",""," ","Percentage (%)","Normal value",97.74101
2000,"Service level","","Safely managed service","","Rural","Percentage (%)","Normal value",93.50986
2000,"Service level","","Safely managed service","","Urban","Percentage (%)","Normal value",98.88951
2000,"Service level","","Unimproved",""," ","Percentage (%)","Normal value",0.17584
2000,"Service level","","Unimproved","","Rural","Percentage (%)","Normal value",0.225
2000,"Service level","","Unimproved","","Urban","Percentage (%)","Normal value",0.1625
2001,"Facility type","","","Improved latrine and other"," ","Percentage (%)","Normal value",0.00984
2001,"Facility type","","","Improved latrine and other","Rural","Percentage (%)","Normal value",0
2001,"Facility type","","","Improved latrine and other","Urban","Percentage (%)","Normal value",0.0125
2001,"Facility type","","","Septic tank"," ","Percentage (%)","Normal value",2.63244
2001,"Facility type","","","Septic tank","Rural","Percentage (%)","Normal value",11.83261
2001,"Facility type","","","Septic tank","Urban","Percentage (%)","Normal value",0.15
2001,"Facility type","","","Sewer"," ","Percentage (%)","Normal value",97.18194
2001,"Facility type","","","Sewer","Rural","Percentage (%)","Normal value",87.94239
2001,"Facility type","","","Sewer","Urban","Percentage (%)","Normal value",99.675
2001,"Safeley managed element","Disposed insitu","",""," ","Percentage (%)","Normal value",0.66086
2001,"Safeley managed element","Disposed insitu","","","Rural","Percentage (%)","Normal value",2.94925
2001,"Safeley managed element","Disposed insitu","","","Urban","Percentage (%)","Normal value",0.0434
2001,"Safeley managed element","Faecal sludge treated","",""," ","Percentage (%)","Normal value",0.66038
2001,"Safeley managed element","Faecal sludge treated","","","Rural","Percentage (%)","Normal value",2.94709
2001,"Safeley managed element","Faecal sludge treated","","","Urban","Percentage (%)","Normal value",0.04337
2001,"Safeley managed element","Sewage treated","",""," ","Percentage (%)","Normal value",96.42514
2001,"Safeley managed element","Sewage treated","","","Rural","Percentage (%)","Normal value",87.61352
2001,"Safeley managed element","Sewage treated","","","Urban","Percentage (%)","Normal value",98.80274
2001,"Service level","","Basic service",""," ","Percentage (%)","Normal value",1.38316
2001,"Service level","","Basic service","","Rural","Percentage (%)","Normal value",5.96491
2001,"Service level","","Basic service","","Urban","Percentage (%)","Normal value",0.14689
2001,"Service level","","Limited service",""," ","Percentage (%)","Normal value",0.69467
2001,"Service level","","Limited service","","Rural","Percentage (%)","Normal value",0.30023
2001,"Service level","","Limited service","","Urban","Percentage (%)","Normal value",0.8011
2001,"Service level","","Open defecation",""," ","Percentage (%)","Normal value",0
2001,"Service level","","Open defecation","","Rural","Percentage (%)","Normal value",0
2001,"Service level","","Open defecation","","Urban","Percentage (%)","Normal value",0
2001,"Service level","","Safely managed service",""," ","Percentage (%)","Normal value",97.74638
2001,"Service level","","Safely managed service","","Rural","Percentage (%)","Normal value",93.50986
2001,"Service level","","Safely managed service","","Urban","Percentage (%)","Normal value",98.88951
2001,"Service level","","Unimproved",""," ","Percentage (%)","Normal value",0.17578
2001,"Service level","","Unimproved","","Rural","Percentage (%)","Normal value",0.225
2001,"Service level","","Unimproved","","Urban","Percentage (%)","Normal value",0.1625
2002,"Facility type","","","Improved latrine and other"," ","Percentage (%)","Normal value",0.00988
2002,"Facility type","","","Improved latrine and other","Rural","Percentage (%)","Normal value",0
2002,"Facility type","","","Improved latrine and other","Urban","Percentage (%)","Normal value",0.0125
2002,"Facility type","","","Septic tank"," ","Percentage (%)","Normal value",2.59786
2002,"Facility type","","","Septic tank","Rural","Percentage (%)","Normal value",11.83261
2002,"Facility type","","","Septic tank","Urban","Percentage (%)","Normal value",0.15
2002,"Facility type","","","Sewer"," ","Percentage (%)","Normal value",97.21667
2002,"Facility type","","","Sewer","Rural","Percentage (%)","Normal value",87.94239
2002,"Facility type","","","Sewer","Urban","Percentage (%)","Normal value",99.675
2002,"Safeley managed element","Disposed insitu","",""," ","Percentage (%)","Normal value",0.65226
2002,"Safeley managed element","Disposed insitu","","","Rural","Percentage (%)","Normal value",2.94925
2002,"Safeley managed element","Disposed insitu","","","Urban","Percentage (%)","Normal value",0.0434
2002,"Safeley managed element","Faecal sludge treated","",""," ","Percentage (%)","Normal value",0.65178
2002,"Safeley managed element","Faecal sludge treated","","","Rural","Percentage (%)","Normal value",2.94709
2002,"Safeley managed element","Faecal sludge treated","","","Urban","Percentage (%)","Normal value",0.04337
2002,"Safeley managed element","Sewage treated","",""," ","Percentage (%)","Normal value",96.45827
2002,"Safeley managed element","Sewage treated","","","Rural","Percentage (%)","Normal value",87.61352
2002,"Safeley managed element","Sewage treated","","","Urban","Percentage (%)","Normal value",98.80274
2002,"Service level","","Basic service",""," ","Percentage (%)","Normal value",1.36594
2002,"Service level","","Basic service","","Rural","Percentage (%)","Normal value",5.96491
2002,"Service level","","Basic service","","Urban","Percentage (%)","Normal value",0.14689
2002,"Service level","","Limited service",""," ","Percentage (%)","Normal value",0.69615
2002,"Service level","","Limited service","","Rural","Percentage (%)","Normal value",0.30023
2002,"Service level","","Limited service","","Urban","Percentage (%)","Normal value",0.8011
2002,"Service level","","Open defecation",""," ","Percentage (%)","Normal value",0
2002,"Service level","","Open defecation","","Rural","Percentage (%)","Normal value",0
2002,"Service level","","Open defecation","","Urban","Percentage (%)","Normal value",0
2002,"Service level","","Safely managed service",""," ","Percentage (%)","Normal value",97.76231
2002,"Service level","","Safely managed service","","Rural","Percentage (%)","Normal value",93.50986
2002,"Service level","","Safely managed service","","Urban","Percentage (%)","Normal value",98.88951
2002,"Service level","","Unimproved",""," ","Percentage (%)","Normal value",0.17559
2002,"Service level","","Unimproved","","Rural","Percentage (%)","Normal value",0.225
2002,"Service level","","Unimproved","","Urban","Percentage (%)","Normal value",0.1625
2003,"Facility type","","","Improved latrine and other"," ","Percentage (%)","Normal value",0.00992
2003,"Facility type","","","Improved latrine and other","Rural","Percentage (%)","Normal value",0
2003,"Facility type","","","Improved latrine and other","Urban","Percentage (%)","Normal value",0.0125
2003,"Facility type","","","Septic tank"," ","Percentage (%)","Normal value",2.56374
2003,"Facility type","","","Septic tank","Rural","Percentage (%)","Normal value",11.83261
2003,"Facility type","","","Septic tank","Urban","Percentage (%)","Normal value",0.15
2003,"Facility type","","","Sewer"," ","Percentage (%)","Normal value",97.25093
2003,"Facility type","","","Sewer","Rural","Percentage (%)","Normal value",87.94239
2003,"Facility type","","","Sewer","Urban","Percentage (%)","Normal value",99.675
2003,"Safeley managed element","Disposed insitu","",""," ","Percentage (%)","Normal value",0.64378
2003,"Safeley managed element","Disposed insitu","","","Rural","Percentage (%)","Normal value",2.94925
2003,"Safeley managed element","Disposed insitu","","","Urban","Percentage (%)","Normal value",0.0434
2003,"Safeley managed element","Faecal sludge treated","",""," ","Percentage (%)","Normal value",0.64331
2003,"Safeley managed element","Faecal sludge treated","","","Rural","Percentage (%)","Normal value",2.94709
2003,"Safeley managed element","Faecal sludge treated","","","Urban","Percentage (%)","Normal value",0.04337
2003,"Safeley managed element","Sewage treated","",""," ","Percentage (%)","Normal value",96.49094
2003,"Safeley managed element","Sewage treated","","","Rural","Percentage (%)","Normal value",87.61352
2003,"Safeley managed element","Sewage treated","","","Urban","Percentage (%)","Normal value",98.80274
2003,"Service level","","Basic service",""," ","Percentage (%)","Normal value",1.34895
2003,"Service level","","Basic service","","Rural","Percentage (%)","Normal value",5.96491
