"Year","Series","Age","Sex","Country","Region","Industry sector","Occupation","Units","Unit multiplier","Observation status","Value"
"2002/03","Fatal injury","","","","","","","Rate per 100,000 workers","Units","Normal value","0.8"
"2003/04","Fatal injury","","","","","","","Rate per 100,000 workers","Units","Normal value","0.8"
"2004/05","Fatal injury","","","","","","","Rate per 100,000 workers","Units","Normal value","0.78"
"2005/06","Fatal injury","","","","","","","Rate per 100,000 workers","Units","Normal value","0.75"
"2006/07","Fatal injury","","","","","","","Rate per 100,000 workers","Units","Normal value","0.84"
"2007/08","Fatal injury","","","","","","","Rate per 100,000 workers","Units","Normal value","0.79"
"2008/09","Fatal injury","","","","","","","Rate per 100,000 workers","Units","Normal value","0.6"
"2009/10","Fatal injury","","","","","","","Rate per 100,000 workers","Units","Normal value","0.5"
"2010/11","Fatal injury","","","","","","","Rate per 100,000 workers","Units","Normal value","0.6"
"2011/12","Fatal injury","","","","","","","Rate per 100,000 workers","Units","Normal value","0.57999999999999996"
"2012/13","Fatal injury","","","","","","","Rate per 100,000 workers","Units","Normal value","0.5"
"2013/14","Fatal injury","","","","","","","Rate per 100,000 workers","Units","Normal value","0.45"
"2014/15","Fatal injury","55 to 59","","","","","","Rate per 100,000 workers","Units","Normal value","0.46"
"2015/16","Fatal injury","45 to 54","","","","","","Rate per 100,000 workers","Units","Normal value","0.47"
"2016/17","Fatal injury","","","","","","","Rate per 100,000 workers","Units","Normal value","0.42"
"2017/18","Fatal injury","","","","","","","Rate per 100,000 workers","Units","Normal value","0.44"
"2018/19","Fatal injury","","","","","","","Rate per 100,000 workers","Units","Normal value","0.46"
"2019/20","Fatal injury","","","England and Wales","","","","Rate per 100,000 workers","Units","Normal value","0.34"
"2020/21","Fatal injury","16 to 24","Male","","","","","Rate per 100,000 workers","Units","Normal value","0.44"
"2021/22","Fatal injury","20 to 24","","","","","","Rate per 100,000 workers","Units","Normal value","0.38"
"2002/03","Fatal injury","","","","","Agriculture, forestry and fishing","","Rate per 100,000 workers","Units","Normal value","9.3000000000000007"
"2003/04","Fatal injury","","","","","Agriculture, forestry and fishing","","Rate per 100,000 workers","Units","Normal value","10.5"
"2004/05","Fatal injury","","","","","Agriculture, forestry and fishing","","Rate per 100,000 workers","Units","Normal value","12.8"
"2005/06","Fatal injury","","","","","Agriculture, forestry and fishing","","Rate per 100,000 workers","Units","Normal value","11.87"
"2006/07","Fatal injury","","","","","Agriculture, forestry and fishing","","Rate per 100,000 workers","Units","Normal value","11.53"
"2007/08","Fatal injury","","","","","Agriculture, forestry and fishing","","Rate per 100,000 workers","Units","Normal value","15.84"
"2008/09","Fatal injury","","","","","Agriculture, forestry and fishing","","Rate per 100,000 workers","Units","Normal value","7.46"
"2009/10","Fatal injury","","","","","Agriculture, forestry and fishing","","Rate per 100,000 workers","Units","Normal value","12.28"
"2010/11","Fatal injury","","","","","Agriculture, forestry and fishing","","Rate per 100,000 workers","Units","Normal value","9.77"
"2011/12","Fatal injury","","","","","Agriculture, forestry and fishing","","Rate per 100,000 workers","Units","Normal value","10.23"
"2012/13","Fatal injury","","","","","Agriculture, forestry and fishing","","Rate per 100,000 workers","Units","Normal value","9.4"
