Year,ExtendingAgency,Cross-GovernmentFundSpendingAgency ,BEISDepartment ,BilateralMultilateralBreakdown,RecipientCountryText,RegionText,IncomeGroup,ChannelofDelivery,ChannelCode,ChannelParent,TypeofFinance,TypeofAidCode,TypeofAidText,ProjectTitle,SectorPurposeCode(CRScode),BroadSectorCode(DAC5code),SIDsector,LongDescription,AmountsExtended(£thousands),AmountsReceived(£thousands),NetODA(£thousands)
2009,Department for International Development,#N/A,,Other bilateral,Cape Verde,Africa,LMICs,PUBLIC SECTOR INSTITUTIONS,10000,10000,618,F01,Debt relief,UK MULTILATERAL DEBT RELIEF INITIATIVE (UK MDRI) - CAPE VERDE,60030,600,Debt relief,Debt relief for Low Income Countries that do not qualify for the Heavily Indebted Poor Countries (HIPC) Initiative.,456.41,0,456.41
2009,Department for International Development,#N/A,,Other bilateral,"Developing countries, unspecified","Developing countries, unspecified",0,PUBLIC SECTOR INSTITUTIONS,10000,10000,618,F01,Debt relief,HIPC CAPACITY BUILDING PROGRAMME - PHASE 4,60010,600,Debt relief,Regional Programmes and Debt Relief International support Heavily Indebted Poor Countries to formulate and implement debt strategies,399.99,0,399.99
2009,Department for International Development,#N/A,,Other bilateral,"Developing countries, unspecified","Developing countries, unspecified",0,PUBLIC SECTOR INSTITUTIONS,10000,10000,618,F01,Debt relief,100% HEAVILY INDEBTED POOR COUNTRY (HIPC) BILATERAL DEBT RELIEF PAYMENT TO EXPORT CREDIT GUARANTEES DEPARTMENT (ECGD),60030,600,Debt relief,"Compensating the Export Credit Guarantees Department (ECGD) for forgone debt service, under the 100% Heavily Indebted Poor Countries (HIPC) bilateral policy.",364.4,0,364.4
2009,Department for International Development,#N/A,,Other bilateral,Guyana,Americas,LMICs,NON-GOVERNMENTAL ORGANISATIONS (NGOs) AND CIVIL SOCIETY,20000,20000,618,F01,Debt relief,"SUPPORT TO GUYANA AS CHAIR OF COMMONWEALTH MINISTERIAL DEBT SUSTAINABILITY FORUM, ANALYTICAL STUDIES ON DEBT SUSTAINABILITY",60010,600,Debt relief,Regional Programmes and Debt Relief International support Heavily Indebted Poor Countries to formulate and implement debt strategies,46.57,0,46.57
2009,Department for International Development,#N/A,,Other bilateral,Lesotho,Africa,LDCs,PUBLIC SECTOR INSTITUTIONS,10000,10000,618,F01,Debt relief,UK MULTILATERAL DEBT RELIEF INITIATIVE (UK MDRI) - LESOTHO,60030,600,Debt relief,Debt relief for Low Income Countries that do not qualify for the Heavily Indebted Poor Countries (HIPC) Initiative.,923.34,0,923.34
2009,Department for International Development,#N/A,,Other bilateral,Moldova,Europe,LMICs,PUBLIC SECTOR INSTITUTIONS,10000,10000,618,F01,Debt relief,UK MULTILATERAL DEBT RELIEF INITIATIVE (UK MDRI) - MOLDOVA,60010,600,Debt relief,Debt relief for Low Income Countries that do not qualify for the Heavily Indebted Poor Countries (HIPC) Initiative.,296.92,0,296.92
2010,Miscellaneous,#N/A,,Other bilateral,Pakistan,Asia,Other LICs,NON-GOVERNMENTAL ORGANISATIONS (NGOs) AND CIVIL SOCIETY,20000,20000,110,C01,Project-type interventions,Mercy Corps,24081,240,Economic Infrastructure & Services,Mercy Corps,95.624,0,95.624
2010,Miscellaneous,#N/A,,Other bilateral,Tanzania,Africa,LDCs,NON-GOVERNMENTAL ORGANISATIONS (NGOs) AND CIVIL SOCIETY,20000,20000,110,C01,Project-type interventions,Opportunity International - Tanzania,24020,240,Economic Infrastructure & Services,Opportunity International - Tanzania,350,0,350
2011,CDC Group PLC,#N/A,,Other bilateral,"Africa, regional",Africa,0,OTHER,50000,50000,511,C01,Project-type interventions,West Africa Region sector 22020 flow type 10 finance type 511,22020,220,Economic Infrastructure & Services,West Africa Region sector 22020 flow type 10 finance type 511,3837.29854,0,3837.29854
2011,CDC Group PLC,#N/A,,Other bilateral,"Africa, regional",Africa,0,OTHER,50000,50000,511,C01,Project-type interventions,Africa Region sector 24020 flow type 10 finance type 511,24020,240,Economic Infrastructure & Services,Africa Region sector 24020 flow type 10 finance type 511,0,636.3729,-636.3729
