"Year","Series","Bank account category","Sex","Age","Unit measure","Unit multiplier","Observation status","Value"
"2020/21","Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider","Any type of account (including POCAs)","","","Percentage (%)","Units","Normal value","94"
"2020/21","Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider","Any type of account (including POCAs)","","16-24","Percentage (%)","Units","Normal value","92"
"2020/21","Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider","Any type of account (including POCAs)","","25-34","Percentage (%)","Units","Normal value","95"
"2020/21","Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider","Any type of account (including POCAs)","","35-44","Percentage (%)","Units","Normal value","94"
"2020/21","Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider","Any type of account (including POCAs)","","45-54","Percentage (%)","Units","Normal value","95"
"2020/21","Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider","Any type of account (including POCAs)","","55-59","Percentage (%)","Units","Normal value","95"
"2020/21","Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider","Any type of account (including POCAs)","","60-64","Percentage (%)","Units","Normal value","93"
"2020/21","Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider","Any type of account (including POCAs)","","65-74","Percentage (%)","Units","Normal value","94"
"2020/21","Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider","Any type of account (including POCAs)","","75-84","Percentage (%)","Units","Normal value","93"
"2020/21","Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider","Any type of account (including POCAs)","","85+","Percentage (%)","Units","Normal value","91"
"2020/21","Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider","Any type of account (excluding POCAs)","","","Percentage (%)","Units","Normal value","94"
"2020/21","Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider","Any type of account (excluding POCAs)","","16-24","Percentage (%)","Units","Normal value","92"
"2020/21","Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider","Any type of account (excluding POCAs)","","25-34","Percentage (%)","Units","Normal value","95"
"2020/21","Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider","Any type of account (excluding POCAs)","","35-44","Percentage (%)","Units","Normal value","94"
"2020/21","Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider","Any type of account (excluding POCAs)","","45-54","Percentage (%)","Units","Normal value","95"
"2020/21","Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider","Any type of account (excluding POCAs)","","55-59","Percentage (%)","Units","Normal value","95"
"2020/21","Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider","Any type of account (excluding POCAs)","","60-64","Percentage (%)","Units","Normal value","93"
"2020/21","Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider","Any type of account (excluding POCAs)","","65-74","Percentage (%)","Units","Normal value","94"
"2020/21","Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider","Any type of account (excluding POCAs)","","75-84","Percentage (%)","Units","Normal value","93"
"2020/21","Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider","Any type of account (excluding POCAs)","","85+","Percentage (%)","Units","Normal value","91"
"2020/21","Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider","No accounts (including POCAs)","","","Percentage (%)","Units","Normal value","6"
"2020/21","Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider","No accounts (including POCAs)","","16-24","Percentage (%)","Units","Normal value","8"
