"Year","Series","Age","Disposable income decile","Health product or service","Health product or service category","Health product or service sub-category","Tenure category","Tenure sub-category","Occupation category","Observation status","Unit multiplier","Units","Value"
"2019/20","Average weekly household expenditure on health","","","","","","","","","Normal value","Units","GBP (£)","8.1999999999999993"
"2019/20","Average weekly household expenditure on health","","","Medical products appliances and equipment","","","","","","Normal value","Units","GBP (£)","4.5"
"2019/20","Average weekly household expenditure on health","","","Medical products appliances and equipment","Medicines prescriptions and healthcare products","","","","","Normal value","Units","GBP (£)","2.6"
"2019/20","Average weekly household expenditure on health","","","Medical products appliances and equipment","Medicines prescriptions and healthcare products","National Health Service (NHS) prescription charges and payments","","","","Normal value","Units","GBP (£)","0.3"
"2019/20","Average weekly household expenditure on health","","","Medical products appliances and equipment","Medicines prescriptions and healthcare products","Medicines and medical goods (not NHS)","","","","Normal value","Units","GBP (£)","1.8"
"2019/20","Average weekly household expenditure on health","","","Medical products appliances and equipment","Medicines prescriptions and healthcare products","Other medical products (e.g. plasters, condoms, hot water bottle etc.)","","","","Normal value","Units","GBP (£)","0.2"
"2019/20","Average weekly household expenditure on health","","","Medical products appliances and equipment","Medicines prescriptions and healthcare products","Nonoptical appliances and equipment (wheelchairs batteries for hearing aids shoe buildup)","","","","Normal value","Units","GBP (£)","0.3"
"2019/20","Average weekly household expenditure on health","","","Medical products appliances and equipment","Spectacles lenses accessories and repairs","","","","","Normal value","Units","GBP (£)","1.8"
"2019/20","Average weekly household expenditure on health","","","Medical products appliances and equipment","Spectacles lenses accessories and repairs","Purchase of spectacles lenses prescription sunglasses","","","","Normal value","Units","GBP (£)","1.8"
"2019/20","Average weekly household expenditure on health","","","Medical products appliances and equipment","Spectacles lenses accessories and repairs","Accessories or repairs to spectacles or lenses","","","","Normal value","Units","GBP (£)","0"
"2019/20","Average weekly household expenditure on health","","","Hospital services","","","","","","Normal value","Units","GBP (£)","3.7"
"2019/20","Average weekly household expenditure on health","","","Hospital services","Outpatient services","","","","","Normal value","Units","GBP (£)","3.6"
"2019/20","Average weekly household expenditure on health","","","Hospital services","Outpatient services","National Health Service (NHS) medical optical dental and medical auxiliary services","","","","Normal value","Units","GBP (£)","0.8"
