"Year","Housing type","Age","Sex","Observation status","Units","Unit multiplier","Value"
"2008","Other","Under 66","","Normal value","Number","Thousands",35.6874328721563
"2008","A","Under 66","","Normal value","Number","Thousands",24.4911379007844
"2008","B","Under 66","","Normal value","Number","Thousands",6.34427759915095
"2008","C","Under 66","","Normal value","Number","Thousands",2.07284233854071
"2008","D","Under 66","","Normal value","Number","Thousands",11.7497010149094
"2008","","Under 66","","Normal value","Number","Thousands",4545.1054
"2008","Other","Over 65","","Normal value","Number","Thousands",33.5171687140425
"2008","A","Over 65","","Normal value","Number","Thousands",23.5846473314019
"2008","B","Over 65","","Normal value","Number","Thousands",5.2289049604446
"2008","C","Over 65","","Normal value","Number","Thousands",2.83467486144189
"2008","D","Over 65","","Normal value","Number","Thousands",11.7112431218831
"2008","","Over 65","","Normal value","Number","Thousands",3798.57785
"2008","Other","","","Normal value","Number","Thousands",36.4396975662386
"2008","A","","","Normal value","Number","Thousands",23.6767066065942
"2008","B","","","Normal value","Number","Thousands",6.72360616386062
"2008","C","","","Normal value","Number","Thousands",3.71418272506308
"2008","D","","","Normal value","Number","Thousands",13.8409510351011
"2008","","","","Normal value","Number","Thousands",23815.2875
"2008","Other","","Female","Normal value","Number","Thousands",42.2838035717879
"2008","A","","Female","Normal value","Number","Thousands",28.1118031254516
"2008","B","","Female","Normal value","Number","Thousands",9.78093241602689
"2008","C","","Female","Normal value","Number","Thousands",4.82683737200606
"2008","D","","Female","Normal value","Number","Thousands",13.805761549104
"2008","","","Female","Normal value","Number","Thousands",1824.5211375
"2008","Other","","Male","Normal value","Number","Thousands",34.6339034634962
"2008","A","","Male","Normal value","Number","Thousands",20.5116915245791
"2008","B","","Male","Normal value","Number","Thousands",7.70730876018936
"2008","C","","Male","Normal value","Number","Thousands",4.04575695012992
"2008","D","","Male","Normal value","Number","Thousands",12.3258489659346
"2008","","","Male","Normal value","Number","Thousands",1562.673125
