"Year","Series","Cause of death","Country","Sex","Observation status","Unit multiplier","Units","GeoCode","Value"
2001,"Number of deaths from exposure to forces of nature","","","","Normal value","","Number","K04000001","130"
2002,"Number of deaths from exposure to forces of nature","","","","Normal value","","Number","K04000001","95"
2003,"Number of deaths from exposure to forces of nature","","","","Normal value","","Number","K04000001","94"
2004,"Number of deaths from exposure to forces of nature","","","","Normal value","","Number","K04000001","95"
2005,"Number of deaths from exposure to forces of nature","","","","Normal value","","Number","K04000001","90"
2006,"Number of deaths from exposure to forces of nature","","","","Normal value","","Number","K04000001","93"
2007,"Number of deaths from exposure to forces of nature","","","","Normal value","","Number","K04000001","109"
2008,"Number of deaths from exposure to forces of nature","","","","Normal value","","Number","K04000001","116"
2009,"Number of deaths from exposure to forces of nature","","","","Normal value","","Number","K04000001","124"
2010,"Number of deaths from exposure to forces of nature","","","","Normal value","","Number","K04000001","129"
2011,"Number of deaths from exposure to forces of nature","","","","Normal value","","Number","K04000001","79"
2012,"Number of deaths from exposure to forces of nature","","","","Normal value","","Number","K04000001","82"
2001,"Number of deaths from exposure to forces of nature","","England","","Normal value","","Number","E92000001","120"
2002,"Number of deaths from exposure to forces of nature","","England","","Normal value","","Number","E92000001","84"
2003,"Number of deaths from exposure to forces of nature","","England","","Normal value","","Number","E92000001","91"
2004,"Number of deaths from exposure to forces of nature","","England","","Normal value","","Number","E92000001","88"
2005,"Number of deaths from exposure to forces of nature","","England","","Normal value","","Number","E92000001","88"
2006,"Number of deaths from exposure to forces of nature","","England","","Normal value","","Number","E92000001","90"
2007,"Number of deaths from exposure to forces of nature","","England","","Normal value","","Number","E92000001","102"
2008,"Number of deaths from exposure to forces of nature","","England","","Normal value","","Number","E92000001","112"
2009,"Number of deaths from exposure to forces of nature","","England","","Normal value","","Number","E92000001","114"
2010,"Number of deaths from exposure to forces of nature","","England","","Normal value","","Number","E92000001","115"
2011,"Number of deaths from exposure to forces of nature","","England","","Normal value","","Number","E92000001","73"
2012,"Number of deaths from exposure to forces of nature","","England","","Normal value","","Number","E92000001","81"
2001,"Number of deaths from exposure to forces of nature","","Wales","","Normal value","","Number","W92000004","10"
2002,"Number of deaths from exposure to forces of nature","","Wales","","Normal value","","Number","W92000004","11"
2003,"Number of deaths from exposure to forces of nature","","Wales","","Normal value","","Number","W92000004","3"
2004,"Number of deaths from exposure to forces of nature","","Wales","","Normal value","","Number","W92000004","7"
2005,"Number of deaths from exposure to forces of nature","","Wales","","Normal value","","Number","W92000004","2"
2006,"Number of deaths from exposure to forces of nature","","Wales","","Normal value","","Number","W92000004","3"
2007,"Number of deaths from exposure to forces of nature","","Wales","","Normal value","","Number","W92000004","7"
2008,"Number of deaths from exposure to forces of nature","","Wales","","Normal value","","Number","W92000004","4"
2009,"Number of deaths from exposure to forces of nature","","Wales","","Normal value","","Number","W92000004","10"
2010,"Number of deaths from exposure to forces of nature","","Wales","","Normal value","","Number","W92000004","14"
2011,"Number of deaths from exposure to forces of nature","","Wales","","Normal value","","Number","W92000004","6"
2012,"Number of deaths from exposure to forces of nature","","Wales","","Normal value","","Number","W92000004","1"
2001,"Number of deaths from exposure to forces of nature","","","Male","Normal value","","Number","K04000001","64"
2002,"Number of deaths from exposure to forces of nature","","","Male","Normal value","","Number","K04000001","52"
2003,"Number of deaths from exposure to forces of nature","","","Male","Normal value","","Number","K04000001","43"
2004,"Number of deaths from exposure to forces of nature","","","Male","Normal value","","Number","K04000001","51"
2005,"Number of deaths from exposure to forces of nature","","","Male","Normal value","","Number","K04000001","44"
2006,"Number of deaths from exposure to forces of nature","","","Male","Normal value","","Number","K04000001","46"
2007,"Number of deaths from exposure to forces of nature","","","Male","Normal value","","Number","K04000001","50"
2008,"Number of deaths from exposure to forces of nature","","","Male","Normal value","","Number","K04000001","47"
2009,"Number of deaths from exposure to forces of nature","","","Male","Normal value","","Number","K04000001","51"
2010,"Number of deaths from exposure to forces of nature","","","Male","Normal value","","Number","K04000001","68"
2011,"Number of deaths from exposure to forces of nature","","","Male","Normal value","","Number","K04000001","44"
2012,"Number of deaths from exposure to forces of nature","","","Male","Normal value","","Number","K04000001","42"
2001,"Number of deaths from exposure to forces of nature","","","Female","Normal value","","Number","K04000001","66"
2002,"Number of deaths from exposure to forces of nature","","","Female","Normal value","","Number","K04000001","43"
2003,"Number of deaths from exposure to forces of nature","","","Female","Normal value","","Number","K04000001","51"
2004,"Number of deaths from exposure to forces of nature","","","Female","Normal value","","Number","K04000001","44"
2005,"Number of deaths from exposure to forces of nature","","","Female","Normal value","","Number","K04000001","46"
2006,"Number of deaths from exposure to forces of nature","","","Female","Normal value","","Number","K04000001","47"
2007,"Number of deaths from exposure to forces of nature","","","Female","Normal value","","Number","K04000001","59"
2008,"Number of deaths from exposure to forces of nature","","","Female","Normal value","","Number","K04000001","69"
2009,"Number of deaths from exposure to forces of nature","","","Female","Normal value","","Number","K04000001","73"
2010,"Number of deaths from exposure to forces of nature","","","Female","Normal value","","Number","K04000001","61"
2011,"Number of deaths from exposure to forces of nature","","","Female","Normal value","","Number","K04000001","35"
2012,"Number of deaths from exposure to forces of nature","","","Female","Normal value","","Number","K04000001","40"
2001,"Number of deaths from exposure to forces of nature","","England","Male","Normal value","","Number","E92000001","59"
2002,"Number of deaths from exposure to forces of nature","","England","Male","Normal value","","Number","E92000001","46"
2003,"Number of deaths from exposure to forces of nature","","England","Male","Normal value","","Number","E92000001","42"
2004,"Number of deaths from exposure to forces of nature","","England","Male","Normal value","","Number","E92000001","48"
2005,"Number of deaths from exposure to forces of nature","","England","Male","Normal value","","Number","E92000001","43"
2006,"Number of deaths from exposure to forces of nature","","England","Male","Normal value","","Number","E92000001","46"
2007,"Number of deaths from exposure to forces of nature","","England","Male","Normal value","","Number","E92000001","47"
2008,"Number of deaths from exposure to forces of nature","","England","Male","Normal value","","Number","E92000001","44"
2009,"Number of deaths from exposure to forces of nature","","England","Male","Normal value","","Number","E92000001","47"
2010,"Number of deaths from exposure to forces of nature","","England","Male","Normal value","","Number","E92000001","61"
2011,"Number of deaths from exposure to forces of nature","","England","Male","Normal value","","Number","E92000001","40"
2012,"Number of deaths from exposure to forces of nature","","England","Male","Normal value","","Number","E92000001","42"
2001,"Number of deaths from exposure to forces of nature","","England","Female","Normal value","","Number","E92000001","61"
2002,"Number of deaths from exposure to forces of nature","","England","Female","Normal value","","Number","E92000001","38"
2003,"Number of deaths from exposure to forces of nature","","England","Female","Normal value","","Number","E92000001","49"
2004,"Number of deaths from exposure to forces of nature","","England","Female","Normal value","","Number","E92000001","40"
2005,"Number of deaths from exposure to forces of nature","","England","Female","Normal value","","Number","E92000001","45"
2006,"Number of deaths from exposure to forces of nature","","England","Female","Normal value","","Number","E92000001","44"
2007,"Number of deaths from exposure to forces of nature","","England","Female","Normal value","","Number","E92000001","55"
2008,"Number of deaths from exposure to forces of nature","","England","Female","Normal value","","Number","E92000001","68"
2009,"Number of deaths from exposure to forces of nature","","England","Female","Normal value","","Number","E92000001","67"
2010,"Number of deaths from exposure to forces of nature","","England","Female","Normal value","","Number","E92000001","54"
2011,"Number of deaths from exposure to forces of nature","","England","Female","Normal value","","Number","E92000001","33"
2012,"Number of deaths from exposure to forces of nature","","England","Female","Normal value","","Number","E92000001","39"
2001,"Number of deaths from exposure to forces of nature","","Wales","Male","Normal value","","Number","W92000004","5"
2002,"Number of deaths from exposure to forces of nature","","Wales","Male","Normal value","","Number","W92000004","6"
2003,"Number of deaths from exposure to forces of nature","","Wales","Male","Normal value","","Number","W92000004","1"
2004,"Number of deaths from exposure to forces of nature","","Wales","Male","Normal value","","Number","W92000004","3"
2005,"Number of deaths from exposure to forces of nature","","Wales","Male","Normal value","","Number","W92000004","1"
2006,"Number of deaths from exposure to forces of nature","","Wales","Male","Normal value","","Number","W92000004","0"
2007,"Number of deaths from exposure to forces of nature","","Wales","Male","Normal value","","Number","W92000004","3"
2008,"Number of deaths from exposure to forces of nature","","Wales","Male","Normal value","","Number","W92000004","3"
2009,"Number of deaths from exposure to forces of nature","","Wales","Male","Normal value","","Number","W92000004","4"
2010,"Number of deaths from exposure to forces of nature","","Wales","Male","Normal value","","Number","W92000004","7"
2011,"Number of deaths from exposure to forces of nature","","Wales","Male","Normal value","","Number","W92000004","4"
2012,"Number of deaths from exposure to forces of nature","","Wales","Male","Normal value","","Number","W92000004","0"
2001,"Number of deaths from exposure to forces of nature","","Wales","Female","Normal value","","Number","W92000004","5"
2002,"Number of deaths from exposure to forces of nature","","Wales","Female","Normal value","","Number","W92000004","5"
2003,"Number of deaths from exposure to forces of nature","","Wales","Female","Normal value","","Number","W92000004","2"
2004,"Number of deaths from exposure to forces of nature","","Wales","Female","Normal value","","Number","W92000004","4"
2005,"Number of deaths from exposure to forces of nature","","Wales","Female","Normal value","","Number","W92000004","1"
2006,"Number of deaths from exposure to forces of nature","","Wales","Female","Normal value","","Number","W92000004","3"
2007,"Number of deaths from exposure to forces of nature","","Wales","Female","Normal value","","Number","W92000004","4"
2008,"Number of deaths from exposure to forces of nature","","Wales","Female","Normal value","","Number","W92000004","1"
2009,"Number of deaths from exposure to forces of nature","","Wales","Female","Normal value","","Number","W92000004","6"
2010,"Number of deaths from exposure to forces of nature","","Wales","Female","Normal value","","Number","W92000004","7"
2011,"Number of deaths from exposure to forces of nature","","Wales","Female","Normal value","","Number","W92000004","2"
2012,"Number of deaths from exposure to forces of nature","","Wales","Female","Normal value","","Number","W92000004","1"
2001,"Number of deaths from exposure to forces of nature","Exposure to excessive natural heat","","","Normal value","","Number","K04000001","0"
2001,"Number of deaths from exposure to forces of nature","Exposure to excessive natural cold","","","Normal value","","Number","K04000001","126"
