"Year","Series","Drug group","Local authority","Sex","Age","Ethnicity","Units","Observation status","Value"
"2009/10","People in treatment","","","","","","Number","Normal value",311668
"2009/10","People in treatment","","","","18 to 29","","Number","Normal value",85310
"2009/10","People in treatment","","","","30 to 49","","Number","Normal value",189694
"2009/10","People in treatment","","","","50 and over","","Number","Normal value",36664
"2009/10","People in treatment","","","Male","","","Number","Normal value",218933
"2009/10","People in treatment","","","Male","18 to 29","","Number","Normal value",58396
"2009/10","People in treatment","","","Male","30 to 49","","Number","Normal value",136060
"2009/10","People in treatment","","","Male","50 and over","","Number","Normal value",24477
"2009/10","People in treatment","","","Female","","","Number","Normal value",92735
"2009/10","People in treatment","","","Female","18 to 29","","Number","Normal value",26914
"2009/10","People in treatment","","","Female","30 to 49","","Number","Normal value",53634
"2009/10","People in treatment","","","Female","50 and over","","Number","Normal value",12187
"2010/11","People in treatment","","","","","","Number","Normal value",309000
"2010/11","People in treatment","","","","18 to 29","","Number","Normal value",77320
"2010/11","People in treatment","","","","30 to 49","","Number","Normal value",192836
"2010/11","People in treatment","","","","50 and over","","Number","Normal value",38844
"2010/11","People in treatment","","","Male","","","Number","Normal value",216873
"2010/11","People in treatment","","","Male","18 to 29","","Number","Normal value",52774
"2010/11","People in treatment","","","Male","30 to 49","","Number","Normal value",138068
"2010/11","People in treatment","","","Male","50 and over","","Number","Normal value",26031
"2010/11","People in treatment","","","Female","","","Number","Normal value",92127
"2010/11","People in treatment","","","Female","18 to 29","","Number","Normal value",24546
"2010/11","People in treatment","","","Female","30 to 49","","Number","Normal value",54768
"2010/11","People in treatment","","","Female","50 and over","","Number","Normal value",12813
"2011/12","People in treatment","","","","","","Number","Normal value",299565
"2011/12","People in treatment","","","","18 to 29","","Number","Normal value",68381
"2011/12","People in treatment","","","","30 to 49","","Number","Normal value",190562
"2011/12","People in treatment","","","","50 and over","","Number","Normal value",40622
"2011/12","People in treatment","","","Male","","","Number","Normal value",209386
"2011/12","People in treatment","","","Male","18 to 29","","Number","Normal value",46360
"2011/12","People in treatment","","","Male","30 to 49","","Number","Normal value",135709
"2011/12","People in treatment","","","Male","50 and over","","Number","Normal value",27317
"2011/12","People in treatment","","","Female","","","Number","Normal value",90179
"2011/12","People in treatment","","","Female","18 to 29","","Number","Normal value",22021
"2011/12","People in treatment","","","Female","30 to 49","","Number","Normal value",54853
"2011/12","People in treatment","","","Female","50 and over","","Number","Normal value",13305
"2012/13","People in treatment","","","","","","Number","Normal value",297105
"2012/13","People in treatment","","","","18 to 29","","Number","Normal value",62326
"2012/13","People in treatment","","","","30 to 49","","Number","Normal value",190958
"2012/13","People in treatment","","","","50 and over","","Number","Normal value",43821
"2012/13","People in treatment","","","Male","","","Number","Normal value",208103
"2012/13","People in treatment","","","Male","18 to 29","","Number","Normal value",42261
"2012/13","People in treatment","","","Male","30 to 49","","Number","Normal value",136352
"2012/13","People in treatment","","","Male","50 and over","","Number","Normal value",29490
"2012/13","People in treatment","","","Female","","","Number","Normal value",89002
"2012/13","People in treatment","","","Female","18 to 29","","Number","Normal value",20065
"2012/13","People in treatment","","","Female","30 to 49","","Number","Normal value",54606
"2012/13","People in treatment","","","Female","50 and over","","Number","Normal value",14331
"2013/14","People in treatment","","","","","","Number","Normal value",301944
