"Year","Series","Units","Decent homes criteria","Sub-national area","Region","Urbanisation sub-category","Age of oldest person","Age of youngest person","Deprivation decile","Disability status (household)","Ethnicity of household reference person (hrp)","Household composition","Income quintile (household)","Length of residence","Poverty status","Workless households","Observation status","Value"
"2019","Dwellings (%)","Percentage (%)","",,,"City centre",,,,,,,,,,,"Normal value",28.43
"2019","Dwellings (%)","Percentage (%)","Minimum Standard (HHSRS)",,,"City centre",,,,,,,,,,,"Normal value",11.69
"2019","Dwellings (%)","Percentage (%)","Repair",,,"City centre",,,,,,,,,,,"Normal value",5.5
"2019","Dwellings (%)","Percentage (%)","Modern facilities and services",,,"City centre",,,,,,,,,,,"Normal value",6.7
"2019","Dwellings (%)","Percentage (%)","Thermal comfort",,,"City centre",,,,,,,,,,,"Normal value",12.38
"2019","Dwellings (%)","Percentage (%)","",,,"Other rural area",,,,,,,,,,,"Normal value",36.13
"2019","Dwellings (%)","Percentage (%)","Minimum Standard (HHSRS)",,,"Other rural area",,,,,,,,,,,"Normal value",29.07
"2019","Dwellings (%)","Percentage (%)","Repair",,,"Other rural area",,,,,,,,,,,"Normal value",2.03
"2019","Dwellings (%)","Percentage (%)","Modern facilities and services",,,"Other rural area",,,,,,,,,,,"Normal value",2.85
"2019","Dwellings (%)","Percentage (%)","Thermal comfort",,,"Other rural area",,,,,,,,,,,"Normal value",20.16
"2019","Dwellings (%)","Percentage (%)","",,,,,,"Decile 10 (most deprived)",,,,,,,,"Normal value",18.1
"2019","Dwellings (%)","Percentage (%)","Minimum Standard (HHSRS)",,,,,,"Decile 10 (most deprived)",,,,,,,,"Normal value",11.53
"2019","Dwellings (%)","Percentage (%)","Repair",,,,,,"Decile 10 (most deprived)",,,,,,,,"Normal value",4.3
"2019","Dwellings (%)","Percentage (%)","Modern facilities and services",,,,,,"Decile 10 (most deprived)",,,,,,,,"Normal value",2
"2019","Dwellings (%)","Percentage (%)","Thermal comfort",,,,,,"Decile 10 (most deprived)",,,,,,,,"Normal value",3.87
"2019","Dwellings (%)","Percentage (%)","",,,,,,"Decile 2",,,,,,,,"Normal value",11.73
"2019","Dwellings (%)","Percentage (%)","Minimum Standard (HHSRS)",,,,,,"Decile 2",,,,,,,,"Normal value",7.24
"2019","Dwellings (%)","Percentage (%)","Repair",,,,,,"Decile 2",,,,,,,,"Normal value",2.65
"2019","Dwellings (%)","Percentage (%)","Modern facilities and services",,,,,,"Decile 2",,,,,,,,"Normal value",2.09
"2019","Dwellings (%)","Percentage (%)","Thermal comfort",,,,,,"Decile 2",,,,,,,,"Normal value",3.55
