"Year","Series","Sex","Age","Country","Region","Socio-economic classification","Ethnicity","Country of birth","Units","Unit multiplier","Observation status","Value"
"2021","Percentage of people who are current cigarette smokers aged 18 years and older","","18 to 24","England","","","","","Percentage","Units","Normal value","13.2"
"2020","Percentage of people who are current cigarette smokers aged 18 years and older","","18 to 24","England","","","","","Percentage","Units","Normal value","14.6"
"2019","Percentage of people who are current cigarette smokers aged 18 years and older","","18 to 24","England","","","","","Percentage","Units","Normal value","16"
"2018","Percentage of people who are current cigarette smokers aged 18 years and older","","18 to 24","England","","","","","Percentage","Units","Normal value","17"
"2017","Percentage of people who are current cigarette smokers aged 18 years and older","","18 to 24","England","","","","","Percentage","Units","Normal value","18.1"
"2016","Percentage of people who are current cigarette smokers aged 18 years and older","","18 to 24","England","","","","","Percentage","Units","Normal value","19.5"
"2015","Percentage of people who are current cigarette smokers aged 18 years and older","","18 to 24","England","","","","","Percentage","Units","Normal value","20.8"
"2014","Percentage of people who are current cigarette smokers aged 18 years and older","","18 to 24","England","","","","","Percentage","Units","Normal value","23.9"
"2013","Percentage of people who are current cigarette smokers aged 18 years and older","","18 to 24","England","","","","","Percentage","Units","Normal value","23.6"
"2012","Percentage of people who are current cigarette smokers aged 18 years and older","","18 to 24","England","","","","","Percentage","Units","Normal value","25.2"
"2011","Percentage of people who are current cigarette smokers aged 18 years and older","","18 to 24","England","","","","","Percentage","Units","Normal value","25.8"
"2021","Percentage of people who are current cigarette smokers aged 18 years and older","","25 to 34","England","","","","","Percentage","Units","Normal value","15.7"
"2020","Percentage of people who are current cigarette smokers aged 18 years and older","","25 to 34","England","","","","","Percentage","Units","Normal value","17.9"
"2019","Percentage of people who are current cigarette smokers aged 18 years and older","","25 to 34","England","","","","","Percentage","Units","Normal value","18.9"
"2018","Percentage of people who are current cigarette smokers aged 18 years and older","","25 to 34","England","","","","","Percentage","Units","Normal value","19"
"2017","Percentage of people who are current cigarette smokers aged 18 years and older","","25 to 34","England","","","","","Percentage","Units","Normal value","19.6"
"2016","Percentage of people who are current cigarette smokers aged 18 years and older","","25 to 34","England","","","","","Percentage","Units","Normal value","20.6"
"2015","Percentage of people who are current cigarette smokers aged 18 years and older","","25 to 34","England","","","","","Percentage","Units","Normal value","22.8"
"2014","Percentage of people who are current cigarette smokers aged 18 years and older","","25 to 34","England","","","","","Percentage","Units","Normal value","23.6"
"2013","Percentage of people who are current cigarette smokers aged 18 years and older","","25 to 34","England","","","","","Percentage","Units","Normal value","24.2"
"2012","Percentage of people who are current cigarette smokers aged 18 years and older","","25 to 34","England","","","","","Percentage","Units","Normal value","24.7"
"2011","Percentage of people who are current cigarette smokers aged 18 years and older","","25 to 34","England","","","","","Percentage","Units","Normal value","25.6"
"2021","Percentage of people who are current cigarette smokers aged 18 years and older","","35 to 44","England","","","","","Percentage","Units","Normal value","15.2"
"2020","Percentage of people who are current cigarette smokers aged 18 years and older","","35 to 44","England","","","","","Percentage","Units","Normal value","16.1"
"2019","Percentage of people who are current cigarette smokers aged 18 years and older","","35 to 44","England","","","","","Percentage","Units","Normal value","15.4"
"2018","Percentage of people who are current cigarette smokers aged 18 years and older","","35 to 44","England","","","","","Percentage","Units","Normal value","16.2"
"2017","Percentage of people who are current cigarette smokers aged 18 years and older","","35 to 44","England","","","","","Percentage","Units","Normal value","16.5"
