"Year","Sex","Age group","Country","Region of England","Socio-economic group","Ethnicity","Country of birth","Units","Unit multiplier","Observation status","Value"
"2021","","18-24","England","","","","","Percentage","Units","Normal value","13.2"
"2020","","18-24","England","","","","","Percentage","Units","Normal value","14.6"
"2019","","18-24","England","","","","","Percentage","Units","Normal value","16"
"2018","","18-24","England","","","","","Percentage","Units","Normal value","17"
"2017","","18-24","England","","","","","Percentage","Units","Normal value","18.1"
"2016","","18-24","England","","","","","Percentage","Units","Normal value","19.5"
"2015","","18-24","England","","","","","Percentage","Units","Normal value","20.8"
"2014","","18-24","England","","","","","Percentage","Units","Normal value","23.9"
"2013","","18-24","England","","","","","Percentage","Units","Normal value","23.6"
"2012","","18-24","England","","","","","Percentage","Units","Normal value","25.2"
"2011","","18-24","England","","","","","Percentage","Units","Normal value","25.8"
"2021","","25-34","England","","","","","Percentage","Units","Normal value","15.7"
"2020","","25-34","England","","","","","Percentage","Units","Normal value","17.9"
"2019","","25-34","England","","","","","Percentage","Units","Normal value","18.9"
"2018","","25-34","England","","","","","Percentage","Units","Normal value","19"
"2017","","25-34","England","","","","","Percentage","Units","Normal value","19.6"
"2016","","25-34","England","","","","","Percentage","Units","Normal value","20.6"
"2015","","25-34","England","","","","","Percentage","Units","Normal value","22.8"
"2014","","25-34","England","","","","","Percentage","Units","Normal value","23.6"
"2013","","25-34","England","","","","","Percentage","Units","Normal value","24.2"
"2012","","25-34","England","","","","","Percentage","Units","Normal value","24.7"
"2011","","25-34","England","","","","","Percentage","Units","Normal value","25.6"
"2021","","35-44","England","","","","","Percentage","Units","Normal value","15.2"
"2020","","35-44","England","","","","","Percentage","Units","Normal value","16.1"
"2019","","35-44","England","","","","","Percentage","Units","Normal value","15.4"
"2018","","35-44","England","","","","","Percentage","Units","Normal value","16.2"
"2017","","35-44","England","","","","","Percentage","Units","Normal value","16.5"
"2016","","35-44","England","","","","","Percentage","Units","Normal value","17.6"
"2015","","35-44","England","","","","","Percentage","Units","Normal value","19.1"
"2014","","35-44","England","","","","","Percentage","Units","Normal value","19.7"
"2013","","35-44","England","","","","","Percentage","Units","Normal value","20.7"
"2012","","35-44","England","","","","","Percentage","Units","Normal value","22.4"
"2011","","35-44","England","","","","","Percentage","Units","Normal value","22.9"
"2021","","45-54","England","","","","","Percentage","Units","Normal value","15.1"
"2020","","45-54","England","","","","","Percentage","Units","Normal value","15.5"
"2019","","45-54","England","","","","","Percentage","Units","Normal value","15.5"
"2018","","45-54","England","","","","","Percentage","Units","Normal value","16.3"
"2017","","45-54","England","","","","","Percentage","Units","Normal value","16.4"
"2016","","45-54","England","","","","","Percentage","Units","Normal value","16.8"
"2015","","45-54","England","","","","","Percentage","Units","Normal value","18.6"
"2014","","45-54","England","","","","","Percentage","Units","Normal value","19.2"
"2013","","45-54","England","","","","","Percentage","Units","Normal value","19.9"
"2012","","45-54","England","","","","","Percentage","Units","Normal value","20.5"
"2011","","45-54","England","","","","","Percentage","Units","Normal value","20.9"
"2021","","55-64","England","","","","","Percentage","Units","Normal value","13.5"
"2020","","55-64","England","","","","","Percentage","Units","Normal value","13.6"
"2019","","55-64","England","","","","","Percentage","Units","Normal value","13.4"
"2018","","55-64","England","","","","","Percentage","Units","Normal value","14"
"2017","","55-64","England","","","","","Percentage","Units","Normal value","14.4"
"2016","","55-64","England","","","","","Percentage","Units","Normal value","14.4"
