"Year","Series","Country income classification","Observation status","Units","Value"
2016,"Value of all resources made available to strengthen statistical capacity in developing countries","LDCs","Definition differs","GBP (£ thousands)",7802.4042
2016,"Value of all resources made available to strengthen statistical capacity in developing countries","LDCs","Definition differs","Constant USD ($ thousands)",11223.1510593548
2016,"Value of all resources made available to strengthen statistical capacity in developing countries","UMICs","Definition differs","GBP (£ thousands)",4.6106
2016,"Value of all resources made available to strengthen statistical capacity in developing countries","UMICs","Definition differs","Constant USD ($ thousands)",6.63198918536687
2016,"Value of all resources made available to strengthen statistical capacity in developing countries","Unspecified","Definition differs","GBP (£ thousands)",17016.0138
2016,"Value of all resources made available to strengthen statistical capacity in developing countries","Unspecified","Definition differs","Constant USD ($ thousands)",24476.2112305673
2016,"Value of all resources made available to strengthen statistical capacity in developing countries","","Definition differs","GBP (£ thousands)",24823.0286
2016,"Value of all resources made available to strengthen statistical capacity in developing countries","","Definition differs","Constant USD ($ thousands)",35705.9942791074
2017,"Value of all resources made available to strengthen statistical capacity in developing countries","LDCs","Definition differs","GBP (£ thousands)",9272.1309335
2017,"Value of all resources made available to strengthen statistical capacity in developing countries","LDCs","Definition differs","Constant USD ($ thousands)",13100.0557924232
2017,"Value of all resources made available to strengthen statistical capacity in developing countries","LMICs","Definition differs","GBP (£ thousands)",1801.957964
2017,"Value of all resources made available to strengthen statistical capacity in developing countries","LMICs","Definition differs","Constant USD ($ thousands)",2545.88185103322
2017,"Value of all resources made available to strengthen statistical capacity in developing countries","Unspecified","Definition differs","GBP (£ thousands)",13592.67012
2017,"Value of all resources made available to strengthen statistical capacity in developing countries","Unspecified","Definition differs","Constant USD ($ thousands)",19204.2949152778
2017,"Value of all resources made available to strengthen statistical capacity in developing countries","","Definition differs","GBP (£ thousands)",24666.7590175
2017,"Value of all resources made available to strengthen statistical capacity in developing countries","","Definition differs","Constant USD ($ thousands)",34850.2325587342
