"Year","Series","Country income classification","Aid description (CRS code)","Observation status","Units","Value"
2016,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries","LDCs","Basic health","Normal value","GBP (£ thousands)",230260.4787
2016,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries","LDCs","Basic health","Normal value","Constant USD ($ thousands)",331211.773859324
2016,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries","LDCs","Medical research","Normal value","GBP (£ thousands)",11233.8827
2016,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries","LDCs","Medical research","Normal value","Constant USD ($ thousands)",16159.0657563181
2016,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries","LDCs","","Normal value","GBP (£ thousands)",241494.3614
2016,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries","LDCs","","Normal value","Constant USD ($ thousands)",347370.839615642
2016,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries","LMICs","Basic health","Normal value","GBP (£ thousands)",73135.6016
2016,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries","LMICs","Basic health","Normal value","Constant USD ($ thousands)",105199.869621416
2016,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries","LMICs","Medical research","Normal value","GBP (£ thousands)",3618.9392
2016,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries","LMICs","Medical research","Normal value","Constant USD ($ thousands)",5205.56232093442
2016,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries","LMICs","","Normal value","GBP (£ thousands)",76754.5408
2016,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries","LMICs","","Normal value","Constant USD ($ thousands)",110405.43194235
2016,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries","Other LICs","Basic health","Normal value","GBP (£ thousands)",11142.1208
2016,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries","Other LICs","Basic health","Normal value","Constant USD ($ thousands)",16027.0734064224
2016,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries","Other LICs","Medical research","Normal value","GBP (£ thousands)",105.1804
2016,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries","Other LICs","Medical research","Normal value","Constant USD ($ thousands)",151.293817575275
2016,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries","Other LICs","","Normal value","GBP (£ thousands)",11247.3012
2016,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries","Other LICs","","Normal value","Constant USD ($ thousands)",16178.3672239977
2016,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries","UMICs","Basic health","Normal value","GBP (£ thousands)",7965.0712
2016,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries","UMICs","Basic health","Normal value","Constant USD ($ thousands)",11457.1348759548
2016,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries","UMICs","Medical research","Normal value","GBP (£ thousands)",6569.1296
2016,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries","UMICs","Medical research","Normal value","Constant USD ($ thousands)",9449.18155217833
2016,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries","UMICs","","Normal value","GBP (£ thousands)",14534.2008
2016,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries","UMICs","","Normal value","Constant USD ($ thousands)",20906.3164281331
2016,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries","Unspecified","Basic health","Normal value","GBP (£ thousands)",168043.1234
2016,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries","Unspecified","Basic health","Normal value","Constant USD ($ thousands)",241716.951603711
2016,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries","Unspecified","Medical research","Normal value","GBP (£ thousands)",81158.6927
2016,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries","Unspecified","Medical research","Normal value","Constant USD ($ thousands)",116740.46160693
2016,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries","Unspecified","","Normal value","GBP (£ thousands)",249201.8161
2016,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries","Unspecified","","Normal value","Constant USD ($ thousands)",358457.413210642
2016,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries","","Basic health","Normal value","GBP (£ thousands)",490546.3957
2016,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries","","Basic health","Normal value","Constant USD ($ thousands)",705612.803366828
2016,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries","","Medical research","Normal value","GBP (£ thousands)",102685.8246
2016,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries","","Medical research","Normal value","Constant USD ($ thousands)",147705.565053937
2016,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries","","","Normal value","GBP (£ thousands)",593232.2203
2016,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries","","","Normal value","Constant USD ($ thousands)",853318.368420765
2017,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries","LDCs","Basic health","Normal value","GBP (£ thousands)",181724.4096023
2017,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries","LDCs","Basic health","Normal value","Constant USD ($ thousands)",256747.874001029
2017,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries","LDCs","Medical research","Normal value","GBP (£ thousands)",31968.82297838
2017,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries","LDCs","Medical research","Normal value","Constant USD ($ thousands)",45166.8950361549
2017,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries","LDCs","","Normal value","GBP (£ thousands)",213693.23258068
2017,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries","LDCs","","Normal value","Constant USD ($ thousands)",301914.769037184
2017,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries","LMICs","Basic health","Normal value","GBP (£ thousands)",111111.8329613
2017,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries","LMICs","Basic health","Normal value","Constant USD ($ thousands)",156983.461669258
