"Year","Series","Sector","Country_income_classification","Type_of_study","Units","Value"
2016,"Total official flows for scholarships, by recipient countries","Education","","","GBP (£ thousands)",86818.515
2016,"Total official flows for scholarships, by recipient countries","Government and Civil Society","","","GBP (£ thousands)",179.36
2016,"Total official flows for scholarships, by recipient countries","Health","","","GBP (£ thousands)",66.068
2016,"Total official flows for scholarships, by recipient countries","Multisector","","","GBP (£ thousands)",3584.762
2016,"Total official flows for scholarships, by recipient countries","Production Services","","","GBP (£ thousands)",2260.712
2016,"Total official flows for scholarships, by recipient countries","","LDCs","","GBP (£ thousands)",82.57
2016,"Total official flows for scholarships, by recipient countries","","LMICs","","GBP (£ thousands)",2612.118
2016,"Total official flows for scholarships, by recipient countries","","UMICs","","GBP (£ thousands)",3544.664
2016,"Total official flows for scholarships, by recipient countries","","Unspecified","","GBP (£ thousands)",86670.066
2016,"Total official flows for scholarships, by recipient countries","","","","GBP (£ thousands)",92909.417
2016,"Total official flows for scholarships, by recipient countries","Education","","","Constant USD ($ thousands)",124881.675
2016,"Total official flows for scholarships, by recipient countries","Government and Civil Society","","","Constant USD ($ thousands)",257.996
2016,"Total official flows for scholarships, by recipient countries","Health","","","Constant USD ($ thousands)",95.034
2016,"Total official flows for scholarships, by recipient countries","Multisector","","","Constant USD ($ thousands)",5156.402
2016,"Total official flows for scholarships, by recipient countries","Production Services","","","Constant USD ($ thousands)",3251.858
2016,"Total official flows for scholarships, by recipient countries","","LDCs","","Constant USD ($ thousands)",118.771
2016,"Total official flows for scholarships, by recipient countries","","LMICs","","Constant USD ($ thousands)",3757.328
2016,"Total official flows for scholarships, by recipient countries","","UMICs","","Constant USD ($ thousands)",5098.723
2016,"Total official flows for scholarships, by recipient countries","","Unspecified","","Constant USD ($ thousands)",124668.142
2016,"Total official flows for scholarships, by recipient countries","","","","Constant USD ($ thousands)",133642.964
2017,"Total official flows for scholarships, by recipient countries","Education","","","GBP (£ thousands)",86374.748
2017,"Total official flows for scholarships, by recipient countries","Government and Civil Society","","","GBP (£ thousands)",183.75
2017,"Total official flows for scholarships, by recipient countries","Multisector / Cross-Cutting","","","GBP (£ thousands)",4774.304
2017,"Total official flows for scholarships, by recipient countries","Production Sectors","","","GBP (£ thousands)",3199.697
2017,"Total official flows for scholarships, by recipient countries","","LDCs","","GBP (£ thousands)",8603.584
2017,"Total official flows for scholarships, by recipient countries","","LMICs","","GBP (£ thousands)",26449.826
2017,"Total official flows for scholarships, by recipient countries","","Other LICs","","GBP (£ thousands)",866.333
2017,"Total official flows for scholarships, by recipient countries","","UMICs","","GBP (£ thousands)",29993.647
2017,"Total official flows for scholarships, by recipient countries","","Unspecified","","GBP (£ thousands)",28619.11
2017,"Total official flows for scholarships, by recipient countries","Education","","Advanced technical and managerial training","GBP (£ thousands)",5995.899
2017,"Total official flows for scholarships, by recipient countries","Education","","Education policy and administrative management","GBP (£ thousands)",21.563
2017,"Total official flows for scholarships, by recipient countries","Education","","Higher education","GBP (£ thousands)",80249.449
2017,"Total official flows for scholarships, by recipient countries","Education","","Primary education","GBP (£ thousands)",86.269
2017,"Total official flows for scholarships, by recipient countries","Education","","Upper Secondary Education","GBP (£ thousands)",21.567
2017,"Total official flows for scholarships, by recipient countries","","","","GBP (£ thousands)",94532.499
2017,"Total official flows for scholarships, by recipient countries","Education","","","Constant USD ($ thousands)",122033.869
2017,"Total official flows for scholarships, by recipient countries","Government and Civil Society","","","Constant USD ($ thousands)",259.61
2017,"Total official flows for scholarships, by recipient countries","Multisector / Cross-Cutting","","","Constant USD ($ thousands)",6745.338
2017,"Total official flows for scholarships, by recipient countries","Production Sectors","","","Constant USD ($ thousands)",4520.667
2017,"Total official flows for scholarships, by recipient countries","","LDCs","","Constant USD ($ thousands)",12155.504
2017,"Total official flows for scholarships, by recipient countries","","LMICs","","Constant USD ($ thousands)",37369.424
2017,"Total official flows for scholarships, by recipient countries","","Other LICs","","Constant USD ($ thousands)",1223.992
2017,"Total official flows for scholarships, by recipient countries","","UMICs","","Constant USD ($ thousands)",42376.284
2017,"Total official flows for scholarships, by recipient countries","","Unspecified","","Constant USD ($ thousands)",40434.279
2017,"Total official flows for scholarships, by recipient countries","Education","","Advanced technical and managerial training","Constant USD ($ thousands)",8471.257
2017,"Total official flows for scholarships, by recipient countries","Education","","Education policy and administrative management","Constant USD ($ thousands)",30.465
2017,"Total official flows for scholarships, by recipient countries","Education","","Higher education","Constant USD ($ thousands)",113379.79
2017,"Total official flows for scholarships, by recipient countries","Education","","Primary education","Constant USD ($ thousands)",121.885
2017,"Total official flows for scholarships, by recipient countries","Education","","Upper Secondary Education","Constant USD ($ thousands)",30.471
2017,"Total official flows for scholarships, by recipient countries","","","","Constant USD ($ thousands)",133559.483
