"Year","Series","Poverty reduction aid type","Units","Observation status","Value"
2016,"Official development assistance grants for poverty reduction (percentage of GNI)","Basic education","Percentage (%)","Normal value",0.024
2016,"Official development assistance grants for poverty reduction (percentage of GNI)","Basic health","Percentage (%)","Normal value",0.026
2016,"Official development assistance grants for poverty reduction (percentage of GNI)","Basic social services","Percentage (%)","Normal value",0
2016,"Official development assistance grants for poverty reduction (percentage of GNI)","Development food aid","Percentage (%)","Normal value",0.002
2016,"Official development assistance grants for poverty reduction (percentage of GNI)","Water supply and sanitation","Percentage (%)","Normal value",0.009
2016,"Official development assistance grants for poverty reduction (percentage of GNI)","","Percentage (%)","Normal value",0.06
2017,"Official development assistance grants for poverty reduction (percentage of GNI)","Basic education","Percentage (%)","Normal value",0.018
2017,"Official development assistance grants for poverty reduction (percentage of GNI)","Basic health","Percentage (%)","Normal value",0.026
2017,"Official development assistance grants for poverty reduction (percentage of GNI)","Development food aid","Percentage (%)","Normal value",0.002
2017,"Official development assistance grants for poverty reduction (percentage of GNI)","Water supply and sanitation","Percentage (%)","Normal value",0.009
2017,"Official development assistance grants for poverty reduction (percentage of GNI)","","Percentage (%)","Normal value",0.055
