"Year","Series","Country income classification","Observation status","Units","Value"
2016,"Value of all resources made available to strengthen statistical capacity in developing countries","LDCs","Definition differs","GBP (£ thousands)",7802.404
2016,"Value of all resources made available to strengthen statistical capacity in developing countries","LDCs","Definition differs","Constant USD ($ thousands)",11223.151
2016,"Value of all resources made available to strengthen statistical capacity in developing countries","UMICs","Definition differs","GBP (£ thousands)",4.611
2016,"Value of all resources made available to strengthen statistical capacity in developing countries","UMICs","Definition differs","Constant USD ($ thousands)",6.632
2016,"Value of all resources made available to strengthen statistical capacity in developing countries","Unspecified","Definition differs","GBP (£ thousands)",17016.014
2016,"Value of all resources made available to strengthen statistical capacity in developing countries","Unspecified","Definition differs","Constant USD ($ thousands)",24476.211
2016,"Value of all resources made available to strengthen statistical capacity in developing countries","","Definition differs","GBP (£ thousands)",24823.029
2016,"Value of all resources made available to strengthen statistical capacity in developing countries","","Definition differs","Constant USD ($ thousands)",35705.994
2017,"Value of all resources made available to strengthen statistical capacity in developing countries","LDCs","Definition differs","GBP (£ thousands)",9272.131
2017,"Value of all resources made available to strengthen statistical capacity in developing countries","LDCs","Definition differs","Constant USD ($ thousands)",13100.056
2017,"Value of all resources made available to strengthen statistical capacity in developing countries","LMICs","Definition differs","GBP (£ thousands)",1801.958
2017,"Value of all resources made available to strengthen statistical capacity in developing countries","LMICs","Definition differs","Constant USD ($ thousands)",2545.882
2017,"Value of all resources made available to strengthen statistical capacity in developing countries","Unspecified","Definition differs","GBP (£ thousands)",13592.67
2017,"Value of all resources made available to strengthen statistical capacity in developing countries","Unspecified","Definition differs","Constant USD ($ thousands)",19204.295
2017,"Value of all resources made available to strengthen statistical capacity in developing countries","","Definition differs","GBP (£ thousands)",24666.759
2017,"Value of all resources made available to strengthen statistical capacity in developing countries","","Definition differs","Constant USD ($ thousands)",34850.233
