"Year","Series","Country income classification","Observation status","Units","Value"
2016,"Total official development assistance for biodiversity, by recipient countries","LDCs","Normal value","GBP (£ Millions)",3.3
2016,"Total official development assistance for biodiversity, by recipient countries","LMICs","Normal value","GBP (£ Millions)",1.661
2016,"Total official development assistance for biodiversity, by recipient countries","Other LICs","Normal value","GBP (£ Millions)",0.261
2016,"Total official development assistance for biodiversity, by recipient countries","UMICs","Normal value","GBP (£ Millions)",1.621
2016,"Total official development assistance for biodiversity, by recipient countries","Unspecified","Normal value","GBP (£ Millions)",4.903
2016,"Total official development assistance for biodiversity, by recipient countries","","Normal value","GBP (£ Millions)",11.745
2017,"Total official development assistance for biodiversity, by recipient countries","LDCs","Normal value","GBP (£ Millions)",4.523
2017,"Total official development assistance for biodiversity, by recipient countries","LMICs","Normal value","GBP (£ Millions)",2.57
2017,"Total official development assistance for biodiversity, by recipient countries","Other LICs","Normal value","GBP (£ Millions)",0.247
2017,"Total official development assistance for biodiversity, by recipient countries","UMICs","Normal value","GBP (£ Millions)",1.584
2017,"Total official development assistance for biodiversity, by recipient countries","Unspecified","Normal value","GBP (£ Millions)",4.948
2017,"Total official development assistance for biodiversity, by recipient countries","","Normal value","GBP (£ Millions)",13.872
