"Year","Series","Country income classification","Observation status","Units","Value"
2016,"Total official flows (disbursements) for agriculture, by recipient countries","LDCs","Definition differs","GBP (£ thousands)",99699.6321
2016,"Total official flows (disbursements) for agriculture, by recipient countries","LDCs","Definition differs","Constant USD ($ thousands)",143410.159604445
2016,"Total official flows (disbursements) for agriculture, by recipient countries","LMICs","Definition differs","GBP (£ thousands)",28523.8247
2016,"Total official flows (disbursements) for agriculture, by recipient countries","LMICs","Definition differs","Constant USD ($ thousands)",41029.3013784975
2016,"Total official flows (disbursements) for agriculture, by recipient countries","Other LICs","Definition differs","GBP (£ thousands)",19062.0119
2016,"Total official flows (disbursements) for agriculture, by recipient countries","Other LICs","Definition differs","Constant USD ($ thousands)",27419.2202255964
2016,"Total official flows (disbursements) for agriculture, by recipient countries","UMICs","Definition differs","GBP (£ thousands)",7522.2322
2016,"Total official flows (disbursements) for agriculture, by recipient countries","UMICs","Definition differs","Constant USD ($ thousands)",10820.1454474946
2016,"Total official flows (disbursements) for agriculture, by recipient countries","Unspecified","Definition differs","GBP (£ thousands)",123523.9827
2016,"Total official flows (disbursements) for agriculture, by recipient countries","Unspecified","Definition differs","Constant USD ($ thousands)",177679.633323178
2016,"Total official flows (disbursements) for agriculture, by recipient countries","","Definition differs","GBP (£ thousands)",278331.6836
2016,"Total official flows (disbursements) for agriculture, by recipient countries","","Definition differs","Constant USD ($ thousands)",400358.459979212
2017,"Total official flows (disbursements) for agriculture, by recipient countries","LDCs","Definition differs","GBP (£ thousands)",124843.95459368
2017,"Total official flows (disbursements) for agriculture, by recipient countries","LDCs","Definition differs","Constant USD ($ thousands)",176384.779534882
2017,"Total official flows (disbursements) for agriculture, by recipient countries","LMICs","Definition differs","GBP (£ thousands)",17660.8326541
2017,"Total official flows (disbursements) for agriculture, by recipient countries","LMICs","Definition differs","Constant USD ($ thousands)",24951.9657097884
2017,"Total official flows (disbursements) for agriculture, by recipient countries","Other LICs","Definition differs","GBP (£ thousands)",11074.1473495
2017,"Total official flows (disbursements) for agriculture, by recipient countries","Other LICs","Definition differs","Constant USD ($ thousands)",15646.0202268956
2017,"Total official flows (disbursements) for agriculture, by recipient countries","UMICs","Definition differs","GBP (£ thousands)",10938.9698995
2017,"Total official flows (disbursements) for agriculture, by recipient countries","UMICs","Definition differs","Constant USD ($ thousands)",15455.035851289
2017,"Total official flows (disbursements) for agriculture, by recipient countries","Unspecified","Definition differs","GBP (£ thousands)",121335.45032756
2017,"Total official flows (disbursements) for agriculture, by recipient countries","Unspecified","Definition differs","Constant USD ($ thousands)",171427.817433747
2017,"Total official flows (disbursements) for agriculture, by recipient countries","","Definition differs","GBP (£ thousands)",285853.35482434
2017,"Total official flows (disbursements) for agriculture, by recipient countries","","Definition differs","Constant USD ($ thousands)",403865.618756602
