"Year","Series","Country income classification","Observation status","Units","Value"
2016,"Total official flows (disbursements) for agriculture, by recipient countries","LDCs","Definition differs","GBP (£ thousands)",99699.632
2016,"Total official flows (disbursements) for agriculture, by recipient countries","LDCs","Definition differs","Constant USD ($ thousands)",143410.16
2016,"Total official flows (disbursements) for agriculture, by recipient countries","LMICs","Definition differs","GBP (£ thousands)",28523.825
2016,"Total official flows (disbursements) for agriculture, by recipient countries","LMICs","Definition differs","Constant USD ($ thousands)",41029.301
2016,"Total official flows (disbursements) for agriculture, by recipient countries","Other LICs","Definition differs","GBP (£ thousands)",19062.012
2016,"Total official flows (disbursements) for agriculture, by recipient countries","Other LICs","Definition differs","Constant USD ($ thousands)",27419.22
2016,"Total official flows (disbursements) for agriculture, by recipient countries","UMICs","Definition differs","GBP (£ thousands)",7522.232
2016,"Total official flows (disbursements) for agriculture, by recipient countries","UMICs","Definition differs","Constant USD ($ thousands)",10820.145
2016,"Total official flows (disbursements) for agriculture, by recipient countries","Unspecified","Definition differs","GBP (£ thousands)",123523.983
2016,"Total official flows (disbursements) for agriculture, by recipient countries","Unspecified","Definition differs","Constant USD ($ thousands)",177679.633
2016,"Total official flows (disbursements) for agriculture, by recipient countries","","Definition differs","GBP (£ thousands)",278331.684
2016,"Total official flows (disbursements) for agriculture, by recipient countries","","Definition differs","Constant USD ($ thousands)",400358.46
2017,"Total official flows (disbursements) for agriculture, by recipient countries","LDCs","Definition differs","GBP (£ thousands)",124843.955
2017,"Total official flows (disbursements) for agriculture, by recipient countries","LDCs","Definition differs","Constant USD ($ thousands)",176384.78
2017,"Total official flows (disbursements) for agriculture, by recipient countries","LMICs","Definition differs","GBP (£ thousands)",17660.833
2017,"Total official flows (disbursements) for agriculture, by recipient countries","LMICs","Definition differs","Constant USD ($ thousands)",24951.966
2017,"Total official flows (disbursements) for agriculture, by recipient countries","Other LICs","Definition differs","GBP (£ thousands)",11074.147
2017,"Total official flows (disbursements) for agriculture, by recipient countries","Other LICs","Definition differs","Constant USD ($ thousands)",15646.02
2017,"Total official flows (disbursements) for agriculture, by recipient countries","UMICs","Definition differs","GBP (£ thousands)",10938.97
2017,"Total official flows (disbursements) for agriculture, by recipient countries","UMICs","Definition differs","Constant USD ($ thousands)",15455.036
2017,"Total official flows (disbursements) for agriculture, by recipient countries","Unspecified","Definition differs","GBP (£ thousands)",121335.45
2017,"Total official flows (disbursements) for agriculture, by recipient countries","Unspecified","Definition differs","Constant USD ($ thousands)",171427.817
2017,"Total official flows (disbursements) for agriculture, by recipient countries","","Definition differs","GBP (£ thousands)",285853.355
2017,"Total official flows (disbursements) for agriculture, by recipient countries","","Definition differs","Constant USD ($ thousands)",403865.619
