"Year","Series","Sector","Country income classification","Type of study","Units","Observation status","Value"
2016,"Total official flows for scholarships, by recipient countries","Education","","","GBP (£ thousands)","Normal value",86818.515
2016,"Total official flows for scholarships, by recipient countries","Government and Civil Society","","","GBP (£ thousands)","Normal value",179.36
2016,"Total official flows for scholarships, by recipient countries","Health","","","GBP (£ thousands)","Normal value",66.068
2016,"Total official flows for scholarships, by recipient countries","Multisector","","","GBP (£ thousands)","Normal value",3584.762
2016,"Total official flows for scholarships, by recipient countries","Production Services","","","GBP (£ thousands)","Normal value",2260.712
2016,"Total official flows for scholarships, by recipient countries","","LDCs","","GBP (£ thousands)","Normal value",82.57
2016,"Total official flows for scholarships, by recipient countries","","LMICs","","GBP (£ thousands)","Normal value",2612.118
2016,"Total official flows for scholarships, by recipient countries","","UMICs","","GBP (£ thousands)","Normal value",3544.664
2016,"Total official flows for scholarships, by recipient countries","","Unspecified","","GBP (£ thousands)","Normal value",86670.066
2016,"Total official flows for scholarships, by recipient countries","","","","GBP (£ thousands)","Normal value",92909.417
2016,"Total official flows for scholarships, by recipient countries","Education","","","Constant USD ($ thousands)","Normal value",124881.675
2016,"Total official flows for scholarships, by recipient countries","Government and Civil Society","","","Constant USD ($ thousands)","Normal value",257.996
2016,"Total official flows for scholarships, by recipient countries","Health","","","Constant USD ($ thousands)","Normal value",95.034
2016,"Total official flows for scholarships, by recipient countries","Multisector","","","Constant USD ($ thousands)","Normal value",5156.402
2016,"Total official flows for scholarships, by recipient countries","Production Services","","","Constant USD ($ thousands)","Normal value",3251.858
2016,"Total official flows for scholarships, by recipient countries","","LDCs","","Constant USD ($ thousands)","Normal value",118.771
2016,"Total official flows for scholarships, by recipient countries","","LMICs","","Constant USD ($ thousands)","Normal value",3757.328
2016,"Total official flows for scholarships, by recipient countries","","UMICs","","Constant USD ($ thousands)","Normal value",5098.723
2016,"Total official flows for scholarships, by recipient countries","","Unspecified","","Constant USD ($ thousands)","Normal value",124668.142
2016,"Total official flows for scholarships, by recipient countries","","","","Constant USD ($ thousands)","Normal value",133642.964
2017,"Total official flows for scholarships, by recipient countries","Education","","","GBP (£ thousands)","Normal value",86374.748
2017,"Total official flows for scholarships, by recipient countries","Government and Civil Society","","","GBP (£ thousands)","Normal value",183.75
2017,"Total official flows for scholarships, by recipient countries","Multisector / Cross-Cutting","","","GBP (£ thousands)","Normal value",4774.304
2017,"Total official flows for scholarships, by recipient countries","Production Sectors","","","GBP (£ thousands)","Normal value",3199.697
2017,"Total official flows for scholarships, by recipient countries","","LDCs","","GBP (£ thousands)","Normal value",8603.584
2017,"Total official flows for scholarships, by recipient countries","","LMICs","","GBP (£ thousands)","Normal value",26449.826
2017,"Total official flows for scholarships, by recipient countries","","Other LICs","","GBP (£ thousands)","Normal value",866.333
2017,"Total official flows for scholarships, by recipient countries","","UMICs","","GBP (£ thousands)","Normal value",29993.647
2017,"Total official flows for scholarships, by recipient countries","","Unspecified","","GBP (£ thousands)","Normal value",28619.11
2017,"Total official flows for scholarships, by recipient countries","Education","","Advanced technical and managerial training","GBP (£ thousands)","Normal value",5995.899
2017,"Total official flows for scholarships, by recipient countries","Education","","Education policy and administrative management","GBP (£ thousands)","Normal value",21.563
2017,"Total official flows for scholarships, by recipient countries","Education","","Higher education","GBP (£ thousands)","Normal value",80249.449
2017,"Total official flows for scholarships, by recipient countries","Education","","Primary education","GBP (£ thousands)","Normal value",86.269
2017,"Total official flows for scholarships, by recipient countries","Education","","Upper Secondary Education","GBP (£ thousands)","Normal value",21.567
2017,"Total official flows for scholarships, by recipient countries","","","","GBP (£ thousands)","Normal value",94532.499
2017,"Total official flows for scholarships, by recipient countries","Education","","","Constant USD ($ thousands)","Normal value",122033.869
2017,"Total official flows for scholarships, by recipient countries","Government and Civil Society","","","Constant USD ($ thousands)","Normal value",259.61
2017,"Total official flows for scholarships, by recipient countries","Multisector / Cross-Cutting","","","Constant USD ($ thousands)","Normal value",6745.338
2017,"Total official flows for scholarships, by recipient countries","Production Sectors","","","Constant USD ($ thousands)","Normal value",4520.667
2017,"Total official flows for scholarships, by recipient countries","","LDCs","","Constant USD ($ thousands)","Normal value",12155.504
2017,"Total official flows for scholarships, by recipient countries","","LMICs","","Constant USD ($ thousands)","Normal value",37369.424
2017,"Total official flows for scholarships, by recipient countries","","Other LICs","","Constant USD ($ thousands)","Normal value",1223.992
2017,"Total official flows for scholarships, by recipient countries","","UMICs","","Constant USD ($ thousands)","Normal value",42376.284
2017,"Total official flows for scholarships, by recipient countries","","Unspecified","","Constant USD ($ thousands)","Normal value",40434.279
2017,"Total official flows for scholarships, by recipient countries","Education","","Advanced technical and managerial training","Constant USD ($ thousands)","Normal value",8471.257
2017,"Total official flows for scholarships, by recipient countries","Education","","Education policy and administrative management","Constant USD ($ thousands)","Normal value",30.465
2017,"Total official flows for scholarships, by recipient countries","Education","","Higher education","Constant USD ($ thousands)","Normal value",113379.79
2017,"Total official flows for scholarships, by recipient countries","Education","","Primary education","Constant USD ($ thousands)","Normal value",121.885
2017,"Total official flows for scholarships, by recipient countries","Education","","Upper Secondary Education","Constant USD ($ thousands)","Normal value",30.471
2017,"Total official flows for scholarships, by recipient countries","","","","Constant USD ($ thousands)","Normal value",133559.483
