"Year","Import type","Unit measure","Unit multiplier","Observation status","Value"
2019,"Butterflies","Number of times seized","Units","Normal value",0
2020,"Butterflies","Number of times seized","Units","Normal value",1
2021,"Butterflies","Number of times seized","Units","Normal value",17
2019,"Caviar & caviar extract","Number of times seized","Units","Normal value",24
2020,"Caviar & caviar extract","Number of times seized","Units","Normal value",4
2021,"Caviar & caviar extract","Number of times seized","Units","Normal value",9
2019,"Ivory and items containing ivory","Number of times seized","Units","Normal value",43
2020,"Ivory and items containing ivory","Number of times seized","Units","Normal value",45
2021,"Ivory and items containing ivory","Number of times seized","Units","Normal value",20
2019,"Live animals and birds","Number of times seized","Units","Normal value",14
2020,"Live animals and birds","Number of times seized","Units","Normal value",6
2021,"Live animals and birds","Number of times seized","Units","Normal value",19
2019,"Live coral & coral derivatives","Number of times seized","Units","Normal value",18
2020,"Live coral & coral derivatives","Number of times seized","Units","Normal value",8
2021,"Live coral & coral derivatives","Number of times seized","Units","Normal value",48
2019,"Live plants","Number of times seized","Units","Normal value",6
2020,"Live plants","Number of times seized","Units","Normal value",17
2021,"Live plants","Number of times seized","Units","Normal value",7
2019,"Parts or derivatives of animals/birds","Number of times seized","Units","Normal value",128
2020,"Parts or derivatives of animals/birds","Number of times seized","Units","Normal value",119
2021,"Parts or derivatives of animals/birds","Number of times seized","Units","Normal value",63
2019,"Parts or derivatives of plants","Number of times seized","Units","Normal value",15
2020,"Parts or derivatives of plants","Number of times seized","Units","Normal value",192
2021,"Parts or derivatives of plants","Number of times seized","Units","Normal value",92
2019,"Preparations of oriental medicine which include parts & derivatives of endangered species","Number of times seized","Units","Normal value",187
2020,"Preparations of oriental medicine which include parts & derivatives of endangered species","Number of times seized","Units","Normal value",22
2021,"Preparations of oriental medicine which include parts & derivatives of endangered species","Number of times seized","Units","Normal value",64
2019,"Timber or wood products","Number of times seized","Units","Normal value",142
2020,"Timber or wood products","Number of times seized","Units","Normal value",80
2021,"Timber or wood products","Number of times seized","Units","Normal value",144
2019,"Total number of seizures","Number of times seized","Units","Normal value",569
2020,"Total number of seizures","Number of times seized","Units","Normal value",488
2021,"Total number of seizures","Number of times seized","Units","Normal value",483
