Year,ExtendingAgency,Cross-GovernmentFundSpendingAgency ,BEISDepartment ,BilateralMultilateralBreakdown,RecipientCountryText,RegionText,IncomeGroup,ChannelofDelivery,ChannelCode,ChannelParent,TypeofFinance,TypeofAidCode,TypeofAidText,ProjectTitle,SectorPurposeCode(CRScode),BroadSectorCode(DAC5code),SIDsector,LongDescription,AmountsExtended(£thousands),AmountsReceived(£thousands),NetODA(£thousands)
2009,Department for International Development,#N/A,,Other bilateral,Indonesia,Asia,LMICs,PUBLIC SECTOR INSTITUTIONS,10000,10000,110,,,ACCOUNTABLE GRANT FOR BRITISH COUNCIL,41030,410,Multisector,Investment and Policy framework for climate change adaptation and mitigation improved,149.57,0,149.57
2009,Department for International Development,#N/A,,Other bilateral,Tanzania,Africa,LDCs,Donor country-based NGO,22000,22000,110,,,Climate Change Accountable Grant,41030,410,Multisector,,48.84,0,48.84
2009,Department for International Development,#N/A,,Other bilateral,Uganda,Africa,LDCs,PUBLIC SECTOR INSTITUTIONS,10000,10000,110,,,TO PROMOTE EFFECTIVE PARTICIPATION AT THE COPENHAGEN CLIMATE CONFERENCE BY UGANDAN NEGOTIATORS,41030,410,Multisector,"provide timely, strategic financial and technical support to the climate change, oil and diversity task teams to facilitate their influencing agenda plus any innovative activities that fall outside the already approved programmes and are linked to the imp",4.98,0,4.98
2009,Department for International Development,#N/A,,Other bilateral,"West Indies, regional",Americas,0,PUBLIC SECTOR INSTITUTIONS,10000,10000,110,C01,Project-type interventions,NONBUDSUPPFINAID AND P0312 FOR OTEP STH501 SUPPORTING CRITICAL SPECIES RECOVERY,41030,410,Multisector,TO REDUCE THE THREATS TO ST HELENA'S CRITICALLY ENDANGERED PLANT SPECIES AND HABITATS BY ENABLING ANRD TO EFFECTIVELY IMPLEMENT SPECIES RECOVERY ACTION PLANS.,18,0,18
2009,Department for International Development,#N/A,,Other bilateral,Zambia,Africa,LDCs,PUBLIC SECTOR INSTITUTIONS,10000,10000,110,,,PROCOFSERVICES AND P0034 FOR PILOT PROGRAMME ON CLIMATE RESILIENCE,41030,410,Multisector,"To support the Government of Zambia (GRZ) to integrate climate resilience into its development planning, and provide scaled-up support to priority public and private investments",12.15,0,12.15
2009,Department for International Development,#N/A,,Bi through Multi,"Developing countries, unspecified","Developing countries, unspecified",0,Global Environment Facility Trust Fund,47044,47000,110,,,LDCF ARRANGEMENT,41030,410,Multisector,To contribute to the Least Developed Countries Fund and help developing countries adapt to climate change,5000,0,5000
2009,Department for International Development,#N/A,,Bi through Multi,Sudan,Africa,LDCs,United Nations Environment Programme,41116,41000,110,,,UNEP ENVIRONMENTAL SUSTAINABLITY PROGRAMME IN SUDAN,41030,410,Multisector,"To improve sustainable and equitable governance, management and use of environmental resources.",4411.92,0,4411.92
2009,Department for International Development,#N/A,,Bi through Multi,Tanzania,Africa,LDCs,United Nations Development Programme,41114,41000,110,,,VICE PRESIDENT'S OFFICE - UNDP,41030,410,Multisector,,40,0,40
2010,Department for International Development,#N/A,,Other bilateral,Bangladesh,Asia,LDCs,Other,52000,52000,110,D02,Other technical assistance,PROCOFSERVICES and P0050 for Climate Change Programme - Jolobayoo-O-Jibon,41030,410,Multisector,Climate change adaptation and risk reduction measures to protect and improve the lives and livelihoods of 15 million poor and vulnerable people by 2013.,222.5054,0,222.5054
2010,Department for International Development,#N/A,,Other bilateral,China,Asia,LMICs,Donor country-based NGO,22000,22000,110,C01,Project-type interventions,Accountable Grant for ACCC Knowledge-Sharing Workshop,41030,410,Multisector,Lessoing potential negative impacts on global  food security and regional water security,5,0,5
2010,Department for International Development,#N/A,,Other bilateral,China,Asia,LMICs,Other,52000,52000,110,C01,Project-type interventions,Adaptation to Climate Change in China(ACCC) - Local Research,41030,410,Multisector,Lessoing potential negative impacts on global  food security and regional water security,0.61734,0,0.61734
2010,Department for International Development,#N/A,,Other bilateral,China,Asia,LMICs,NON-GOVERNMENTAL ORGANISATIONS (NGOs) AND CIVIL SOCIETY,20000,20000,110,C01,Project-type interventions,ADPATATION to Climate Change in China (ACCC) - Accountable Grant for  State Information CENTER,41030,410,Multisector,Lessoing potential negative impacts on global  food security and regional water security,65.1361,0,65.1361
2010,Department for International Development,#N/A,,Other bilateral,China,Asia,LMICs,"University, college or other teaching institution, research institute or think-tank",51000,51000,110,C01,Project-type interventions,Adaptation to Climate Change in China (ACCC) - International Research,41030,410,Multisector,Lessoing potential negative impacts on global  food security and regional water security,34.23473,0,34.23473
2010,Department for International Development,#N/A,,Other bilateral,China,Asia,LMICs,Other,52000,52000,110,D02,Other technical assistance,Adaptation to Climate Change in China (ACCC) - Project Manager,41030,410,Multisector,Lessoing potential negative impacts on global  food security and regional water security,0,104.43399,-104.43399
2010,Department for International Development,#N/A,,Other bilateral,"Developing countries, unspecified","Developing countries, unspecified",0,Donor country-based NGO,22000,22000,110,B01,"Core support to NGOs, other private bodies, PPPs and research institutes",Bridge Funding,41030,410,Multisector,"To invigorate, capture and share debates on gender and climate change and inspire changes in policy and practice",44.242,0,44.242
2011,Foreign & Commonwealth Office,#N/A,,Other bilateral,Maldives,Asia,UMICs,INTERNATIONAL NGO,21000,21000,110,D02,Other technical assistance,Climate Change and Security Event in Male,41030,410,Multisector,Climate Change and Security Event in Male,12.14754,0,12.14754
