Year,ExtendingAgencyText,BEISDepartment,Cross-GovernmentFundSpendingAgency,ActivityIdentifier,RecipientCountryText,RecipientCountryCode,RegionText,IncomeGroup,ChannelofDelivery,ChannelCode,ChannelParent,SIDBiMultiBreakdown,TypeofFinance,TypeofAidCode,TypeofAidText,ProjectTitle,SectorPurposeCode(CRScode),SectorPurposeText,BroadSectorCode,SIDsector,%sector,LongDescription,AmountsExtended,AmountsReceived,HeadlineMeasureofODA(£thousands)
2017,BBC World Service,,,BBC WS ODA 2017_6,"South of Sahara, regional",289,Africa,Part I unallocated by income,Public corporations (donor),11003,11000,Other bilateral,110,C01,Project-type interventions,BBC WS ODA 2017_6,15153,Media and free flow of information,151,Government and Civil Society,100,BBC WS ODA 2017,1928.049287,0,1928.049287
2017,BBC World Service,,,BBC WS ODA 2017_7,"South & Central Asia, regional",689,Asia,Part I unallocated by income,Public corporations (donor),11003,11000,Other bilateral,110,C01,Project-type interventions,BBC WS ODA 2017_7,15153,Media and free flow of information,151,Government and Civil Society,100,BBC WS ODA 2017,7800.431343,0,7800.431343
2017,BBC World Service,,,BBC WS ODA 2017_13,"South America, regional",489,Americas,Part I unallocated by income,Public corporations (donor),11003,11000,Other bilateral,110,C01,Project-type interventions,BBC WS ODA 2017_13,15153,Media and free flow of information,151,Government and Civil Society,100,BBC WS ODA 2017,1866.790991,330,1536.790991
2017,"Department for Business, Energy and Industrial Strategy","Department for Business, Innovation and Skills",,STFC_BR_STDA009994,Brazil,431,Americas,UMICs,"University, college or other teaching institution, research institute or think?tank",51000,51000,Other bilateral,110,D02,Other technical assistance,Exploration and concept 2016,41030,Biodiversity,410,Multisector / Cross-Cutting,100,Exploration and Concept 2016 Award to improve understanding of historical impacts and contemporary biodiversity to support integration of conservation with regional development goals in the Brazilian Amazon,17.23996,0,17.23996
2017,"Department for Business, Energy and Industrial Strategy","Department for Business, Innovation and Skills",,STFC_NP_ST/P003273/1,Nepal,660,Asia,LDCs,"University, college or other teaching institution, research institute or think?tank",51000,51000,Other bilateral,110,D02,Other technical assistance,Exploration and concept 2016,41030,Biodiversity,410,Multisector / Cross-Cutting,100,"Exploration and Concept 2016 Award to support the sustainability of the Chitwan National Park mega fauna and the major source of income that “Conservation Tourism brings to Nepal. The project will adapt a drone-borne thermal camera system and develop software that can automatically detect, identify and geo-tag animals.",50.40498,0,50.40498
2017,"Department for Business, Energy and Industrial Strategy","Department for Business, Innovation and Skills",,STFC_BR_ST/P003281/1,Brazil,431,Americas,UMICs,"University, college or other teaching institution, research institute or think?tank",51000,51000,Other bilateral,110,D02,Other technical assistance,Exploration and concept 2016,41030,Biodiversity,410,Multisector / Cross-Cutting,100,Exploration and Concept 2016 Award to improve understanding of historical impacts and contemporary biodiversity to support integration of conservation with regional development goals in the Brazilian Amazon.,30.98649,0,30.98649
2017,Department for Environment Food and Rural Affairs,,,23-025,Afghanistan,625,Asia,LDCs,TEMPORARILY REMOVED,TEMPORARILY REMOVED,TEMPORARILY REMOVED,Other bilateral,110,C01,Project-type interventions,TEMPORARILY REMOVED,41030,Biodiversity,410,Multisector / Cross-Cutting,100,TEMPORARILY REMOVED,20.506,0,20.506
2017,Department for Environment Food and Rural Affairs,,,GBIF,"Developing countries, unspecified",998,"Developing countries, unspecified",Part I unallocated by income,Network,32000,32000,Other bilateral,110,B01,"Core support to NGOs, other private bodies, PPPs and research institutes",Annual contribution to GBIF,41030,Biodiversity,410,Multisector / Cross-Cutting,100,The Global Biodiversity Information Facility (GBIF) is an international network of countries and intergovernmental organisations that enable users throughout the world to openly share and use global biodiversity data.  ,48.5486,0,48.5486
2018,Department for Environment Food and Rural Affairs,,,22-009,Nepal,660,Asia,LDCs,Donor country-based NGO,22000,22000,Other bilateral,110,C01,Project-type interventions,Securing Suklaphanta Wildlife Reserve's grasslands and wellbeing of local communities,41030,Biodiversity,410,Multisector / Cross-Cutting,100,"To improve the well-being for 2500 households through productive livestock, better access to veterinary services and more accessible fodder resources.",12.972,0,12.972
2018,Department for Environment Food and Rural Affairs,,,22-010,Vietnam,769,Asia,LMICs,INTERNATIONAL NGO,21000,21000,Other bilateral,110,C01,Project-type interventions,Enhancing management and benefit flows in Vietnam’s wild medicinal products,41030,Biodiversity,410,Multisector / Cross-Cutting,100,To improve market opportunities and skills in sustainable harvesting practices to increase income of 1000 low-income households in Vietnam.,16.292,0,16.292
2018,Department for Environment Food and Rural Affairs,,,22-013,Belize,352,Americas,UMICs,"University, college or other teaching institution, research institute or think?tank",51000,51000,Other bilateral,110,C01,Project-type interventions,Conserving pine woodland biodiversity in Belize through community fire management,41030,Biodiversity,410,Multisector / Cross-Cutting,100,"To conserve the biodiversity of pine woodlands in southern Belize  by developing community-based wildfire management, with local communities.",22.38475,0,22.38475
2018,Department for Environment Food and Rural Affairs,,,22-014,Belize,352,Americas,UMICs,INTERNATIONAL NGO,21000,21000,Other bilateral,110,C01,Project-type interventions,Maximizing Benefits of Marine Reserves and Fisheries Management in Belize,41030,Biodiversity,410,Multisector / Cross-Cutting,100,"To increase catch-per-unit-effort and income, strengthen ecosystems health, and provide a model for expansion of no-take zones and managed access programs.",23.903,0,23.903
2018,Department for Environment Food and Rural Affairs,,,22-017,"Africa, regional",298,Africa,Part I unallocated by income,INTERNATIONAL NGO,21000,21000,Other bilateral,110,C01,Project-type interventions,Mutually supportive implementation of the Nagoya Protocol and Plant Treaty,41030,Biodiversity,410,Multisector / Cross-Cutting,100,To encourage the development of access and benefit-sharing agreements that contribute to pro-poor rural development and offset the cost of conserving genetic resources.,43.858,0,43.858
2018,Department for Environment Food and Rural Affairs,,,23-001,Cameroon,229,Africa,LMICs,"University, college or other teaching institution, research institute or think?tank",51000,51000,Other bilateral,110,C01,Project-type interventions,Strengthening Cameroon's capacity to implement the Convention on International Trade in Endangered Species (CITES),41030,Biodiversity,410,Multisector / Cross-Cutting,100,Strengthened capacity in Cameroon to monitor and reduce illegal hunting and trafficking of pangolins and other wildlife.,106.78975,0,106.78975
2018,Department for Environment Food and Rural Affairs,,,23-002,Guinea,243,Africa,LDCs,Donor country-based NGO,22000,22000,Other bilateral,110,C01,Project-type interventions,Helping local partners to identify priority plant areas for conservation in Guinea-Conakry,41030,Biodiversity,410,Multisector / Cross-Cutting,100,"Effective conservation prioritisation in Guinea is enabled through the identification of Important Plant Areas, providing a critical contribution to Guinea’s CBD commitments through the Global Strategy for Plant Conservation.",68.0475,0,68.0475
2019,"Conflict, Stability and Security Fund (CSSF)",,DEFRA/APHA,CSSF OTD INT 18006,"Developing countries, unspecified",998,"Developing countries, unspecified",Part I unallocated by income,Central Government (donor),11001,11000,Other bilateral,110,C01,Project-type interventions,Tackling Non-Native Invasive Species in the UK Overseas Territories,41030,Biodiversity,410,Multisector / Cross-Cutting,100,"Increase the capability of OTs in dealing with the threat posed by invasive non-native species.  Beneficiaries are Montserrat, Tristan Da Cunha and St Helena",18.307,0,18.307
2019,"Conflict, Stability and Security Fund (CSSF)",,DEFRA/JNCC,CSSF OTD INT 19006,Montserrat,385,Americas,UMICs,Central Government (donor),11001,11000,Other bilateral,110,C01,Project-type interventions,Coral Reef Initiative,41030,Biodiversity,410,Multisector / Cross-Cutting,100,"Priority actions for reef protection and restoration to strengthen the resilience of corals reefs so that they continue to deliver ecosystem functions essential to minimising the impacts of storms, sustain tourism and provide food in the face of climate change",163.297,0,163.297
2019,"Department for Business, Energy and Industrial Strategy","Department for Business, Innovation and Skills",,GCRF_RS_AA_ICA_IC170015,"Africa, regional",298,Africa,Part I unallocated by income,"University, college or other teaching institution, research institute or think?tank",51000,51000,Other bilateral,110,D02,Other technical assistance,Managing fire and grazing to maximise resilience of African rangelands to drought,41030,Biodiversity,410,Multisector / Cross-Cutting,100,"Research Grant  Collaboration between UK and South Africa. Developing new information on how drought, grazing and fire interact as ecological stresses to determine the composition and resilience of African grasslands, and facilitate lowtech management strategies to increase the resilience of grasslands to drought and ongoing environmental change. SDGs 2,15.",73.29377,0,73.29377
