ISO3,Country,Residence Type,Service Type,Year,Coverage,Population,Service level
GBR,United Kingdom of Great Britain and Northern Ireland,urban,Drinking water,2001,0,0,Limited service
GBR,United Kingdom of Great Britain and Northern Ireland,total,Sanitation,2001,0,0,Open defecation
GBR,United Kingdom of Great Britain and Northern Ireland,rural,Sanitation,2001,0,0,Open defecation
GBR,United Kingdom of Great Britain and Northern Ireland,urban,Sanitation,2001,0,0,Open defecation
GBR,United Kingdom of Great Britain and Northern Ireland,total,Sanitation,2001,97.74638,57791842.36,Safely managed service
GBR,United Kingdom of Great Britain and Northern Ireland,rural,Sanitation,2001,93.50986,11747941.96,Safely managed service
GBR,United Kingdom of Great Britain and Northern Ireland,urban,Sanitation,2001,98.88951,46043900.38,Safely managed service
GBR,United Kingdom of Great Britain and Northern Ireland,total,Drinking water,2001,100,59124275.02,Safely managed service
GBR,United Kingdom of Great Britain and Northern Ireland,total,Drinking water,2001,0,0,Surface water
GBR,United Kingdom of Great Britain and Northern Ireland,rural,Drinking water,2001,0,0,Surface water
GBR,United Kingdom of Great Britain and Northern Ireland,urban,Drinking water,2001,0,0,Surface water
GBR,United Kingdom of Great Britain and Northern Ireland,total,Sanitation,2001,0.17578,103929.998,Unimproved
GBR,United Kingdom of Great Britain and Northern Ireland,rural,Sanitation,2001,0.225,28267.46775,Unimproved
GBR,United Kingdom of Great Britain and Northern Ireland,urban,Sanitation,2001,0.1625,75661.5535,Unimproved
GBR,United Kingdom of Great Britain and Northern Ireland,total,Drinking water,2001,0,0.97555,Unimproved
GBR,United Kingdom of Great Britain and Northern Ireland,rural,Drinking water,2001,0,0,Unimproved
GBR,United Kingdom of Great Britain and Northern Ireland,urban,Drinking water,2001,0,0,Unimproved
GBR,United Kingdom of Great Britain and Northern Ireland,rural,Drinking water,2002,100,12430638,At least basic
GBR,United Kingdom of Great Britain and Northern Ireland,urban,Drinking water,2002,100,46895656,At least basic
GBR,United Kingdom of Great Britain and Northern Ireland,total,Sanitation,2002,1.36594,810361.2628,Basic service
GBR,United Kingdom of Great Britain and Northern Ireland,rural,Sanitation,2002,5.96491,741476.9514,Basic service
GBR,United Kingdom of Great Britain and Northern Ireland,urban,Sanitation,2002,0.14689,68884.34255,Basic service
GBR,United Kingdom of Great Britain and Northern Ireland,total,Drinking water,2002,0,0,Basic service
GBR,United Kingdom of Great Britain and Northern Ireland,total,Sanitation,2002,0.69615,413002.6141,Limited service
GBR,United Kingdom of Great Britain and Northern Ireland,rural,Sanitation,2002,0.30023,37319.96709,Limited service
GBR,United Kingdom of Great Britain and Northern Ireland,urban,Sanitation,2002,0.8011,375682.6525,Limited service
GBR,United Kingdom of Great Britain and Northern Ireland,total,Drinking water,2002,0,0,Limited service
GBR,United Kingdom of Great Britain and Northern Ireland,rural,Drinking water,2002,0,0,Limited service
GBR,United Kingdom of Great Britain and Northern Ireland,urban,Drinking water,2002,0,0,Limited service
GBR,United Kingdom of Great Britain and Northern Ireland,total,Sanitation,2002,0,0,Open defecation
GBR,United Kingdom of Great Britain and Northern Ireland,rural,Sanitation,2002,0,0,Open defecation
GBR,United Kingdom of Great Britain and Northern Ireland,urban,Sanitation,2002,0,0,Open defecation
GBR,United Kingdom of Great Britain and Northern Ireland,total,Sanitation,2002,97.76231,57998754.72,Safely managed service
GBR,United Kingdom of Great Britain and Northern Ireland,rural,Sanitation,2002,93.50986,11623872.15,Safely managed service
GBR,United Kingdom of Great Britain and Northern Ireland,urban,Sanitation,2002,98.88951,46374883.56,Safely managed service
GBR,United Kingdom of Great Britain and Northern Ireland,total,Drinking water,2002,100,59326292.95,Safely managed service
GBR,United Kingdom of Great Britain and Northern Ireland,total,Drinking water,2002,0,0,Surface water
GBR,United Kingdom of Great Britain and Northern Ireland,rural,Drinking water,2002,0,0,Surface water
GBR,United Kingdom of Great Britain and Northern Ireland,urban,Drinking water,2002,0,0,Surface water
GBR,United Kingdom of Great Britain and Northern Ireland,total,Sanitation,2002,0.17559,104173.3979,Unimproved
GBR,United Kingdom of Great Britain and Northern Ireland,rural,Sanitation,2002,0.225,27968.9355,Unimproved
GBR,United Kingdom of Great Britain and Northern Ireland,urban,Sanitation,2002,0.1625,76205.441,Unimproved
GBR,United Kingdom of Great Britain and Northern Ireland,total,Drinking water,2002,0,0,Unimproved
GBR,United Kingdom of Great Britain and Northern Ireland,rural,Drinking water,2002,0,0,Unimproved
GBR,United Kingdom of Great Britain and Northern Ireland,urban,Drinking water,2002,0,0,Unimproved
GBR,United Kingdom of Great Britain and Northern Ireland,rural,Drinking water,2003,100,12305988,At least basic
GBR,United Kingdom of Great Britain and Northern Ireland,urban,Drinking water,2003,100,47255440,At least basic
GBR,United Kingdom of Great Britain and Northern Ireland,total,Sanitation,2003,1.34895,803454.5054,Basic service
GBR,United Kingdom of Great Britain and Northern Ireland,rural,Sanitation,2003,5.96491,734041.6852,Basic service
GBR,United Kingdom of Great Britain and Northern Ireland,urban,Sanitation,2003,0.14689,69412.824,Basic service
GBR,United Kingdom of Great Britain and Northern Ireland,total,Drinking water,2003,0,0,Basic service
GBR,United Kingdom of Great Britain and Northern Ireland,total,Sanitation,2003,0.69762,415510.6299,Limited service
GBR,United Kingdom of Great Britain and Northern Ireland,rural,Sanitation,2003,0.30023,36945.73578,Limited service
GBR,United Kingdom of Great Britain and Northern Ireland,urban,Sanitation,2003,0.8011,378564.894,Limited service
GBR,United Kingdom of Great Britain and Northern Ireland,total,Drinking water,2003,0,0,Limited service
GBR,United Kingdom of Great Britain and Northern Ireland,rural,Drinking water,2003,0,0,Limited service
GBR,United Kingdom of Great Britain and Northern Ireland,urban,Drinking water,2003,0,0,Limited service
GBR,United Kingdom of Great Britain and Northern Ireland,total,Sanitation,2003,0,0,Open defecation
GBR,United Kingdom of Great Britain and Northern Ireland,rural,Sanitation,2003,0,0,Open defecation
GBR,United Kingdom of Great Britain and Northern Ireland,urban,Sanitation,2003,0,0,Open defecation
GBR,United Kingdom of Great Britain and Northern Ireland,total,Sanitation,2003,97.77802,58237984.3,Safely managed service
GBR,United Kingdom of Great Britain and Northern Ireland,rural,Sanitation,2003,93.50986,11507312.11,Safely managed service
GBR,United Kingdom of Great Britain and Northern Ireland,urban,Sanitation,2003,98.88951,46730672.19,Safely managed service
GBR,United Kingdom of Great Britain and Northern Ireland,total,Drinking water,2003,100,59561428,Safely managed service
GBR,United Kingdom of Great Britain and Northern Ireland,total,Drinking water,2003,0,0,Surface water
GBR,United Kingdom of Great Britain and Northern Ireland,rural,Drinking water,2003,0,0,Surface water
GBR,United Kingdom of Great Britain and Northern Ireland,urban,Drinking water,2003,0,0,Surface water
GBR,United Kingdom of Great Britain and Northern Ireland,total,Sanitation,2003,0.17541,104478.5628,Unimproved
GBR,United Kingdom of Great Britain and Northern Ireland,rural,Sanitation,2003,0.225,27688.473,Unimproved
GBR,United Kingdom of Great Britain and Northern Ireland,urban,Sanitation,2003,0.1625,76790.09,Unimproved
GBR,United Kingdom of Great Britain and Northern Ireland,total,Drinking water,2003,0,0,Unimproved
GBR,United Kingdom of Great Britain and Northern Ireland,rural,Drinking water,2003,0,0,Unimproved
GBR,United Kingdom of Great Britain and Northern Ireland,urban,Drinking water,2003,0,0,Unimproved
GBR,United Kingdom of Great Britain and Northern Ireland,rural,Drinking water,2004,100,12196681,At least basic
GBR,United Kingdom of Great Britain and Northern Ireland,urban,Drinking water,2004,100,47676080,At least basic
GBR,United Kingdom of Great Britain and Northern Ireland,total,Sanitation,2004,1.33208,797552.3298,Basic service
GBR,United Kingdom of Great Britain and Northern Ireland,rural,Sanitation,2004,5.96491,727521.6159,Basic service
GBR,United Kingdom of Great Britain and Northern Ireland,urban,Sanitation,2004,0.14689,70030.69593,Basic service
GBR,United Kingdom of Great Britain and Northern Ireland,total,Drinking water,2004,0,0,Basic service
GBR,United Kingdom of Great Britain and Northern Ireland,total,Sanitation,2004,0.69907,418552.2291,Limited service
GBR,United Kingdom of Great Britain and Northern Ireland,rural,Sanitation,2004,0.30023,36617.5681,Limited service
GBR,United Kingdom of Great Britain and Northern Ireland,urban,Sanitation,2004,0.8011,381934.655,Limited service
GBR,United Kingdom of Great Britain and Northern Ireland,total,Drinking water,2004,0,0,Limited service
GBR,United Kingdom of Great Britain and Northern Ireland,rural,Drinking water,2004,0,0,Limited service
GBR,United Kingdom of Great Britain and Northern Ireland,urban,Drinking water,2004,0,0,Limited service
GBR,United Kingdom of Great Britain and Northern Ireland,total,Sanitation,2004,0,0,Open defecation
GBR,United Kingdom of Great Britain and Northern Ireland,rural,Sanitation,2004,0,0,Open defecation
GBR,United Kingdom of Great Britain and Northern Ireland,urban,Sanitation,2004,0,0,Open defecation
GBR,United Kingdom of Great Britain and Northern Ireland,total,Sanitation,2004,97.79362,58551741.23,Safely managed service
GBR,United Kingdom of Great Britain and Northern Ireland,rural,Sanitation,2004,93.50986,11405099.28,Safely managed service
GBR,United Kingdom of Great Britain and Northern Ireland,urban,Sanitation,2004,98.88951,47146641.02,Safely managed service
GBR,United Kingdom of Great Britain and Northern Ireland,total,Drinking water,2004,100,59872761.98,Safely managed service
GBR,United Kingdom of Great Britain and Northern Ireland,total,Drinking water,2004,0,0,Surface water
GBR,United Kingdom of Great Britain and Northern Ireland,rural,Drinking water,2004,0,0,Surface water
GBR,United Kingdom of Great Britain and Northern Ireland,urban,Drinking water,2004,0,0,Surface water
GBR,United Kingdom of Great Britain and Northern Ireland,total,Sanitation,2004,0.17523,104914.2111,Unimproved
GBR,United Kingdom of Great Britain and Northern Ireland,rural,Sanitation,2004,0.225,27442.53225,Unimproved
GBR,United Kingdom of Great Britain and Northern Ireland,urban,Sanitation,2004,0.1625,77473.63,Unimproved
GBR,United Kingdom of Great Britain and Northern Ireland,total,Drinking water,2004,0,0,Unimproved
GBR,United Kingdom of Great Britain and Northern Ireland,rural,Drinking water,2004,0,0,Unimproved
GBR,United Kingdom of Great Britain and Northern Ireland,urban,Drinking water,2004,0,0,Unimproved
GBR,United Kingdom of Great Britain and Northern Ireland,rural,Drinking water,2005,100,12108836,At least basic
GBR,United Kingdom of Great Britain and Northern Ireland,urban,Drinking water,2005,100,48179116,At least basic
GBR,United Kingdom of Great Britain and Northern Ireland,total,Sanitation,2005,1.31544,793051.3179,Basic service
GBR,United Kingdom of Great Britain and Northern Ireland,rural,Sanitation,2005,5.96491,722281.7366,Basic service
GBR,United Kingdom of Great Britain and Northern Ireland,urban,Sanitation,2005,0.14689,70769.59815,Basic service
GBR,United Kingdom of Great Britain and Northern Ireland,total,Drinking water,2005,0,0,Basic service
GBR,United Kingdom of Great Britain and Northern Ireland,total,Sanitation,2005,0.7005,422318.3294,Limited service
GBR,United Kingdom of Great Britain and Northern Ireland,rural,Sanitation,2005,0.30023,36353.83486,Limited service
GBR,United Kingdom of Great Britain and Northern Ireland,urban,Sanitation,2005,0.8011,385964.493,Limited service
GBR,United Kingdom of Great Britain and Northern Ireland,total,Drinking water,2005,0,0,Limited service
GBR,United Kingdom of Great Britain and Northern Ireland,rural,Drinking water,2005,0,0,Limited service
GBR,United Kingdom of Great Britain and Northern Ireland,urban,Drinking water,2005,0,0,Limited service
GBR,United Kingdom of Great Britain and Northern Ireland,total,Sanitation,2005,0,0,Open defecation
GBR,United Kingdom of Great Britain and Northern Ireland,rural,Sanitation,2005,0,0,Open defecation
GBR,United Kingdom of Great Britain and Northern Ireland,urban,Sanitation,2005,0,0,Open defecation
GBR,United Kingdom of Great Britain and Northern Ireland,total,Sanitation,2005,97.80901,58967046.41,Safely managed service
GBR,United Kingdom of Great Britain and Northern Ireland,rural,Sanitation,2005,93.50986,11322955.55,Safely managed service
GBR,United Kingdom of Great Britain and Northern Ireland,urban,Sanitation,2005,98.88951,47644090.84,Safely managed service
GBR,United Kingdom of Great Britain and Northern Ireland,total,Drinking water,2005,100,60287952,Safely managed service
GBR,United Kingdom of Great Britain and Northern Ireland,total,Drinking water,2005,0,0,Surface water
GBR,United Kingdom of Great Britain and Northern Ireland,rural,Drinking water,2005,0,0,Surface water
GBR,United Kingdom of Great Britain and Northern Ireland,urban,Drinking water,2005,0,0,Surface water
GBR,United Kingdom of Great Britain and Northern Ireland,total,Sanitation,2005,0.17505,105535.9446,Unimproved
GBR,United Kingdom of Great Britain and Northern Ireland,rural,Sanitation,2005,0.225,27244.881,Unimproved
GBR,United Kingdom of Great Britain and Northern Ireland,urban,Sanitation,2005,0.1625,78291.0635,Unimproved
GBR,United Kingdom of Great Britain and Northern Ireland,total,Drinking water,2005,0,0,Unimproved
GBR,United Kingdom of Great Britain and Northern Ireland,rural,Drinking water,2005,0,0,Unimproved
GBR,United Kingdom of Great Britain and Northern Ireland,urban,Drinking water,2005,0,0,Unimproved
GBR,United Kingdom of Great Britain and Northern Ireland,rural,Drinking water,2006,100,12043237,At least basic
GBR,United Kingdom of Great Britain and Northern Ireland,urban,Drinking water,2006,100,48778112,At least basic
GBR,United Kingdom of Great Britain and Northern Ireland,total,Sanitation,2006,1.29892,790018.2273,Basic service
GBR,United Kingdom of Great Britain and Northern Ireland,rural,Sanitation,2006,5.96491,718368.8122,Basic service
GBR,United Kingdom of Great Britain and Northern Ireland,urban,Sanitation,2006,0.14689,71649.45461,Basic service
GBR,United Kingdom of Great Britain and Northern Ireland,total,Drinking water,2006,0,0,Basic service
GBR,United Kingdom of Great Britain and Northern Ireland,total,Sanitation,2006,0.70192,426919.9392,Limited service
GBR,United Kingdom of Great Britain and Northern Ireland,rural,Sanitation,2006,0.30023,36156.88982,Limited service
GBR,United Kingdom of Great Britain and Northern Ireland,urban,Sanitation,2006,0.8011,390763.0698,Limited service
GBR,United Kingdom of Great Britain and Northern Ireland,total,Drinking water,2006,0,0,Limited service
GBR,United Kingdom of Great Britain and Northern Ireland,rural,Drinking water,2006,0,0,Limited service
GBR,United Kingdom of Great Britain and Northern Ireland,urban,Drinking water,2006,0,0,Limited service
GBR,United Kingdom of Great Britain and Northern Ireland,total,Sanitation,2006,0,0,Open defecation
GBR,United Kingdom of Great Britain and Northern Ireland,rural,Sanitation,2006,0,0,Open defecation
GBR,United Kingdom of Great Britain and Northern Ireland,urban,Sanitation,2006,0,0,Open defecation
GBR,United Kingdom of Great Britain and Northern Ireland,total,Sanitation,2006,97.82428,59498046.17,Safely managed service
GBR,United Kingdom of Great Britain and Northern Ireland,rural,Sanitation,2006,93.50986,11261614.01,Safely managed service
GBR,United Kingdom of Great Britain and Northern Ireland,urban,Sanitation,2006,98.88951,48236435.04,Safely managed service
GBR,United Kingdom of Great Britain and Northern Ireland,total,Drinking water,2006,100,60821346.05,Safely managed service
GBR,United Kingdom of Great Britain and Northern Ireland,total,Drinking water,2006,0,0,Surface water
GBR,United Kingdom of Great Britain and Northern Ireland,rural,Drinking water,2006,0,0,Surface water
GBR,United Kingdom of Great Britain and Northern Ireland,urban,Drinking water,2006,0,0,Surface water
GBR,United Kingdom of Great Britain and Northern Ireland,total,Sanitation,2006,0.17488,106363.663,Unimproved
GBR,United Kingdom of Great Britain and Northern Ireland,rural,Sanitation,2006,0.225,27097.28325,Unimproved
GBR,United Kingdom of Great Britain and Northern Ireland,urban,Sanitation,2006,0.1625,79264.432,Unimproved
GBR,United Kingdom of Great Britain and Northern Ireland,total,Drinking water,2006,0,1.95237,Unimproved
GBR,United Kingdom of Great Britain and Northern Ireland,rural,Drinking water,2006,0,0,Unimproved
GBR,United Kingdom of Great Britain and Northern Ireland,urban,Drinking water,2006,0,0,Unimproved
GBR,United Kingdom of Great Britain and Northern Ireland,rural,Drinking water,2007,100,11996659,At least basic
GBR,United Kingdom of Great Britain and Northern Ireland,urban,Drinking water,2007,100,49458492,At least basic
GBR,United Kingdom of Great Britain and Northern Ireland,total,Sanitation,2007,1.27175,781554.9141,Basic service
GBR,United Kingdom of Great Britain and Northern Ireland,rural,Sanitation,2007,5.95478,714375.098,Basic service
GBR,United Kingdom of Great Britain and Northern Ireland,urban,Sanitation,2007,0.13583,67179.80946,Basic service
GBR,United Kingdom of Great Britain and Northern Ireland,total,Drinking water,2007,0.00534,3282.85064,Basic service
GBR,United Kingdom of Great Britain and Northern Ireland,total,Sanitation,2007,0.70333,432230.6671,Limited service
GBR,United Kingdom of Great Britain and Northern Ireland,rural,Sanitation,2007,0.30023,36017.0507,Limited service
GBR,United Kingdom of Great Britain and Northern Ireland,urban,Sanitation,2007,0.8011,396213.6165,Limited service
GBR,United Kingdom of Great Britain and Northern Ireland,total,Drinking water,2007,0,0,Limited service
GBR,United Kingdom of Great Britain and Northern Ireland,rural,Drinking water,2007,0,0,Limited service
GBR,United Kingdom of Great Britain and Northern Ireland,urban,Drinking water,2007,0,0,Limited service
GBR,United Kingdom of Great Britain and Northern Ireland,total,Sanitation,2007,0,0,Open defecation
GBR,United Kingdom of Great Britain and Northern Ireland,rural,Sanitation,2007,0,0,Open defecation
GBR,United Kingdom of Great Britain and Northern Ireland,urban,Sanitation,2007,0,0,Open defecation
GBR,United Kingdom of Great Britain and Northern Ireland,total,Sanitation,2007,97.85022,60134002.91,Safely managed service
GBR,United Kingdom of Great Britain and Northern Ireland,rural,Sanitation,2007,93.51999,11219274.37,Safely managed service
GBR,United Kingdom of Great Britain and Northern Ireland,urban,Sanitation,2007,98.90057,48914728.52,Safely managed service
GBR,United Kingdom of Great Britain and Northern Ireland,total,Drinking water,2007,99.99466,61451868.17,Safely managed service
GBR,United Kingdom of Great Britain and Northern Ireland,total,Drinking water,2007,0,0,Surface water
GBR,United Kingdom of Great Britain and Northern Ireland,rural,Drinking water,2007,0,0,Surface water
GBR,United Kingdom of Great Britain and Northern Ireland,urban,Drinking water,2007,0,0,Surface water
GBR,United Kingdom of Great Britain and Northern Ireland,total,Sanitation,2007,0.1747,107363.5087,Unimproved
GBR,United Kingdom of Great Britain and Northern Ireland,rural,Sanitation,2007,0.225,26992.48275,Unimproved
GBR,United Kingdom of Great Britain and Northern Ireland,urban,Sanitation,2007,0.1625,80370.0495,Unimproved
GBR,United Kingdom of Great Britain and Northern Ireland,total,Drinking water,2007,0,0.97714,Unimproved
GBR,United Kingdom of Great Britain and Northern Ireland,rural,Drinking water,2007,0,0,Unimproved
GBR,United Kingdom of Great Britain and Northern Ireland,urban,Drinking water,2007,0,0,Unimproved
GBR,United Kingdom of Great Britain and Northern Ireland,rural,Drinking water,2008,100,11958582,At least basic
GBR,United Kingdom of Great Britain and Northern Ireland,urban,Drinking water,2008,100,50186512,At least basic
GBR,United Kingdom of Great Britain and Northern Ireland,total,Sanitation,2008,1.24469,773515.2981,Basic service
GBR,United Kingdom of Great Britain and Northern Ireland,rural,Sanitation,2008,5.94465,710896.1765,Basic service
GBR,United Kingdom of Great Britain and Northern Ireland,urban,Sanitation,2008,0.12477,62619.13532,Basic service
GBR,United Kingdom of Great Britain and Northern Ireland,total,Drinking water,2008,0.02099,13047.0876,Basic service
GBR,United Kingdom of Great Britain and Northern Ireland,total,Sanitation,2008,0.70472,437948.5601,Limited service
GBR,United Kingdom of Great Britain and Northern Ireland,rural,Sanitation,2008,0.30023,35902.73377,Limited service
GBR,United Kingdom of Great Britain and Northern Ireland,urban,Sanitation,2008,0.8011,402045.8088,Limited service
GBR,United Kingdom of Great Britain and Northern Ireland,total,Drinking water,2008,0,0,Limited service
GBR,United Kingdom of Great Britain and Northern Ireland,rural,Drinking water,2008,0,0,Limited service
GBR,United Kingdom of Great Britain and Northern Ireland,urban,Drinking water,2008,0,0,Limited service
GBR,United Kingdom of Great Britain and Northern Ireland,total,Sanitation,2008,0,0,Open defecation
GBR,United Kingdom of Great Britain and Northern Ireland,rural,Sanitation,2008,0,0,Open defecation
GBR,United Kingdom of Great Britain and Northern Ireland,urban,Sanitation,2008,0,0,Open defecation
GBR,United Kingdom of Great Britain and Northern Ireland,total,Sanitation,2008,97.87606,60825172.25,Safely managed service
GBR,United Kingdom of Great Britain and Northern Ireland,rural,Sanitation,2008,93.53012,11184876.28,Safely managed service
GBR,United Kingdom of Great Britain and Northern Ireland,urban,Sanitation,2008,98.91162,49640293.97,Safely managed service
GBR,United Kingdom of Great Britain and Northern Ireland,total,Drinking water,2008,99.97901,62132048.91,Safely managed service
GBR,United Kingdom of Great Britain and Northern Ireland,total,Drinking water,2008,0,0,Surface water
GBR,United Kingdom of Great Britain and Northern Ireland,rural,Drinking water,2008,0,0,Surface water
GBR,United Kingdom of Great Britain and Northern Ireland,urban,Drinking water,2008,0,0,Surface water
GBR,United Kingdom of Great Britain and Northern Ireland,total,Sanitation,2008,0.17453,108459.8946,Unimproved
GBR,United Kingdom of Great Britain and Northern Ireland,rural,Sanitation,2008,0.225,26906.8095,Unimproved
GBR,United Kingdom of Great Britain and Northern Ireland,urban,Sanitation,2008,0.1625,81553.082,Unimproved
GBR,United Kingdom of Great Britain and Northern Ireland,total,Drinking water,2008,0,0,Unimproved
GBR,United Kingdom of Great Britain and Northern Ireland,rural,Drinking water,2008,0,0,Unimproved
GBR,United Kingdom of Great Britain and Northern Ireland,urban,Drinking water,2008,0,0,Unimproved
GBR,United Kingdom of Great Britain and Northern Ireland,rural,Drinking water,2009,100,11917961,At least basic
GBR,United Kingdom of Great Britain and Northern Ireland,urban,Drinking water,2009,100,50910660,At least basic
GBR,United Kingdom of Great Britain and Northern Ireland,total,Sanitation,2009,1.21786,765167.031,Basic service
GBR,United Kingdom of Great Britain and Northern Ireland,rural,Sanitation,2009,5.93452,707273.9958,Basic service
GBR,United Kingdom of Great Britain and Northern Ireland,urban,Sanitation,2009,0.11371,57893.05193,Basic service
GBR,United Kingdom of Great Britain and Northern Ireland,total,Drinking water,2009,0.03665,23024.96144,Basic service
GBR,United Kingdom of Great Britain and Northern Ireland,total,Sanitation,2009,0.70609,443627.7546,Limited service
GBR,United Kingdom of Great Britain and Northern Ireland,rural,Sanitation,2009,0.30023,35780.7791,Limited service
GBR,United Kingdom of Great Britain and Northern Ireland,urban,Sanitation,2009,0.8011,407846.9824,Limited service
GBR,United Kingdom of Great Britain and Northern Ireland,total,Drinking water,2009,0,0,Limited service
GBR,United Kingdom of Great Britain and Northern Ireland,rural,Drinking water,2009,0,0,Limited service
GBR,United Kingdom of Great Britain and Northern Ireland,urban,Drinking water,2009,0,0,Limited service
GBR,United Kingdom of Great Britain and Northern Ireland,total,Sanitation,2009,0,0,Open defecation
GBR,United Kingdom of Great Britain and Northern Ireland,rural,Sanitation,2009,0,0,Open defecation
GBR,United Kingdom of Great Britain and Northern Ireland,urban,Sanitation,2009,0,0,Open defecation
GBR,United Kingdom of Great Britain and Northern Ireland,total,Sanitation,2009,97.90169,61510279.98,Safely managed service
GBR,United Kingdom of Great Britain and Northern Ireland,rural,Sanitation,2009,93.54025,11148090.81,Safely managed service
GBR,United Kingdom of Great Britain and Northern Ireland,urban,Sanitation,2009,98.92268,50362190.14,Safely managed service
GBR,United Kingdom of Great Britain and Northern Ireland,total,Drinking water,2009,99.96335,62805595.04,Safely managed service
GBR,United Kingdom of Great Britain and Northern Ireland,total,Drinking water,2009,0,0,Surface water
GBR,United Kingdom of Great Britain and Northern Ireland,rural,Drinking water,2009,0,0,Surface water
GBR,United Kingdom of Great Britain and Northern Ireland,urban,Drinking water,2009,0,0,Surface water
GBR,United Kingdom of Great Britain and Northern Ireland,total,Sanitation,2009,0.17436,109545.2331,Unimproved
GBR,United Kingdom of Great Britain and Northern Ireland,rural,Sanitation,2009,0.225,26815.41225,Unimproved
GBR,United Kingdom of Great Britain and Northern Ireland,urban,Sanitation,2009,0.1625,82729.8225,Unimproved
GBR,United Kingdom of Great Britain and Northern Ireland,total,Drinking water,2009,0,0,Unimproved
GBR,United Kingdom of Great Britain and Northern Ireland,rural,Drinking water,2009,0,0,Unimproved
GBR,United Kingdom of Great Britain and Northern Ireland,urban,Drinking water,2009,0,0,Unimproved
GBR,United Kingdom of Great Britain and Northern Ireland,rural,Drinking water,2010,100,11865714,At least basic
