Year,IncomeGroup,TypeofAidCode,TypeofAidText,SectorPurposeCode(CRScode),SectorPurposeText,BroadSectorCode,SIDsector,AmountsExtended,HeadlineMeasureofODA(£thousands)
2017,Part I unallocated by income,C01,Project-type interventions,15153,Media and free flow of information,151,Government and Civil Society,1928.049287,1928.049287
2017,Part I unallocated by income,C01,Project-type interventions,15153,Media and free flow of information,151,Government and Civil Society,7800.431343,7800.431343
2017,Part I unallocated by income,C01,Project-type interventions,15153,Media and free flow of information,151,Government and Civil Society,1866.790991,1536.790991
2017,Part I unallocated by income,C01,Project-type interventions,15153,Media and free flow of information,151,Government and Civil Society,643.7698973,643.7698973
2017,Part I unallocated by income,C01,Project-type interventions,15153,Media and free flow of information,151,Government and Civil Society,8358.653774,8220.653774
2017,Part I unallocated by income,C01,Project-type interventions,15153,Media and free flow of information,151,Government and Civil Society,962.4399913,804.4399913
2017,Part I unallocated by income,C01,Project-type interventions,15153,Media and free flow of information,151,Government and Civil Society,3979.607995,3944.607995
2017,Part I unallocated by income,C01,Project-type interventions,15153,Media and free flow of information,151,Government and Civil Society,73.058,73.058
2017,Part I unallocated by income,H01,Development awareness,99820,Promotion of development awareness (non-sector allocable),998,Unallocated / Unspecified,2520.446,2520.446
2017,UMICs,G01,Administrative costs not included elsewhere,91010,Administrative costs (non-sector allocable),910,Administrative Costs of Donors,0.00002,0.00002
2017,UMICs,G01,Administrative costs not included elsewhere,91010,Administrative costs (non-sector allocable),910,Administrative Costs of Donors,3.33695,3.33695
2017,UMICs,G01,Administrative costs not included elsewhere,91010,Administrative costs (non-sector allocable),910,Administrative Costs of Donors,10.30278,10.30278
2017,LDCs,G01,Administrative costs not included elsewhere,91010,Administrative costs (non-sector allocable),910,Administrative Costs of Donors,0.47849,0.47849
2017,UMICs,G01,Administrative costs not included elsewhere,91010,Administrative costs (non-sector allocable),910,Administrative Costs of Donors,0.22105,0.22105
2017,Part I unallocated by income,G01,Administrative costs not included elsewhere,91010,Administrative costs (non-sector allocable),910,Administrative Costs of Donors,235.99197,235.99197
2017,UMICs,G01,Administrative costs not included elsewhere,91010,Administrative costs (non-sector allocable),910,Administrative Costs of Donors,111.10795,111.10795
2017,LDCs,G01,Administrative costs not included elsewhere,91010,Administrative costs (non-sector allocable),910,Administrative Costs of Donors,3.96942,3.96942
2017,LMICs,G01,Administrative costs not included elsewhere,91010,Administrative costs (non-sector allocable),910,Administrative Costs of Donors,4.69501,4.69501
2017,UMICs,G01,Administrative costs not included elsewhere,91010,Administrative costs (non-sector allocable),910,Administrative Costs of Donors,0.02299,0.02299
2017,LMICs,G01,Administrative costs not included elsewhere,91010,Administrative costs (non-sector allocable),910,Administrative Costs of Donors,2.23575,2.23575
2017,LMICs,G01,Administrative costs not included elsewhere,91010,Administrative costs (non-sector allocable),910,Administrative Costs of Donors,1.30344,1.30344
2017,UMICs,G01,Administrative costs not included elsewhere,91010,Administrative costs (non-sector allocable),910,Administrative Costs of Donors,118.99581,118.99581
2017,Other LICs,G01,Administrative costs not included elsewhere,91010,Administrative costs (non-sector allocable),910,Administrative Costs of Donors,124.42014,124.42014
2017,LDCs,G01,Administrative costs not included elsewhere,91010,Administrative costs (non-sector allocable),910,Administrative Costs of Donors,10.72516,10.72516
2017,LDCs,G01,Administrative costs not included elsewhere,91010,Administrative costs (non-sector allocable),910,Administrative Costs of Donors,4.23213,4.23213
2017,LDCs,G01,Administrative costs not included elsewhere,91010,Administrative costs (non-sector allocable),910,Administrative Costs of Donors,113.00933,113.00933
2017,UMICs,G01,Administrative costs not included elsewhere,91010,Administrative costs (non-sector allocable),910,Administrative Costs of Donors,55.40285,55.40285
2017,UMICs,G01,Administrative costs not included elsewhere,91010,Administrative costs (non-sector allocable),910,Administrative Costs of Donors,4.81346,4.81346
2017,LMICs,G01,Administrative costs not included elsewhere,91010,Administrative costs (non-sector allocable),910,Administrative Costs of Donors,204.43536,204.43536
2017,Part I unallocated by income,G01,Administrative costs not included elsewhere,91010,Administrative costs (non-sector allocable),910,Administrative Costs of Donors,14.62763,14.62763
2017,LMICs,G01,Administrative costs not included elsewhere,91010,Administrative costs (non-sector allocable),910,Administrative Costs of Donors,0.082,0.082
