Year,IncomeGroup,TypeofAidCode,TypeofAidText,SectorPurposeCode(CRScode),BroadSectorCode(DAC5code),SIDsector,AmountsExtended(£thousands),NetODA(£thousands)
2016,0,B02,Core contributions to multilateral institutions,99810,998,Unallocated,498000,498000
2016,0,B02,Core contributions to multilateral institutions,99810,998,Unallocated,477596.751,477596.751
2016,0,B02,Core contributions to multilateral institutions,99810,998,Unallocated,472625.7572,472625.7572
2016,0,B02,Core contributions to multilateral institutions,99810,998,Unallocated,446318.4966,446318.4966
2016,0,B02,Core contributions to multilateral institutions,99810,998,Unallocated,400000,400000
2016,0,B02,Core contributions to multilateral institutions,99810,998,Unallocated,350000,350000
2016,0,B02,Core contributions to multilateral institutions,99810,998,Unallocated,279000,279000
2016,0,G01,Administrative costs not included elsewhere,91010,910,Admin,231549.6479,231549.6479
2016,0,C01,Project-type interventions,24010,240,Economic Infrastructure & Services,209163.544,209163.544
2016,0,B02,Core contributions to multilateral institutions,99810,998,Unallocated,201541.272,201541.272
2016,0,B02,Core contributions to multilateral institutions,99810,998,Unallocated,200000,200000
2016,0,B02,Core contributions to multilateral institutions,99810,998,Unallocated,152940,152940
2016,0,B03,"Contributions to  specific-purpose programmes and funds managed by international organisations (multilateral, INGO)",11220,112,Education,106000,106000
2016,0,B02,Core contributions to multilateral institutions,43010,430,Multisector,101720.039,101720.039
2016,0,B01,"Core support to NGOs, other private bodies, PPPs and research institutes",43010,430,Multisector,89586,89586
2016,0,H02,Refugees in donor countries,93010,930,Refugee costs,88410.789,88410.789
2016,0,B02,Core contributions to multilateral institutions,99810,998,Unallocated,84350,84350
2016,0,C01,Project-type interventions,11220,112,Education,84315.57,84315.57
2016,0,B02,Core contributions to multilateral institutions,99810,998,Unallocated,82659.1794,82659.1794
2016,0,H02,Refugees in donor countries,93010,930,Refugee costs,82210.477,82210.477
2016,UMICs,B03,"Contributions to  specific-purpose programmes and funds managed by international organisations (multilateral, INGO)",11110,111,Education,81419.9462,81419.9462
2016,UMICs,C01,Project-type interventions,16020,160,OTHER SOCIAL INFRASTRUCTURE AND SERVICES,80000,80000
2016,0,D02,Other technical assistance,43082,430,Multisector,76415.0011,76415.0011
2016,0,C01,Project-type interventions,24010,240,Economic Infrastructure & Services,75800.413,75800.413
2016,0,B02,Core contributions to multilateral institutions,99810,998,Unallocated,72090.1311,72090.1311
2016,LDCs,B03,"Contributions to  specific-purpose programmes and funds managed by international organisations (multilateral, INGO)",15220,152,Government and Civil Society,70000,70000
2016,LDCs,B03,"Contributions to  specific-purpose programmes and funds managed by international organisations (multilateral, INGO)",15110,151,Government and Civil Society,66000,66000
2016,0,B01,"Core support to NGOs, other private bodies, PPPs and research institutes",43010,430,Multisector,63000,63000
2016,0,G01,Administrative costs not included elsewhere,91010,910,Admin,61064.7976,61064.7976
2016,0,H02,Refugees in donor countries,93010,930,Refugee costs,60082.6,60082.6
2016,0,B03,"Contributions to  specific-purpose programmes and funds managed by international organisations (multilateral, INGO)",23110,231,Economic Infrastructure & Services,60000,60000
2016,LMICs,A01,General budget support,51010,510,Commodity and General Programme Assistance,60000,60000
2016,0,E01,Scholarships/training in donor country,11420,114,Education,59231.401,59231.401
2016,LDCs,C01,Project-type interventions,16010,160,OTHER SOCIAL INFRASTRUCTURE AND SERVICES,58259.383,58259.383
2016,0,B02,Core contributions to multilateral institutions,99810,998,Unallocated,55000,55000
2016,0,B02,Core contributions to multilateral institutions,99810,998,Unallocated,55000,55000
2016,0,B02,Core contributions to multilateral institutions,99810,998,Unallocated,55000,55000
2016,LMICs,C01,Project-type interventions,16010,160,OTHER SOCIAL INFRASTRUCTURE AND SERVICES,54000,54000
2016,UMICs,B04,Basket funds/pooled funding,72050,720,Humantarian,53332.901,53332.901
2016,LDCs,C01,Project-type interventions,11220,112,Education,51500,51500
2016,0,B02,Core contributions to multilateral institutions,23210,232,Economic Infrastructure & Services,50505.93,50505.93
2016,0,H02,Refugees in donor countries,93010,930,Refugee costs,50275.986,50275.986
2016,0,B02,Core contributions to multilateral institutions,99810,998,Unallocated,50000,50000
2016,LMICs,H02,Refugees in donor countries,93010,930,Refugee costs,49350,49350
2016,0,B03,"Contributions to  specific-purpose programmes and funds managed by international organisations (multilateral, INGO)",13030,130,Health,48500,48500
2016,0,G01,Administrative costs not included elsewhere,91010,910,Admin,43218.8252,43218.8252
2016,LDCs,C01,Project-type interventions,11130,111,Education,43000,43000
2016,0,B03,"Contributions to  specific-purpose programmes and funds managed by international organisations (multilateral, INGO)",23210,232,Economic Infrastructure & Services,42436.751,42436.751
2016,0,B02,Core contributions to multilateral institutions,99810,998,Unallocated,40000,40000
2016,0,B02,Core contributions to multilateral institutions,99810,998,Unallocated,40000,40000
2016,LDCs,B03,"Contributions to  specific-purpose programmes and funds managed by international organisations (multilateral, INGO)",72010,720,Humantarian,39923,39923
2016,0,B02,Core contributions to multilateral institutions,99810,998,Unallocated,38000,38000
2016,UMICs,B03,"Contributions to  specific-purpose programmes and funds managed by international organisations (multilateral, INGO)",72010,720,Humantarian,36000,36000
2016,0,D02,Other technical assistance,11230,112,Education,35810.6109,35810.6109
2016,LDCs,C01,Project-type interventions,12220,122,Health,35000,35000
2016,0,B02,Core contributions to multilateral institutions,99810,998,Unallocated,35000,35000
2016,LMICs,B03,"Contributions to  specific-purpose programmes and funds managed by international organisations (multilateral, INGO)",72010,720,Humantarian,34500,34500
2016,LMICs,C01,Project-type interventions,21020,210,Economic Infrastructure & Services,34200,34200
2016,LDCs,B03,"Contributions to  specific-purpose programmes and funds managed by international organisations (multilateral, INGO)",15110,151,Government and Civil Society,34000,34000
2016,0,B02,Core contributions to multilateral institutions,99810,998,Unallocated,33129.2672,33129.2672
2016,LMICs,B03,"Contributions to  specific-purpose programmes and funds managed by international organisations (multilateral, INGO)",72010,720,Humantarian,32000,32000
2016,0,B02,Core contributions to multilateral institutions,99810,998,Unallocated,31725.849,31725.849
2016,0,B02,Core contributions to multilateral institutions,99810,998,Unallocated,31500,31500
2016,LDCs,C01,Project-type interventions,11320,113,Education,30562.8886,30562.8886
2016,LDCs,B03,"Contributions to  specific-purpose programmes and funds managed by international organisations (multilateral, INGO)",72040,720,Humantarian,30500,30500
2016,UMICs,B03,"Contributions to  specific-purpose programmes and funds managed by international organisations (multilateral, INGO)",31220,312,Production Services,30000,30000
2016,0,B02,Core contributions to multilateral institutions,99810,998,Unallocated,30000,30000
2016,0,B02,Core contributions to multilateral institutions,99810,998,Unallocated,30000,30000
2016,LDCs,C01,Project-type interventions,72040,720,Humantarian,30000,30000
2016,UMICs,C01,Project-type interventions,21050,210,Economic Infrastructure & Services,28374.3203,28374.3203
2016,0,H02,Refugees in donor countries,93010,930,Refugee costs,28265,28265
2016,LDCs,C01,Project-type interventions,12220,122,Health,26862.891,26862.891
2016,0,B02,Core contributions to multilateral institutions,99810,998,Unallocated,26334.5652,26334.5652
2016,0,B03,"Contributions to  specific-purpose programmes and funds managed by international organisations (multilateral, INGO)",21010,210,Economic Infrastructure & Services,25800,25800
2016,LMICs,A02,Sector budget support,11110,111,Education,25500,25500
2016,LDCs,C01,Project-type interventions,72040,720,Humantarian,25500,25500
2016,0,B04,Basket funds/pooled funding,41010,410,Multisector,25000,25000
2016,0,B02,Core contributions to multilateral institutions,99810,998,Unallocated,25000,25000
2016,0,B03,"Contributions to  specific-purpose programmes and funds managed by international organisations (multilateral, INGO)",12250,122,Health,25000,25000
2016,0,C01,Project-type interventions,72010,720,Humantarian,24800,24800
2016,UMICs,C01,Project-type interventions,12110,121,Health,23732,23732
2016,0,E01,Scholarships/training in donor country,11420,114,Education,23628,23628
2016,LMICs,B03,"Contributions to  specific-purpose programmes and funds managed by international organisations (multilateral, INGO)",72010,720,Humantarian,23000,23000
2016,LMICs,B03,"Contributions to  specific-purpose programmes and funds managed by international organisations (multilateral, INGO)",12240,122,Health,22670.264,22670.264
2016,0,G01,Administrative costs not included elsewhere,91010,910,Admin,22600.9123,22600.9123
2016,LMICs,B03,"Contributions to  specific-purpose programmes and funds managed by international organisations (multilateral, INGO)",72040,720,Humantarian,22497.8146,22497.8146
2016,Other LICs,C01,Project-type interventions,72010,720,Humantarian,22011.5353,22011.5353
2016,LDCs,C01,Project-type interventions,16010,160,OTHER SOCIAL INFRASTRUCTURE AND SERVICES,22000,22000
2016,0,B02,Core contributions to multilateral institutions,99810,998,Unallocated,22000,22000
2016,UMICs,C01,Project-type interventions,72050,720,Humantarian,22000,22000
2016,0,B03,"Contributions to  specific-purpose programmes and funds managed by international organisations (multilateral, INGO)",21010,210,Economic Infrastructure & Services,21600,21600
2016,0,B02,Core contributions to multilateral institutions,99810,998,Unallocated,21000,21000
2016,LMICs,A02,Sector budget support,11110,111,Education,20800,20800
2016,LMICs,C01,Project-type interventions,11220,112,Education,20625,20625
2016,0,C01,Project-type interventions,43082,430,Multisector,20325.0505,20325.0505
2016,LMICs,B03,"Contributions to  specific-purpose programmes and funds managed by international organisations (multilateral, INGO)",72040,720,Humantarian,20000,20000
2016,0,B02,Core contributions to multilateral institutions,99810,998,Unallocated,20000,20000
2016,LDCs,B03,"Contributions to  specific-purpose programmes and funds managed by international organisations (multilateral, INGO)",31120,311,Production Services,20000,20000
2016,LMICs,B03,"Contributions to  specific-purpose programmes and funds managed by international organisations (multilateral, INGO)",72010,720,Humantarian,20000,20000
2016,0,G01,Administrative costs not included elsewhere,91010,910,Admin,19848.4604,19848.4604
2016,LDCs,C01,Project-type interventions,72040,720,Humantarian,19307.1173,19307.1173
2016,LDCs,C01,Project-type interventions,72010,720,Humantarian,19230.9316,19230.9316
2016,0,B02,Core contributions to multilateral institutions,99810,998,Unallocated,19025,19025
2016,LDCs,B03,"Contributions to  specific-purpose programmes and funds managed by international organisations (multilateral, INGO)",72040,720,Humantarian,18999.999,18999.999
2016,LDCs,C01,Project-type interventions,16010,160,OTHER SOCIAL INFRASTRUCTURE AND SERVICES,18873.285,18873.285
2016,LMICs,C01,Project-type interventions,16010,160,OTHER SOCIAL INFRASTRUCTURE AND SERVICES,18762.5,18762.5
2016,0,C01,Project-type interventions,41010,410,Multisector,18372.227,18372.227
2016,UMICs,B03,"Contributions to  specific-purpose programmes and funds managed by international organisations (multilateral, INGO)",11220,112,Education,18255,18255
2016,0,C01,Project-type interventions,43010,430,Multisector,18190.8719,18190.8719
2016,0,H02,Refugees in donor countries,93010,930,Refugee costs,17958,17958
2016,UMICs,B03,"Contributions to  specific-purpose programmes and funds managed by international organisations (multilateral, INGO)",72010,720,Humantarian,17800,17800
2016,UMICs,C01,Project-type interventions,15110,151,Government and Civil Society,17410,17410
2016,LMICs,D02,Other technical assistance,13020,130,Health,17384.161,17384.161
2016,LDCs,B03,"Contributions to  specific-purpose programmes and funds managed by international organisations (multilateral, INGO)",72010,720,Humantarian,17346.935,17346.935
2016,0,C01,Project-type interventions,99810,998,Unallocated,17000.9434,17000.9434
2016,LDCs,B03,"Contributions to  specific-purpose programmes and funds managed by international organisations (multilateral, INGO)",13020,130,Health,17000,17000
2016,0,C01,Project-type interventions,41010,410,Multisector,17000,17000
2016,0,C01,Project-type interventions,31210,312,Production Services,16902.01,16902.01
2016,LMICs,C01,Project-type interventions,23110,231,Economic Infrastructure & Services,16853.33,16853.33
2016,0,B03,"Contributions to  specific-purpose programmes and funds managed by international organisations (multilateral, INGO)",13020,130,Health,16550,16550
2016,0,C01,Project-type interventions,43010,430,Multisector,16500,16500
2016,LDCs,C01,Project-type interventions,14031,140,WASH,16000,16000
2016,LDCs,B04,Basket funds/pooled funding,72010,720,Humantarian,16000,16000
2016,0,H02,Refugees in donor countries,93010,930,Refugee costs,15792.8188,15792.8188
2016,LDCs,B03,"Contributions to  specific-purpose programmes and funds managed by international organisations (multilateral, INGO)",15110,151,Government and Civil Society,15200,15200
2016,0,G01,Administrative costs not included elsewhere,91010,910,Admin,15007.8898,15007.8898
2016,0,D02,Other technical assistance,43082,430,Multisector,15000,15000
2016,LMICs,C01,Project-type interventions,24040,240,Economic Infrastructure & Services,15000,15000
2016,LDCs,B03,"Contributions to  specific-purpose programmes and funds managed by international organisations (multilateral, INGO)",72010,720,Humantarian,15000,15000
2016,0,B02,Core contributions to multilateral institutions,99810,998,Unallocated,15000,15000
2016,LDCs,B03,"Contributions to  specific-purpose programmes and funds managed by international organisations (multilateral, INGO)",72010,720,Humantarian,15000,15000
2016,LDCs,C01,Project-type interventions,11110,111,Education,14840.0254,14840.0254
2016,LMICs,C01,Project-type interventions,43081,430,Multisector,14729.3023,14729.3023
2016,0,B02,Core contributions to multilateral institutions,99810,998,Unallocated,14500,14500
2016,UMICs,B03,"Contributions to  specific-purpose programmes and funds managed by international organisations (multilateral, INGO)",15220,152,Government and Civil Society,14086.5294,14086.5294
2016,0,B03,"Contributions to  specific-purpose programmes and funds managed by international organisations (multilateral, INGO)",12250,122,Health,14000,14000
2016,UMICs,B03,"Contributions to  specific-purpose programmes and funds managed by international organisations (multilateral, INGO)",16010,160,OTHER SOCIAL INFRASTRUCTURE AND SERVICES,14000,14000
2016,LMICs,C01,Project-type interventions,23210,232,Economic Infrastructure & Services,13956.0052,13956.0052
2016,0,C01,Project-type interventions,32120,321,Production Services,13900,13900
2016,LMICs,C01,Project-type interventions,72010,720,Humantarian,13706.611,13706.611
2016,LDCs,B03,"Contributions to  specific-purpose programmes and funds managed by international organisations (multilateral, INGO)",13020,130,Health,13400,13400
2016,0,B02,Core contributions to multilateral institutions,99810,998,Unallocated,13365.221,13365.221
2016,0,D02,Other technical assistance,15110,151,Government and Civil Society,13122.1897,13122.1897
2016,0,C01,Project-type interventions,12261,122,Health,13100.5903,13100.5903
2016,0,D02,Other technical assistance,43082,430,Multisector,13100,13100
2016,0,B02,Core contributions to multilateral institutions,99810,998,Unallocated,13000,13000
